variable,coefficient,se,t_stat,p_value,significance,n,r2_within,fixed_effects
(FE-absorbed constant),0.0,0.004883,0.0,1.0,,65245,0.0207,firm+year
aggressive_humor,-0.100402,0.016995,-5.9078,0.0,***,65245,0.0207,firm+year
affiliative_humor,-0.033131,0.011825,-2.8019,0.0051,***,65245,0.0207,firm+year
self_enhancing_humor,-0.064177,0.028907,-2.2201,0.0264,**,65245,0.0207,firm+year
self_defeating_humor,-0.041928,0.083608,-0.5015,0.616,,65245,0.0207,firm+year
text_length,0.00108,4.7e-05,22.8183,0.0,***,65245,0.0207,firm+year
hashtag_count,0.077973,0.005646,13.8114,0.0,***,65245,0.0207,firm+year
mention_count,-0.132783,0.005364,-24.7552,0.0,***,65245,0.0207,firm+year
