weight_setting,batch1_weight,wendys_weight,n_rows,macro_f1,weighted_f1,accuracy,aggressive_f1,aggressive_recall,self_defeating_f1
W100,1.0,1.0,926,0.4194,0.5157,0.5184,0.4551,0.5108,0.1493
W25,1.0,0.25,926,0.3963,0.4918,0.4935,0.4136,0.482,0.1404
W50,1.0,0.5,926,0.3971,0.4944,0.4957,0.4311,0.518,0.125
W75,1.0,0.75,926,0.4154,0.5092,0.5108,0.4506,0.5252,0.1515
