seed,class_weight,class_label,support,precision,recall,f1
0,None,aggressive,39,0.5172,0.3846,0.4412
0,None,affiliative,39,0.3333,0.2821,0.3056
0,None,self-enhancing,39,0.36,0.4615,0.4045
0,None,self-defeating,39,0.2955,0.3333,0.3133
0,balanced,aggressive,39,0.5556,0.3846,0.4545
0,balanced,affiliative,39,0.3514,0.3333,0.3421
0,balanced,self-enhancing,39,0.4167,0.5128,0.4598
0,balanced,self-defeating,39,0.3182,0.359,0.3373
1,None,aggressive,39,0.5,0.4359,0.4658
1,None,affiliative,39,0.2903,0.4615,0.3564
1,None,self-enhancing,39,0.2857,0.2564,0.2703
1,None,self-defeating,39,0.4,0.2564,0.3125
1,balanced,aggressive,39,0.4722,0.4359,0.4533
1,balanced,affiliative,39,0.3148,0.4359,0.3656
1,balanced,self-enhancing,39,0.2778,0.2564,0.2667
1,balanced,self-defeating,39,0.4667,0.359,0.4058
2,None,aggressive,39,0.3478,0.2051,0.2581
2,None,affiliative,39,0.234,0.2821,0.2558
2,None,self-enhancing,39,0.2553,0.3077,0.2791
2,None,self-defeating,39,0.2821,0.2821,0.2821
2,balanced,aggressive,39,0.44,0.2821,0.3438
2,balanced,affiliative,39,0.2273,0.2564,0.241
2,balanced,self-enhancing,39,0.24,0.3077,0.2697
2,balanced,self-defeating,39,0.3243,0.3077,0.3158
3,None,aggressive,39,0.4348,0.2564,0.3226
3,None,affiliative,39,0.3621,0.5385,0.433
3,None,self-enhancing,39,0.3514,0.3333,0.3421
3,None,self-defeating,39,0.3684,0.359,0.3636
3,balanced,aggressive,39,0.4286,0.2308,0.3
3,balanced,affiliative,39,0.3929,0.5641,0.4632
3,balanced,self-enhancing,39,0.3421,0.3333,0.3377
3,balanced,self-defeating,39,0.3659,0.3846,0.375
4,None,aggressive,39,0.2692,0.1795,0.2154
4,None,affiliative,39,0.3438,0.5641,0.4272
4,None,self-enhancing,39,0.3415,0.359,0.35
4,None,self-defeating,39,0.36,0.2308,0.2812
4,balanced,aggressive,39,0.3448,0.2564,0.2941
4,balanced,affiliative,39,0.3443,0.5385,0.42
4,balanced,self-enhancing,39,0.3488,0.3846,0.3659
4,balanced,self-defeating,39,0.3913,0.2308,0.2903
5,None,aggressive,39,0.3333,0.2564,0.2899
5,None,affiliative,39,0.32,0.4103,0.3596
5,None,self-enhancing,39,0.2791,0.3077,0.2927
5,None,self-defeating,39,0.3939,0.3333,0.3611
5,balanced,aggressive,39,0.3667,0.2821,0.3188
5,balanced,affiliative,39,0.3265,0.4103,0.3636
5,balanced,self-enhancing,39,0.3256,0.359,0.3415
5,balanced,self-defeating,39,0.4118,0.359,0.3836
6,None,aggressive,39,0.3684,0.359,0.3636
6,None,affiliative,39,0.4314,0.5641,0.4889
6,None,self-enhancing,39,0.2955,0.3333,0.3133
6,None,self-defeating,39,0.3043,0.1795,0.2258
6,balanced,aggressive,39,0.3611,0.3333,0.3467
6,balanced,affiliative,39,0.4118,0.5385,0.4667
6,balanced,self-enhancing,39,0.2444,0.2821,0.2619
6,balanced,self-defeating,39,0.3333,0.2051,0.254
7,None,aggressive,39,0.4815,0.3333,0.3939
7,None,affiliative,39,0.4364,0.6154,0.5106
7,None,self-enhancing,39,0.3023,0.3333,0.3171
7,None,self-defeating,39,0.4194,0.3333,0.3714
7,balanced,aggressive,39,0.4286,0.3077,0.3582
7,balanced,affiliative,39,0.4706,0.6154,0.5333
7,balanced,self-enhancing,39,0.3333,0.359,0.3457
7,balanced,self-defeating,39,0.3429,0.3077,0.3243
8,None,aggressive,39,0.4286,0.3846,0.4054
8,None,affiliative,39,0.4318,0.4872,0.4578
8,None,self-enhancing,39,0.4762,0.5128,0.4938
8,None,self-defeating,39,0.4,0.359,0.3784
8,balanced,aggressive,39,0.3611,0.3333,0.3467
8,balanced,affiliative,39,0.3673,0.4615,0.4091
8,balanced,self-enhancing,39,0.4872,0.4872,0.4872
8,balanced,self-defeating,39,0.4062,0.3333,0.3662
9,None,aggressive,39,0.4375,0.359,0.3944
9,None,affiliative,39,0.3898,0.5897,0.4694
9,None,self-enhancing,39,0.4062,0.3333,0.3662
9,None,self-defeating,39,0.3939,0.3333,0.3611
9,balanced,aggressive,39,0.4333,0.3333,0.3768
9,balanced,affiliative,39,0.3898,0.5897,0.4694
9,balanced,self-enhancing,39,0.4375,0.359,0.3944
9,balanced,self-defeating,39,0.4,0.359,0.3784
10,None,aggressive,39,0.1852,0.1282,0.1515
10,None,affiliative,39,0.4,0.5641,0.4681
10,None,self-enhancing,39,0.4348,0.5128,0.4706
10,None,self-defeating,39,0.3571,0.2564,0.2985
10,balanced,aggressive,39,0.2353,0.2051,0.2192
10,balanced,affiliative,39,0.3889,0.5385,0.4516
10,balanced,self-enhancing,39,0.5,0.5641,0.5301
10,balanced,self-defeating,39,0.2917,0.1795,0.2222
11,None,aggressive,39,0.375,0.3077,0.338
11,None,affiliative,39,0.4615,0.4615,0.4615
