seed,class_weight,source,n_rows,macro_f1,weighted_f1,accuracy
22,balanced,wendys_human_type,56,0.3065,0.3832,0.3571
23,None,batch1_fortune100,95,0.2756,0.3186,0.3053
23,None,wendys_human_type,61,0.3764,0.4161,0.3934
23,balanced,batch1_fortune100,95,0.2628,0.3068,0.2947
23,balanced,wendys_human_type,61,0.3981,0.4482,0.4262
24,None,batch1_fortune100,100,0.4155,0.4364,0.44
24,None,wendys_human_type,56,0.2345,0.2526,0.25
24,balanced,batch1_fortune100,100,0.4323,0.4466,0.45
24,balanced,wendys_human_type,56,0.1992,0.2196,0.2143
25,None,batch1_fortune100,98,0.3535,0.4074,0.398
25,None,wendys_human_type,58,0.3239,0.3765,0.3621
25,balanced,batch1_fortune100,98,0.3604,0.4211,0.4082
25,balanced,wendys_human_type,58,0.3328,0.4028,0.3793
26,None,batch1_fortune100,97,0.4341,0.4543,0.4639
26,None,wendys_human_type,59,0.2773,0.3056,0.3051
26,balanced,batch1_fortune100,97,0.4857,0.5171,0.5258
26,balanced,wendys_human_type,59,0.2934,0.331,0.322
27,None,batch1_fortune100,96,0.2546,0.2989,0.2917
27,None,wendys_human_type,60,0.2816,0.318,0.3167
27,balanced,batch1_fortune100,96,0.274,0.3284,0.3229
27,balanced,wendys_human_type,60,0.2381,0.2641,0.2667
28,None,batch1_fortune100,100,0.4308,0.4371,0.44
28,None,wendys_human_type,56,0.3036,0.3415,0.3571
28,balanced,batch1_fortune100,100,0.4458,0.459,0.46
28,balanced,wendys_human_type,56,0.282,0.3117,0.3214
29,None,batch1_fortune100,94,0.3433,0.4148,0.4149
29,None,wendys_human_type,62,0.3272,0.4086,0.3871
29,balanced,batch1_fortune100,94,0.3245,0.3909,0.3936
29,balanced,wendys_human_type,62,0.3623,0.45,0.4194
