seed,class_weight,source,n_rows,pr_auc,roc_auc,f1,precision,recall
17,None,wendys_human_type,127,0.8922,0.7329,0.7719,0.8684,0.6947
17,balanced,batch1_fortune100,151,0.5865,0.7901,0.619,0.65,0.5909
17,balanced,wendys_human_type,127,0.8943,0.7359,0.7647,0.8667,0.6842
18,None,batch1_fortune100,151,0.7673,0.8396,0.6977,0.7143,0.6818
18,None,wendys_human_type,127,0.8351,0.6342,0.75,0.8148,0.6947
18,balanced,batch1_fortune100,151,0.7683,0.8401,0.7059,0.7317,0.6818
18,balanced,wendys_human_type,127,0.8324,0.6296,0.75,0.8148,0.6947
19,None,batch1_fortune100,154,0.6441,0.8095,0.619,0.65,0.5909
19,None,wendys_human_type,124,0.8623,0.6468,0.7251,0.8158,0.6526
19,balanced,batch1_fortune100,154,0.6414,0.8132,0.619,0.65,0.5909
19,balanced,wendys_human_type,124,0.8619,0.6468,0.7251,0.8158,0.6526
20,None,batch1_fortune100,148,0.5098,0.7443,0.5301,0.5641,0.5
20,None,wendys_human_type,130,0.7738,0.5762,0.6784,0.7632,0.6105
20,balanced,batch1_fortune100,148,0.511,0.7456,0.5542,0.5897,0.5227
20,balanced,wendys_human_type,130,0.7743,0.5774,0.686,0.7662,0.6211
21,None,batch1_fortune100,158,0.52,0.7685,0.5349,0.5476,0.5227
21,None,wendys_human_type,120,0.8157,0.5364,0.7241,0.7975,0.6632
21,balanced,batch1_fortune100,158,0.5228,0.7681,0.5349,0.5476,0.5227
21,balanced,wendys_human_type,120,0.8155,0.5335,0.7273,0.7901,0.6737
22,None,batch1_fortune100,154,0.4936,0.7721,0.5843,0.5778,0.5909
22,None,wendys_human_type,124,0.8365,0.6751,0.7771,0.85,0.7158
22,balanced,batch1_fortune100,154,0.4918,0.7709,0.6,0.587,0.6136
22,balanced,wendys_human_type,124,0.8402,0.6802,0.7771,0.85,0.7158
23,None,batch1_fortune100,156,0.5364,0.7648,0.5393,0.5333,0.5455
23,None,wendys_human_type,122,0.814,0.5704,0.7727,0.8395,0.7158
23,balanced,batch1_fortune100,156,0.5397,0.7646,0.5393,0.5333,0.5455
23,balanced,wendys_human_type,122,0.8179,0.5731,0.7753,0.8313,0.7263
24,None,batch1_fortune100,152,0.5033,0.7527,0.5556,0.5435,0.5682
