weight_setting,batch1_weight,wendys_weight,n_rows,pr_auc,roc_auc,f1,precision,recall
W100,1.0,1.0,926,0.4356,0.8151,0.4474,0.4121,0.4892
W25,1.0,0.25,926,0.3794,0.8,0.443,0.3955,0.5036
W50,1.0,0.5,926,0.4018,0.8083,0.4498,0.3895,0.5324
W75,1.0,0.75,926,0.4235,0.8131,0.434,0.3855,0.4964
