class_weight,metric,mean,std,n_seeds
None,pr_auc,0.7524,0.0305,30
None,roc_auc,0.7843,0.0213,30
None,f1,0.693,0.0294,30
None,precision,0.743,0.0285,30
None,recall,0.6496,0.0339,30
balanced,pr_auc,0.7528,0.03,30
balanced,roc_auc,0.7851,0.021,30
balanced,f1,0.695,0.0266,30
balanced,precision,0.7449,0.0279,30
balanced,recall,0.6518,0.0298,30
