seed,class_weight,threshold,precision,recall,f1,meets_primary,meets_secondary
5,balanced,0.8,0.0,0.0,0.0,no,no
6,None,0.2,0.5,1.0,0.6667,no,yes
6,None,0.3,0.5,1.0,0.6667,no,yes
6,None,0.4,0.5,1.0,0.6667,no,yes
6,None,0.5,0.7917,0.6835,0.7336,yes,yes
6,None,0.6,0.0,0.0,0.0,no,no
6,None,0.7,0.0,0.0,0.0,no,no
6,None,0.8,0.0,0.0,0.0,no,no
6,balanced,0.2,0.5,1.0,0.6667,no,yes
6,balanced,0.3,0.5,1.0,0.6667,no,yes
6,balanced,0.4,0.5,1.0,0.6667,no,yes
6,balanced,0.5,0.7899,0.6763,0.7287,yes,yes
6,balanced,0.6,0.0,0.0,0.0,no,no
6,balanced,0.7,0.0,0.0,0.0,no,no
6,balanced,0.8,0.0,0.0,0.0,no,no
7,None,0.2,0.5,1.0,0.6667,no,yes
7,None,0.3,0.5,1.0,0.6667,no,yes
7,None,0.4,0.5,1.0,0.6667,no,yes
7,None,0.5,0.6855,0.6115,0.6464,yes,yes
7,None,0.6,0.0,0.0,0.0,no,no
7,None,0.7,0.0,0.0,0.0,no,no
7,None,0.8,0.0,0.0,0.0,no,no
7,balanced,0.2,0.5,1.0,0.6667,no,yes
7,balanced,0.3,0.5,1.0,0.6667,no,yes
7,balanced,0.4,0.5,1.0,0.6667,no,yes
7,balanced,0.5,0.688,0.6187,0.6515,yes,yes
7,balanced,0.6,0.0,0.0,0.0,no,no
7,balanced,0.7,0.0,0.0,0.0,no,no
7,balanced,0.8,0.0,0.0,0.0,no,no
8,None,0.2,0.5,1.0,0.6667,no,yes
8,None,0.3,0.5,1.0,0.6667,no,yes
8,None,0.4,0.5,1.0,0.6667,no,yes
8,None,0.5,0.7273,0.6331,0.6769,yes,yes
8,None,0.6,0.0,0.0,0.0,no,no
8,None,0.7,0.0,0.0,0.0,no,no
8,None,0.8,0.0,0.0,0.0,no,no
8,balanced,0.2,0.5,1.0,0.6667,no,yes
8,balanced,0.3,0.5,1.0,0.6667,no,yes
8,balanced,0.4,0.5,1.0,0.6667,no,yes
8,balanced,0.5,0.7417,0.6403,0.6873,yes,yes
8,balanced,0.6,0.0,0.0,0.0,no,no
8,balanced,0.7,0.0,0.0,0.0,no,no
8,balanced,0.8,0.0,0.0,0.0,no,no
9,None,0.2,0.5,1.0,0.6667,no,yes
9,None,0.3,0.5,1.0,0.6667,no,yes
9,None,0.4,0.5,1.0,0.6667,no,yes
9,None,0.5,0.7541,0.6619,0.705,yes,yes
9,None,0.6,0.0,0.0,0.0,no,no
9,None,0.7,0.0,0.0,0.0,no,no
9,None,0.8,0.0,0.0,0.0,no,no
9,balanced,0.2,0.5,1.0,0.6667,no,yes
9,balanced,0.3,0.5,1.0,0.6667,no,yes
9,balanced,0.4,0.5,1.0,0.6667,no,yes
9,balanced,0.5,0.7521,0.6547,0.7,yes,yes
9,balanced,0.6,0.0,0.0,0.0,no,no
9,balanced,0.7,0.0,0.0,0.0,no,no
9,balanced,0.8,0.0,0.0,0.0,no,no
10,None,0.2,0.5,1.0,0.6667,no,yes
10,None,0.3,0.5,1.0,0.6667,no,yes
10,None,0.4,0.5,1.0,0.6667,no,yes
10,None,0.5,0.7563,0.6475,0.6977,yes,yes
10,None,0.6,0.0,0.0,0.0,no,no
10,None,0.7,0.0,0.0,0.0,no,no
10,None,0.8,0.0,0.0,0.0,no,no
10,balanced,0.2,0.5,1.0,0.6667,no,yes
10,balanced,0.3,0.5,1.0,0.6667,no,yes
10,balanced,0.4,0.5,1.0,0.6667,no,yes
10,balanced,0.5,0.7479,0.6403,0.6899,yes,yes
10,balanced,0.6,0.0,0.0,0.0,no,no
10,balanced,0.7,0.0,0.0,0.0,no,no
10,balanced,0.8,0.0,0.0,0.0,no,no
