model,n_firm_quarters,beta1_intensity,beta1_se,beta1_t,beta1_p,beta1_stars,beta2_intensity_sq,beta2_se,beta2_t,beta2_p,beta2_stars,turning_point,obs_intensity_min,obs_intensity_max,tp_in_obs_range,H3_supported,r_squared,adj_r_squared
Full_sample_H3,1420,12.619846,0.894671,14.1056,0.0,***,-11.257243,2.000117,-5.6283,0.0,***,0.560521,0.0,1.0,True,True,0.1884,0.187255
Human_coded_H3,925,7.389063,1.362977,5.4213,0.0,***,-6.295516,1.736951,-3.6245,0.000305,***,0.586851,0.0,1.0,True,True,0.040463,0.038382
