model_id,eval_mode,oof_auc_ref,company_name,n_posts,n_humor_actual,f1,precision,recall
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Liberty Mutual Insurance Group,14,7,0.6667,0.5455,0.8571
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Lockheed Martin,21,9,0.5263,0.5,0.5556
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Lowe's,13,10,0.7619,0.7273,0.8
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Marathon Petroleum,8,4,0.5714,0.6667,0.5
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Massachusetts Mutual Life,19,7,0.75,0.6667,0.8571
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,McKesson,10,2,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Merck,7,1,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,MetLife,16,2,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Meta Platforms,4,1,0.6667,0.5,1.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Microsoft,21,12,0.72,0.6923,0.75
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Morgan Stanley,22,2,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Nationwide,28,18,0.7805,0.6957,0.8889
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,New York Life Insurance,11,3,0.5714,0.5,0.6667
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Nike,14,8,0.7,0.5833,0.875
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Nvidia,18,5,0.2222,0.25,0.2
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Oracle,9,3,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,PepsiCo,16,6,0.8,1.0,0.6667
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Performance Food Group,1,0,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Pfizer,5,2,0.5,0.5,0.5
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Phillips 66,11,4,0.5714,0.6667,0.5
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Procter & Gamble,4,2,0.6667,1.0,0.5
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Progressive,8,8,0.8571,1.0,0.75
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Prudential Financial,19,7,0.5,0.6,0.4286
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Publix Super Markets,24,19,0.9,0.8571,0.9474
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,RTX,7,2,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,State Farm Insurance,3,3,1.0,1.0,1.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,StoneX Group,19,3,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Sysco,17,7,0.5714,0.5714,0.5714
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,TD Synnex,11,7,0.7692,0.8333,0.7143
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,TIAA,5,1,1.0,1.0,1.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,TJX,24,3,0.2609,0.15,1.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Target,28,20,0.8511,0.7407,1.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Tesla,48,31,0.7059,0.6486,0.7742
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Travelers,16,6,0.7273,0.8,0.6667
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Tyson Foods,21,10,0.7059,0.8571,0.6
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,UPS,3,2,0.6667,1.0,0.5
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,USAA,20,10,0.4762,0.4545,0.5
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Uber Technologies,22,15,0.7273,0.6667,0.8
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,United Airlines Holdings,13,11,0.8,0.8889,0.7273
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,UnitedHealth Group,1,1,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Valero Energy,2,0,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Verizon Communications,2,0,0.0,0.0,0.0
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Walmart,22,18,0.9189,0.8947,0.9444
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Walt Disney,51,34,0.8,0.7317,0.8824
word_char_comb__lr_liblin_C01,firm_held_out_all_firms,0.7811,Wells Fargo,6,4,0.5714,0.6667,0.5
