model_id,threshold,oof_precision,oof_recall,oof_f1,n_predicted_humor,n_abstained,eval_basis
word_char_comb__lr_liblin_C01,0.1,0.4372,1.0,0.6085,1482,0,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.15,0.4372,1.0,0.6085,1482,0,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.2,0.4372,1.0,0.6085,1482,0,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.25,0.4372,1.0,0.6085,1482,0,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.3,0.4372,1.0,0.6085,1482,0,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.35,0.4396,1.0,0.6107,1474,8,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.4,0.4686,0.9892,0.6359,1368,114,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.45,0.5482,0.9213,0.6874,1089,393,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.5,0.6618,0.6975,0.6792,683,799,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.55,0.773,0.3364,0.4688,282,1200,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.6,0.8302,0.0679,0.1255,53,1429,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.65,1.0,0.0062,0.0123,4,1478,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.7,0.0,0.0,0.0,0,1482,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.75,0.0,0.0,0.0,0,1482,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.8,0.0,0.0,0.0,0,1482,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.85,0.0,0.0,0.0,0,1482,oof_5fold_cv (NOT in-sample)
word_char_comb__lr_liblin_C01,0.9,0.0,0.0,0.0,0,1482,oof_5fold_cv (NOT in-sample)
