model_id,threshold,oof_precision,oof_recall,oof_f1,n_predicted_aggressive,n_abstained,coverage_rate,meets_precision_target,meets_recall_target,meets_provisional_criteria,eval_basis
word_12_5k__lr_liblin_bal,0.05,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.1,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.15,0.0684,0.9773,0.1278,629,19,0.9707,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.2,0.0825,0.9773,0.1522,521,127,0.804,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.25,0.106,0.8409,0.1883,349,299,0.5386,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.3,0.1505,0.6364,0.2435,186,462,0.287,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.35,0.1685,0.3409,0.2256,89,559,0.1373,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.4,0.1633,0.1818,0.172,49,599,0.0756,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.45,0.2,0.1136,0.1449,25,623,0.0386,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.5,0.3846,0.1136,0.1754,13,635,0.0201,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.55,0.3333,0.0455,0.08,6,642,0.0093,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.6,0.0,0.0,0.0,2,646,0.0031,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.65,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.7,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.75,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.8,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.85,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.9,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_bal,0.95,0.0,0.0,0.0,0,648,0.0,no,no,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.05,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.1,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.15,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.2,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
word_12_5k__lr_liblin_C01,0.25,0.0679,1.0,0.1272,648,0,1.0,no,yes,no,oof_5fold_cv
