variable,coefficient,se,t_stat,p_value,significance,n,r2_within,fixed_effects
(FE-absorbed constant),0.0,0.004884,0.0,1.0,,65245,0.0205,firm+year
humor_presence,-0.051976,0.01057,-4.9175,0.0,***,65245,0.0205,firm+year
text_length,0.0011,4.7e-05,23.4066,0.0,***,65245,0.0205,firm+year
hashtag_count,0.07837,0.005645,13.8835,0.0,***,65245,0.0205,firm+year
mention_count,-0.13262,0.005363,-24.7272,0.0,***,65245,0.0205,firm+year
