model,n_firm_quarters,beta1_intensity,beta1_se,beta1_t,beta1_p,beta1_stars,beta2_intensity_sq,beta2_se,beta2_t,beta2_p,beta2_stars,turning_point,obs_intensity_min,obs_intensity_max,tp_in_obs_range,H3_supported,r_squared,adj_r_squared
Full_sample_H3,1420,11.822085,0.813562,14.5313,0.0,***,-8.780972,1.564387,-5.613,0.0,***,0.673165,0.0,1.0,True,True,0.193213,0.192074
Human_coded_H3,872,7.644461,1.364928,5.6006,0.0,***,-6.77698,1.58891,-4.2652,2.2e-05,***,0.564002,0.0,1.0,True,True,0.042327,0.040122
