audit_key,audit_value
fortune_posts_loaded_before_dedup,53910
wendys_source_found,true
wendys_posts_loaded_before_dedup,976
moonpie_source_found,true
moonpie_posts_loaded_before_dedup,932
total_rows_before_dedup,55818
total_rows_after_dedup,55788
duplicate_rows_removed,30
empty_text_rows,0
classification_pending_rows,55788
sample_group_count_fortune_top100_ranked,53880
sample_group_count_benchmark_aggressive_wendys,976
sample_group_count_benchmark_self_defeating_moonpie,932
fortune_summary_rows,100
fortune_status_success,95
fortune_status_partial_success,2
fortune_status_no_observable_posts,3
fortune_status_failed,0
