global_post_id,company_name,date,text,humor,type
benchmark:wendys:1198285151702118400,Wendy's,Sat Nov 23 17:00:17 +0000 2019,Time for the biggest game of the day: @PennStateFball vs @OhioStateFBall Come hang out with @LaVarArrington &amp; @BeanieWells26 on the sideline of The Shoe for our @Wendys Watch Party! https://t.co/eTL9bPNbBT,none,none
benchmark:wendys:1198363148094328832,Wendy's,Sat Nov 23 22:10:13 +0000 2019,"To be fair, you have to have a very high IQ to understand Rick and Morty. So make sure you watch it this Sunday night, genius.",humor,affiliative
benchmark:wendys:1198858858267127809,Wendy's,Mon Nov 25 07:00:00 +0000 2019,What's the most disrespectful diss track of all time?,humor,aggressive
benchmark:wendys:1202638489126342657,Wendy's,Thu Dec 05 17:18:54 +0000 2019,This is no drill. Frosty Key Tags are back. Get your $2 hookup for a free Jr. Frosty all year. Proceeds help support @DTFA. https://t.co/hlpZZouIcK,non_humor,none
benchmark:wendys:1205531387975090177,Wendy's,Fri Dec 13 16:54:15 +0000 2019,Wendy’s cups should be square but no one wants to poke that tiger,humor,aggressive
benchmark:wendys:1205577307810910209,Wendy's,Fri Dec 13 19:56:43 +0000 2019,"10 patties of fresh, never frozen Canadian beef. This is our dream. #PowerYourDreams https://t.co/2FLxlUIBZc",non_humor,none
benchmark:wendys:1205932906406920194,Wendy's,Sat Dec 14 19:29:44 +0000 2019,Watch Rick and Morty with us on Sunday and try to get five in a row on this game your grandma loves that we can’t legally say the name of! Schwifty! https://t.co/rw8leGuV1n,humor,affiliative
benchmark:wendys:1205941546538938368,Wendy's,Sat Dec 14 20:04:04 +0000 2019,"Rick and Morty are back again this Sunday, so come by our place and grab a Baconator to eat while you watch.",none,none
benchmark:wendys:1206433794796015617,Wendy's,Mon Dec 16 04:40:05 +0000 2019,Boom! 5 in a row. Haven't even hit a commercial break yet. Nailed it.,,
benchmark:wendys:1207030238447898625,Wendy's,Tue Dec 17 20:10:09 +0000 2019,"Sir, this is a",non_humor,none
benchmark:wendys:1207700570213101585,Wendy's,Thu Dec 19 16:33:48 +0000 2019,"meryl can have a little french fries, as a treat.",humor,affiliative
benchmark:wendys:1216801098608017413,Wendy's,Mon Jan 13 19:16:03 +0000 2020,Not saying eating our french fries gets you an #Oscar nomination but also...sup,humor,self-defeating
benchmark:wendys:1216894246021713920,Wendy's,Tue Jan 14 01:26:11 +0000 2020,Looked who dropped by to see what Spicy Nuggets were supposed to taste like.,humor,affiliative
benchmark:wendys:1217123276549427201,Wendy's,Tue Jan 14 16:36:16 +0000 2020,That's what we call a glow up.,humor,affiliative
benchmark:wendys:1220437845388730370,Wendy's,Thu Jan 23 20:07:11 +0000 2020,Is it a garbage truck?,humor,aggressive
benchmark:wendys:1221885535737864192,Wendy's,Mon Jan 27 19:59:47 +0000 2020,Picking up their order.,non_humor,aggressive
benchmark:wendys:1224794757559455746,Wendy's,Tue Feb 04 20:40:00 +0000 2020,When they ask what your weaknesses are during the interview.,humor,aggressive
benchmark:wendys:1228371313938567174,Wendy's,Fri Feb 14 17:31:57 +0000 2020,Thanks for the huge nugget @Wendys 😂😂😍😋 https://t.co/4vgfPGyUZR,non_humor,none
benchmark:wendys:1228373033167048705,Wendy's,Fri Feb 14 17:38:47 +0000 2020,Proud of this big spicy boi,non_humor,none
benchmark:wendys:1229264235387129856,Wendy's,Mon Feb 17 04:40:06 +0000 2020,BURGER KING is testing a sandwich with nothing but french fries: https://t.co/cMELl6fZaV https://t.co/D1taIscJk2,humor,aggressive
benchmark:wendys:1233494419925585924,Wendy's,Fri Feb 28 20:49:21 +0000 2020,Here lies mediocrity. #EggRIPMuffin https://t.co/fYxcn8LObe,humor,aggressive
benchmark:wendys:1234275836905369603,Wendy's,Mon Mar 02 00:34:25 +0000 2020,Y’all got any plans for breakfast tomorrow orrrrrrrrr…..?,non_humor,none
benchmark:wendys:1234448367230627840,Wendy's,Mon Mar 02 12:00:00 +0000 2020,BREAKFAST NEWS! Wendy's is now serving up breakfast. Sources say it's “pretty lit.” https://t.co/meBemp31hH,humor,self-enhancing
benchmark:wendys:1235705290755960832,Wendy's,Thu Mar 05 23:14:34 +0000 2020,"We love you too sweet, sweet Guillermo.",humor,affiliative
benchmark:wendys:1236305605188636672,Wendy's,Sat Mar 07 15:00:00 +0000 2020,"Yep, your new favorite is free with purchase in the Wendy's app. https://t.co/drxmKsYTyu https://t.co/gmJWGNgvBD",non_humor,none
benchmark:wendys:1237012795327238144,Wendy's,Mon Mar 09 13:50:07 +0000 2020,Better come and get you some. https://t.co/Z5bXZ97iAy,non_humor,none
benchmark:wendys:1237741943809028096,Wendy's,Wed Mar 11 14:07:30 +0000 2020,Honey. Butter. Chicken. Biscuit. Free. (with any purchase in our app),non_humor,none
benchmark:wendys:1242894464760328192,Wendy's,Wed Mar 25 19:21:46 +0000 2020,Don’t miss our best catches! Hop in the stream now! https://t.co/J4Z5cZlvtz #ACNH https://t.co/mnAaUVZ3TJ,non_humor,none
benchmark:wendys:1247262166392221698,Wendy's,Mon Apr 06 20:37:28 +0000 2020,The Wooden Award winner will be revealed tomorrow. Who’s your choice? ( 📍 @Wendys) https://t.co/SQdg3QVmoi,non_humor,none
benchmark:wendys:1247574856784379906,Wendy's,Tue Apr 07 17:19:59 +0000 2020,Picking up a new hobby. Come paint with us on Twitch. https://t.co/P0GZ7DIn5g https://t.co/8mllJ9tke4,non_humor,none
benchmark:wendys:1248677421588586496,Wendy's,Fri Apr 10 18:21:11 +0000 2020,"Come on now! You can't hit them with the old fruit and scoot! Might be out of oranges, but at least you've still got the Free Dave's Single in the app.",humor,affiliative
benchmark:wendys:1248679862384185347,Wendy's,Fri Apr 10 18:30:53 +0000 2020,Shout out to LostMermaid. It's never too late to reply back. Even if it has been like...a year. The internet can see you. Let's grab that Free Dave's Single while we wait.,humor,affiliative
benchmark:wendys:1248693897263448071,Wendy's,Fri Apr 10 19:26:39 +0000 2020,"Um, hey, Cousin. Give the HDMI back. This is not a game. You have 48 hours. In the meantime we will enjoy a Free Dave's Single.",humor,aggressive
benchmark:wendys:1248698613045366785,Wendy's,Fri Apr 10 19:45:23 +0000 2020,"Shout out to the girl that keeps ""losing"" her phone. Maybe while she downloads the findmyphone app you can enjoy a Free Dave's Single in our app.",humor,aggressive
benchmark:wendys:1250053580716990467,Wendy's,Tue Apr 14 13:29:33 +0000 2020,"Had so much fun last week, we figured we’d do it again! Get your hands on a free Breakfast Baconator in the Wendy's app and help us solve this bad boy. https://t.co/KhIgxDbUYH",humor,affiliative
benchmark:wendys:1252250012676997123,Wendy's,Mon Apr 20 14:57:23 +0000 2020,"Everyone could use some extra love right now, so we’re trading our usual roasting for a little toasting. Let’s use this thread to shout out the special people in our lives that we think deserve some shine right now.",humor,affiliative
benchmark:wendys:1252355382657216512,Wendy's,Mon Apr 20 21:56:05 +0000 2020,"Not gonna lie, all this love y’all are showing has inspired us. We wish we could give you a hug, but instead…how about a nug? This Friday, we’ll be giving out free 4pc spicy and crispy nugs at every Wendy’s drive-thru. No purchase necessary, not a single string attached.",humor,affiliative
benchmark:wendys:1252379047335608320,Wendy's,Mon Apr 20 23:30:07 +0000 2020,We’re giving America a GroupNug this Friday. ♥ this tweet and we’ll remind you when to get your free 4pc nuggets! https://t.co/AKWHpSXdD6,humor,affiliative
benchmark:wendys:1252980092113993730,Wendy's,Wed Apr 22 15:18:27 +0000 2020,"Everyone has become their own hairstylist. We all need a nug. This Friday ONLY, we’re giving America a big GroupNug. Get FREE 4pc nuggets when you visit our drive-thru. https://t.co/dXYeMJFsWu",humor,affiliative
benchmark:wendys:1253342185157607433,Wendy's,Thu Apr 23 15:17:17 +0000 2020,"America, come get your GroupNug. Come to the Wendy’s drive-thru tomorrow and get your free 4pc. nuggets! https://t.co/GRTmEcX3Ar",non_humor,none
benchmark:wendys:1254067898349428737,Wendy's,Sat Apr 25 15:21:01 +0000 2020,"We gave you a GroupNug, now send some to a friend. Use Postmates code: NUGHUG and send a loved one free 10pc. nugs with free delivery fee by ordering Wendy’s through Postmates! This weekend only.",non_humor,none
benchmark:wendys:1254757690321932288,Wendy's,Mon Apr 27 13:02:00 +0000 2020,Now that really honey butters my biscuit! https://t.co/xkZxxXsVwM,humor,affiliative
benchmark:wendys:1255888429910577153,Wendy's,Thu Apr 30 15:55:09 +0000 2020,"Spicy, spicy! Very nice-y. Score yourself one FREE Spicy Chicken Sandwich with mobile purchase in the Wendy's app! 🔥🔥🔥 https://t.co/wIYUkeVVJA",non_humor,none
benchmark:wendys:1255937272907776001,Wendy's,Thu Apr 30 19:09:14 +0000 2020,Come and see the Wendy-est Mortys in the entire multiverse. We’re playing with Wendy Morty and Breakfast Morty in Pocket Mortys! Check out our stream right now: https://t.co/sQfjVH1iaa,non_humor,none
benchmark:wendys:1256297367860625414,Wendy's,Fri May 01 19:00:08 +0000 2020,Be on the lookout for this Honey Butter Chicken Biscuit. @wendys #ad https://t.co/71Cd9mpyi6,non_humor,none
benchmark:wendys:1256977275754610688,Wendy's,Sun May 03 16:01:50 +0000 2020,That Honey Butter Chicken Biscuit is one bad boi. See it in action during the Rick and Morty premiere tonight!,non_humor,none
benchmark:wendys:1257082671118913537,Wendy's,Sun May 03 23:00:38 +0000 2020,"This week, we will be hiding codes. Lots of codes. Codes that will score you free Wendy's. Hidden across our entire internet presence. The clues start Monday. Think you can solve the Cyber Search? https://t.co/FB2IXQSyAq",humor,affiliative
benchmark:wendys:1257152398566592516,Wendy's,Mon May 04 03:37:43 +0000 2020,"No, this is THE Wendy's.",humor,affiliative
benchmark:wendys:1259528627017748480,Wendy's,Sun May 10 17:00:00 +0000 2020,Since you’ve been asking. https://t.co/mZBOLo0daZ,non_humor,none
benchmark:wendys:1259832419311661058,Wendy's,Mon May 11 13:07:09 +0000 2020,Treat yo self. https://t.co/cHqfuIdNRK,non_humor,none
benchmark:wendys:1260917780594884608,Wendy's,Thu May 14 13:00:00 +0000 2020,"Sorry, private meeting. Elite breakfast foods only. https://t.co/skbJUhiqgc",humor,self-enhancing
benchmark:wendys:1261339056618835968,Wendy's,Fri May 15 16:54:00 +0000 2020,2 for $5 is your Spicy Nugg hookup. https://t.co/YqGE1mbsex,non_humor,none
benchmark:wendys:1263549059962408962,Wendy's,Thu May 21 19:15:46 +0000 2020,"Alright Wendys, your time has come. Do you have what it takes to be the Queen of the Hill? Suit up and enter our Super Smash Bros tournament on https://t.co/P0GZ7DIn5g. We’ll see ya at the top. https://t.co/PUgtPzPZ8e",humor,affiliative
benchmark:wendys:1266084754832719872,Wendy's,Thu May 28 19:11:42 +0000 2020,"#NationalRoastDay starts right here tomorrow at 11am ET. For everyone that’s said “Roast Me Wendy’s,”...Tomorrow’s lookin’ good. Let’s roll, jabronis.",humor,aggressive
benchmark:wendys:1266395345996652552,Wendy's,Fri May 29 15:45:53 +0000 2020,We’re moving National Roast Day because there are going to be better times for it. Love you guys.,humor,affiliative
benchmark:wendys:1268326640972595206,Wendy's,Wed Jun 03 23:40:10 +0000 2020,"We’re about putting our money where our mouth is. So here’s our money and here’s our mouth. We are committed to donating $500k to support social justice, the youth and education in the Black community starting with the Thurgood Marshall College Fund and we’ll have receipts.",humor,self-enhancing
benchmark:wendys:1276283355768803330,Wendy's,Thu Jun 25 22:37:18 +0000 2020,"So much has happened over the past couple of weeks, including the death of Rayshard Brooks. We’ve taken the time to ensure we’re focused on the best ways to support positive change.",non_humor,none
benchmark:wendys:1276283357219950593,Wendy's,Thu Jun 25 22:37:19 +0000 2020,"Today, we are announcing new partnerships with the Urban League (@CULempowering) and the YWCA(@ywcacolumbus). These two organizations are committed to fighting racism and empowering Black youth, and we’re eager to be a part of their mission.",non_humor,none
benchmark:wendys:1276283357979164674,Wendy's,Thu Jun 25 22:37:19 +0000 2020,We’ll also be chatting with @tmcf_hbcu next week to learn more about their history supporting students at #HBCUs. Check out the conversation on 7/2.,non_humor,none
benchmark:wendys:1278697646312611841,Wendy's,Thu Jul 02 14:30:50 +0000 2020,"This acronym #HBCU might be new to some of our followers, what exactly does that stand for? https://t.co/afDXa92aiC",non_humor,none
benchmark:wendys:1278698388054310913,Wendy's,Thu Jul 02 14:33:47 +0000 2020,Black College Communities deserve to be honored and celebrated. Thanks @tmcf_hbcu for taking the time and sharing all of this great info today.,non_humor,none
benchmark:wendys:1283561455787347973,Wendy's,Thu Jul 16 00:37:53 +0000 2020,"Sorry, Nick. No dice.",humor,aggressive
benchmark:wendys:1285658885366386688,Wendy's,Tue Jul 21 19:32:19 +0000 2020,We’re heading back to the island for a quick swim. Grab a Strawberry Lemonade to sip while we dip in the stream. https://t.co/P0GZ7DIn5g,humor,affiliative
benchmark:wendys:1286650842225848321,Wendy's,Fri Jul 24 13:14:00 +0000 2020,"Wakey wakey, eggs and bac-y-nator.",humor,affiliative
benchmark:wendys:1288908749411946497,Wendy's,Thu Jul 30 18:46:07 +0000 2020,Real ones know. https://t.co/TRqxRULx4s,non_humor,none
benchmark:wendys:1291462568511406081,Wendy's,Thu Aug 06 19:54:05 +0000 2020,The burgers are square for a reason.,humor,aggressive
benchmark:wendys:1291837518455779328,Wendy's,Fri Aug 07 20:44:00 +0000 2020,4:44 on the clock I’m in my drop top getting some eats.,humor,affiliative
benchmark:wendys:1292880058399567876,Wendy's,Mon Aug 10 17:46:41 +0000 2020,Don’t know who needs to hear this but pepper isn’t spicy...this new 444 is thoughhhhh 🥵 https://t.co/H2tx5WJFVc,non_humor,none
