company_id,company_identifier_original,n_posts,source_file
1,AT&T,1407,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
2,AbbVie,1320,h2_regression_ready;h3_firm_month_panel;integrated;template
3,Albertsons,1211,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
4,Allstate,940,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
5,Alphabet,779,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
6,Amazon,1659,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
7,American Airlines Group,324,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
8,American Express,1149,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
9,Archer Daniels Midland,1227,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
10,Bank of America,1457,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
11,Boeing,1418,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
12,Bristol-Myers Squibb,1360,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
13,Broadcom,262,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
14,CVS Health,793,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
15,Capital One Financial,1080,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
16,Cardinal Health,736,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
17,Caterpillar,1281,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
18,Cencora,640,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
19,Centene,636,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
20,Charter Communications,905,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
21,Chevron,1193,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
22,Cigna Group,873,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
23,Cisco Systems,1345,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
24,Citigroup,573,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
25,Coca-Cola,1001,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
26,Comcast,1513,h2_regression_ready;h3_firm_month_panel;integrated;template;type_training
27,ConocoPhillips,1269,h2_regression_ready;h3_firm_month_panel;integrated;template
