comparison,term,baseline_coefficient,v2_coefficient,difference_v2_minus_baseline,baseline_p_value,v2_p_value
full_sample_h1_h2,aggressive,1.799829,2.094304,0.294475,0.0,0.0
human_coded_h1_h2,aggressive,1.553482,2.815192,1.26171,0.0,0.0
full_sample_h1_h2,affiliative,0.837743,0.660769,-0.176974,0.0,0.0
human_coded_h1_h2,affiliative,0.899457,0.837648,-0.061809,0.0,0.0
full_sample_h1_h2,self_enhancing,1.439115,1.449274,0.010159,0.0,0.0
human_coded_h1_h2,self_enhancing,1.403241,1.115856,-0.287385,0.0,0.0
full_sample_h1_h2,self_defeating,2.100931,2.522473,0.421542,0.0,0.0
human_coded_h1_h2,self_defeating,1.787782,2.075493,0.287711,5.6e-05,0.0
full_sample_h3,beta1_intensity,11.435958,10.59015,-0.845808,0.0,0.0
full_sample_h3,beta2_intensity_sq,-4.674035,-7.841834,-3.167799,0.02211,2.5e-05
full_sample_h3,turning_point,1.22335,0.675234,-0.548116,0.0,0.0
