measurement_basis,hypothesis,model_id,fe_count,included_fe,key_variable,coefficient,classical_ols_se,t_stat,p_value,stars,n_obs,r_squared,adj_r_squared,df_model,df_resid,rank,status,interpretation_level,dependent_variable,n_aggressive_batch1,limitation,n_fe_cells,n_predicted_aggressive
batch1_human_coded,H2_1,year,1,year,aggressive_vs_other,0.740593,0.389101,1.9033,0.057447,*,648,0.179052,0.163538,13,635,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,12,
full_sample_predicted,H2_1,year,1,year,predicted_aggressive_vs_other,0.036948,0.027742,1.3318,0.182921,ns,28177,0.143511,0.143146,13,28164,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,12,6857
batch1_human_coded,H2_1,month,1,month,aggressive_vs_other,0.796306,0.402279,1.9795,0.048264,**,648,0.35462,0.233833,103,545,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,102,
full_sample_predicted,H2_1,month,1,month,predicted_aggressive_vs_other,0.077753,0.027133,2.8656,0.004165,***,28177,0.189919,0.18628,127,28050,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,126,6857
batch1_human_coded,H2_1,week,1,week,aggressive_vs_other,0.926965,0.473124,1.9592,0.05085,*,648,0.590487,0.270097,285,363,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,284,
full_sample_predicted,H2_1,week,1,week,predicted_aggressive_vs_other,0.079759,0.027219,2.9303,0.003389,***,28177,0.208688,0.194101,511,27666,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,510,6857
batch1_human_coded,H2_1,day,1,day,aggressive_vs_other,0.832038,0.763945,1.0891,0.278296,ns,648,0.882939,0.363541,529,119,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,528,
full_sample_predicted,H2_1,day,1,day,predicted_aggressive_vs_other,0.070125,0.028446,2.4652,0.013699,**,28177,0.286397,0.20282,2955,25222,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,2954,6857
batch1_human_coded,H2_1,hour,1,hour,aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
full_sample_predicted,H2_1,hour,1,hour,predicted_aggressive_vs_other,0.014251,0.038553,0.3697,0.711645,ns,28177,0.68574,0.287126,15756,12421,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,15755,6857
batch1_human_coded,H2_1,year_month,2,"year,month",aggressive_vs_other,0.796306,0.402279,1.9795,0.048264,**,648,0.35462,0.233833,103,545,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,102,
full_sample_predicted,H2_1,year_month,2,"year,month",predicted_aggressive_vs_other,0.077753,0.027133,2.8656,0.004165,***,28177,0.189919,0.18628,127,28050,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,126,6857
batch1_human_coded,H2_1,year_week,2,"year,week",aggressive_vs_other,0.926965,0.473619,1.9572,0.051093,*,648,0.59076,0.268568,286,362,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,285,
full_sample_predicted,H2_1,year_week,2,"year,week",predicted_aggressive_vs_other,0.079448,0.027221,2.9186,0.003519,***,28177,0.20885,0.194033,519,27658,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,518,6857
batch1_human_coded,H2_1,year_day,2,"year,day",aggressive_vs_other,0.832038,0.763945,1.0891,0.278296,ns,648,0.882939,0.363541,529,119,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,528,
full_sample_predicted,H2_1,year_day,2,"year,day",predicted_aggressive_vs_other,0.070125,0.028446,2.4652,0.013699,**,28177,0.286397,0.20282,2955,25222,1,success,preliminary_diagnostic,log1p_total_engagement,,classifier_NOT_A_CANDIDATE,2954,6857
batch1_human_coded,H2_1,year_hour,2,"year,hour",aggressive_vs_other,0.064979,1.767511,0.0368,0.971129,ns,648,0.984203,0.36119,632,16,1,success,preliminary_diagnostic,log1p_total_engagement,44,n_agg=44_low_power,631,
