measurement_basis,hypothesis,model_id,fe_count,included_fe,key_variable,coefficient,classical_ols_se,t_stat,p_value,stars,n_obs,r_squared,adj_r_squared,df_model,df_resid,rank,status,interpretation_level,dependent_variable,n_fe_cells
batch1_human_coded,H1,year,1,year,human_humor_presence,0.966607,0.123075,7.8538,0.0,***,1482,0.239721,0.23351,13,1469,1,success,preliminary_diagnostic,log1p_total_engagement,12
full_sample_predicted,H1,year,1,year,h1_humor_presence_pred_t50,1.161655,0.015568,74.6193,0.0,***,68039,0.144499,0.144322,15,68024,1,success,preliminary_diagnostic,log1p_total_engagement,14
batch1_human_coded,H1,month,1,month,human_humor_presence,1.011855,0.124494,8.1277,0.0,***,1482,0.323422,0.266462,116,1366,1,success,preliminary_diagnostic,log1p_total_engagement,115
full_sample_predicted,H1,month,1,month,h1_humor_presence_pred_t50,1.140081,0.015247,74.774,0.0,***,68039,0.191911,0.190328,134,67905,1,success,preliminary_diagnostic,log1p_total_engagement,133
batch1_human_coded,H1,week,1,week,human_humor_presence,0.976916,0.137684,7.0953,0.0,***,1482,0.460593,0.267772,391,1091,1,success,preliminary_diagnostic,log1p_total_engagement,390
full_sample_predicted,H1,week,1,week,h1_humor_presence_pred_t50,1.136712,0.015274,74.4212,0.0,***,68039,0.206375,0.19986,555,67484,1,success,preliminary_diagnostic,log1p_total_engagement,554
batch1_human_coded,H1,day,1,day,human_humor_presence,0.912211,0.20388,4.4743,1e-05,***,1482,0.767051,0.270619,1009,473,1,success,preliminary_diagnostic,log1p_total_engagement,1008
full_sample_predicted,H1,day,1,day,h1_humor_presence_pred_t50,1.120205,0.015635,71.645,0.0,***,68039,0.264695,0.223652,3598,64441,1,success,preliminary_diagnostic,log1p_total_engagement,3597
batch1_human_coded,H1,hour,1,hour,human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,hour,1,hour,h1_humor_presence_pred_t50,1.095109,0.016048,68.2387,0.0,***,68039,0.088359,0.088037,25,68014,1,success,preliminary_diagnostic,log1p_total_engagement,24
batch1_human_coded,H1,year_month,2,"year,month",human_humor_presence,1.011855,0.124494,8.1277,0.0,***,1482,0.323422,0.266462,116,1366,1,success,preliminary_diagnostic,log1p_total_engagement,115
full_sample_predicted,H1,year_month,2,"year,month",h1_humor_presence_pred_t50,1.140081,0.015247,74.774,0.0,***,68039,0.191911,0.190328,134,67905,1,success,preliminary_diagnostic,log1p_total_engagement,133
batch1_human_coded,H1,year_week,2,"year,week",human_humor_presence,0.975815,0.137967,7.0728,0.0,***,1482,0.461354,0.266788,394,1088,1,success,preliminary_diagnostic,log1p_total_engagement,393
full_sample_predicted,H1,year_week,2,"year,week",h1_humor_presence_pred_t50,1.136998,0.015276,74.4316,0.0,***,68039,0.206517,0.199897,564,67475,1,success,preliminary_diagnostic,log1p_total_engagement,563
batch1_human_coded,H1,year_day,2,"year,day",human_humor_presence,0.912211,0.20388,4.4743,1e-05,***,1482,0.767051,0.270619,1009,473,1,success,preliminary_diagnostic,log1p_total_engagement,1008
full_sample_predicted,H1,year_day,2,"year,day",h1_humor_presence_pred_t50,1.120205,0.015635,71.645,0.0,***,68039,0.264695,0.223652,3598,64441,1,success,preliminary_diagnostic,log1p_total_engagement,3597
batch1_human_coded,H1,year_hour,2,"year,hour",human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,year_hour,2,"year,hour",h1_humor_presence_pred_t50,1.10645,0.01548,71.4769,0.0,***,68039,0.179603,0.176334,271,67768,1,success,preliminary_diagnostic,log1p_total_engagement,270
batch1_human_coded,H1,month_week,2,"month,week",human_humor_presence,0.955267,0.139582,6.8438,0.0,***,1482,0.47024,0.261229,420,1062,1,success,preliminary_diagnostic,log1p_total_engagement,419
full_sample_predicted,H1,month_week,2,"month,week",h1_humor_presence_pred_t50,1.13551,0.015284,74.2918,0.0,***,68039,0.208605,0.200888,658,67381,1,success,preliminary_diagnostic,log1p_total_engagement,657
batch1_human_coded,H1,month_day,2,"month,day",human_humor_presence,0.912211,0.20388,4.4743,1e-05,***,1482,0.767051,0.270619,1009,473,1,success,preliminary_diagnostic,log1p_total_engagement,1008
full_sample_predicted,H1,month_day,2,"month,day",h1_humor_presence_pred_t50,1.120205,0.015635,71.645,0.0,***,68039,0.264695,0.223652,3598,64441,1,success,preliminary_diagnostic,log1p_total_engagement,3597
batch1_human_coded,H1,month_hour,2,"month,hour",human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,month_hour,2,"month,hour",h1_humor_presence_pred_t50,1.07608,0.015348,70.1116,0.0,***,68039,0.259298,0.231383,2472,65567,1,success,preliminary_diagnostic,log1p_total_engagement,2471
batch1_human_coded,H1,week_day,2,"week,day",human_humor_presence,0.912211,0.20388,4.4743,1e-05,***,1482,0.767051,0.270619,1009,473,1,success,preliminary_diagnostic,log1p_total_engagement,1008
full_sample_predicted,H1,week_day,2,"week,day",h1_humor_presence_pred_t50,1.120205,0.015635,71.645,0.0,***,68039,0.264695,0.223652,3598,64441,1,success,preliminary_diagnostic,log1p_total_engagement,3597
batch1_human_coded,H1,week_hour,2,"week,hour",human_humor_presence,0.615304,0.560508,1.0978,0.276422,ns,1482,0.969785,0.300797,1418,64,1,success,preliminary_diagnostic,log1p_total_engagement,1417
full_sample_predicted,H1,week_hour,2,"week,hour",h1_humor_presence_pred_t50,1.076401,0.015919,67.6183,0.0,***,68039,0.342383,0.254346,8034,60005,1,success,preliminary_diagnostic,log1p_total_engagement,8033
