hypothesis,measurement_basis,model_id,fe_count,included_fe,raw_n_total,n_obs_after_fe_filter,n_fe_cells,status
H1,batch1_human_coded,day,1,day,1482,1482,1008,success
H2_1,batch1_human_coded,day,1,day,648,648,528,success
H2_2,batch1_human_coded,day,1,day,648,648,528,success
H3,batch1_human_coded,day,1,day,88,,,not_applicable
H1,full_sample_predicted,day,1,day,68039,68039,3597,success
H2_1,full_sample_predicted,day,1,day,28177,28177,2954,success
H2_2,full_sample_predicted,day,1,day,28177,28177,2954,success
H3,full_sample_predicted,day,1,day,3532,,,unavailable
H1,batch1_human_coded,day_hour,2,"day,hour",1482,1482,1417,success
H2_1,batch1_human_coded,day_hour,2,"day,hour",648,648,631,success
H2_2,batch1_human_coded,day_hour,2,"day,hour",648,648,631,success
H3,batch1_human_coded,day_hour,2,"day,hour",88,,,not_applicable
H1,full_sample_predicted,day_hour,2,"day,hour",68039,68039,26066,success
H2_1,full_sample_predicted,day_hour,2,"day,hour",28177,28177,15755,success
H2_2,full_sample_predicted,day_hour,2,"day,hour",28177,28177,15755,success
H3,full_sample_predicted,day_hour,2,"day,hour",3532,,,unavailable
H1,batch1_human_coded,hour,1,hour,1482,1482,1417,success
H2_1,batch1_human_coded,hour,1,hour,648,648,631,success
H2_2,batch1_human_coded,hour,1,hour,648,648,631,success
H3,batch1_human_coded,hour,1,hour,88,,,not_applicable
H1,full_sample_predicted,hour,1,hour,68039,68039,24,success
H2_1,full_sample_predicted,hour,1,hour,28177,28177,15755,success
H2_2,full_sample_predicted,hour,1,hour,28177,28177,15755,success
H3,full_sample_predicted,hour,1,hour,3532,,,unavailable
H1,batch1_human_coded,month,1,month,1482,1482,115,success
H2_1,batch1_human_coded,month,1,month,648,648,102,success
H2_2,batch1_human_coded,month,1,month,648,648,102,success
H3,batch1_human_coded,month,1,month,88,,,not_applicable
H1,full_sample_predicted,month,1,month,68039,68039,133,success
H2_1,full_sample_predicted,month,1,month,28177,28177,126,success
H2_2,full_sample_predicted,month,1,month,28177,28177,126,success
H3,full_sample_predicted,month,1,month,3532,3532,130,success
H1,batch1_human_coded,month_day,2,"month,day",1482,1482,1008,success
H2_1,batch1_human_coded,month_day,2,"month,day",648,648,528,success
H2_2,batch1_human_coded,month_day,2,"month,day",648,648,528,success
H3,batch1_human_coded,month_day,2,"month,day",88,,,not_applicable
H1,full_sample_predicted,month_day,2,"month,day",68039,68039,3597,success
H2_1,full_sample_predicted,month_day,2,"month,day",28177,28177,2954,success
H2_2,full_sample_predicted,month_day,2,"month,day",28177,28177,2954,success
H3,full_sample_predicted,month_day,2,"month,day",3532,,,unavailable
H1,batch1_human_coded,month_day_hour,3,"month,day,hour",1482,1482,1417,success
H2_1,batch1_human_coded,month_day_hour,3,"month,day,hour",648,648,631,success
H2_2,batch1_human_coded,month_day_hour,3,"month,day,hour",648,648,631,success
H3,batch1_human_coded,month_day_hour,3,"month,day,hour",88,,,not_applicable
H1,full_sample_predicted,month_day_hour,3,"month,day,hour",68039,68039,26066,success
H2_1,full_sample_predicted,month_day_hour,3,"month,day,hour",28177,28177,15755,success
H2_2,full_sample_predicted,month_day_hour,3,"month,day,hour",28177,28177,15755,success
H3,full_sample_predicted,month_day_hour,3,"month,day,hour",3532,,,unavailable
H1,batch1_human_coded,month_hour,2,"month,hour",1482,1482,1417,success
H2_1,batch1_human_coded,month_hour,2,"month,hour",648,648,631,success
H2_2,batch1_human_coded,month_hour,2,"month,hour",648,648,631,success
H3,batch1_human_coded,month_hour,2,"month,hour",88,,,not_applicable
H1,full_sample_predicted,month_hour,2,"month,hour",68039,68039,2471,success
H2_1,full_sample_predicted,month_hour,2,"month,hour",28177,28177,15755,success
H2_2,full_sample_predicted,month_hour,2,"month,hour",28177,28177,15755,success
H3,full_sample_predicted,month_hour,2,"month,hour",3532,,,unavailable
H1,batch1_human_coded,month_week,2,"month,week",1482,1482,419,success
H2_1,batch1_human_coded,month_week,2,"month,week",648,648,297,success
H2_2,batch1_human_coded,month_week,2,"month,week",648,648,297,success
H3,batch1_human_coded,month_week,2,"month,week",88,,,not_applicable
H1,full_sample_predicted,month_week,2,"month,week",68039,68039,657,success
H2_1,full_sample_predicted,month_week,2,"month,week",28177,28177,594,success
H2_2,full_sample_predicted,month_week,2,"month,week",28177,28177,594,success
H3,full_sample_predicted,month_week,2,"month,week",3532,,,unavailable
H1,batch1_human_coded,month_week_day,3,"month,week,day",1482,1482,1008,success
H2_1,batch1_human_coded,month_week_day,3,"month,week,day",648,648,528,success
H2_2,batch1_human_coded,month_week_day,3,"month,week,day",648,648,528,success
H3,batch1_human_coded,month_week_day,3,"month,week,day",88,,,not_applicable
H1,full_sample_predicted,month_week_day,3,"month,week,day",68039,68039,3597,success
H2_1,full_sample_predicted,month_week_day,3,"month,week,day",28177,28177,2954,success
H2_2,full_sample_predicted,month_week_day,3,"month,week,day",28177,28177,2954,success
H3,full_sample_predicted,month_week_day,3,"month,week,day",3532,,,unavailable
H1,batch1_human_coded,month_week_day_hour,4,"month,week,day,hour",1482,1482,1417,success
H2_1,batch1_human_coded,month_week_day_hour,4,"month,week,day,hour",648,648,631,success
H2_2,batch1_human_coded,month_week_day_hour,4,"month,week,day,hour",648,648,631,success
H3,batch1_human_coded,month_week_day_hour,4,"month,week,day,hour",88,,,not_applicable
H1,full_sample_predicted,month_week_day_hour,4,"month,week,day,hour",68039,68039,26066,success
H2_1,full_sample_predicted,month_week_day_hour,4,"month,week,day,hour",28177,28177,15755,success
H2_2,full_sample_predicted,month_week_day_hour,4,"month,week,day,hour",28177,28177,15755,success
H3,full_sample_predicted,month_week_day_hour,4,"month,week,day,hour",3532,,,unavailable
H1,batch1_human_coded,month_week_hour,3,"month,week,hour",1482,1482,1417,success
H2_1,batch1_human_coded,month_week_hour,3,"month,week,hour",648,648,631,success
H2_2,batch1_human_coded,month_week_hour,3,"month,week,hour",648,648,631,success
H3,batch1_human_coded,month_week_hour,3,"month,week,hour",88,,,not_applicable
H1,full_sample_predicted,month_week_hour,3,"month,week,hour",68039,68039,8769,success
H2_1,full_sample_predicted,month_week_hour,3,"month,week,hour",28177,28177,15755,success
H2_2,full_sample_predicted,month_week_hour,3,"month,week,hour",28177,28177,15755,success
H3,full_sample_predicted,month_week_hour,3,"month,week,hour",3532,,,unavailable
H1,batch1_human_coded,week,1,week,1482,1482,390,success
H2_1,batch1_human_coded,week,1,week,648,648,284,success
H2_2,batch1_human_coded,week,1,week,648,648,284,success
H3,batch1_human_coded,week,1,week,88,,,not_applicable
H1,full_sample_predicted,week,1,week,68039,68039,554,success
H2_1,full_sample_predicted,week,1,week,28177,28177,510,success
H2_2,full_sample_predicted,week,1,week,28177,28177,510,success
H3,full_sample_predicted,week,1,week,3532,,,unavailable
H1,batch1_human_coded,week_day,2,"week,day",1482,1482,1008,success
H2_1,batch1_human_coded,week_day,2,"week,day",648,648,528,success
H2_2,batch1_human_coded,week_day,2,"week,day",648,648,528,success
H3,batch1_human_coded,week_day,2,"week,day",88,,,not_applicable
H1,full_sample_predicted,week_day,2,"week,day",68039,68039,3597,success
H2_1,full_sample_predicted,week_day,2,"week,day",28177,28177,2954,success
H2_2,full_sample_predicted,week_day,2,"week,day",28177,28177,2954,success
H3,full_sample_predicted,week_day,2,"week,day",3532,,,unavailable
H1,batch1_human_coded,week_day_hour,3,"week,day,hour",1482,1482,1417,success
H2_1,batch1_human_coded,week_day_hour,3,"week,day,hour",648,648,631,success
H2_2,batch1_human_coded,week_day_hour,3,"week,day,hour",648,648,631,success
H3,batch1_human_coded,week_day_hour,3,"week,day,hour",88,,,not_applicable
H1,full_sample_predicted,week_day_hour,3,"week,day,hour",68039,68039,26066,success
H2_1,full_sample_predicted,week_day_hour,3,"week,day,hour",28177,28177,15755,success
H2_2,full_sample_predicted,week_day_hour,3,"week,day,hour",28177,28177,15755,success
H3,full_sample_predicted,week_day_hour,3,"week,day,hour",3532,,,unavailable
H1,batch1_human_coded,week_hour,2,"week,hour",1482,1482,1417,success
H2_1,batch1_human_coded,week_hour,2,"week,hour",648,648,631,success
H2_2,batch1_human_coded,week_hour,2,"week,hour",648,648,631,success
H3,batch1_human_coded,week_hour,2,"week,hour",88,,,not_applicable
H1,full_sample_predicted,week_hour,2,"week,hour",68039,68039,8033,success
H2_1,full_sample_predicted,week_hour,2,"week,hour",28177,28177,15755,success
H2_2,full_sample_predicted,week_hour,2,"week,hour",28177,28177,15755,success
H3,full_sample_predicted,week_hour,2,"week,hour",3532,,,unavailable
