metric,value
total_posts,65245
classified_posts,65245
missing_text_posts,0
mean_humor_probability,0.4779
humor_rate_t40,0.8504
humor_rate_t50,0.3861
humor_rate_t60,0.0485
n_humor_t40,55482
n_humor_t50,25189
n_humor_t60,3166
n_non_humor_t40,9763
n_non_humor_t50,40056
n_non_humor_t60,62079
classifier_model,word_char_comb__lr_liblin_C01
classifier_training_scope,batch1_only
classifier_status,provisional
oof_auc_ref,0.7811
oof_f1_ref,0.6792
firm_held_out_f1_ref,0.477
h1_regression_run,NO
h2_h3_run,NO
type_classifier_used,NO
aggressive_detector_used,NO
