company_name,source_x_handle,total_posts,classified_posts,missing_text_posts,mean_humor_probability,humor_rate_t40,humor_rate_t50,humor_rate_t60,n_humor_t50,n_non_humor_t50
Meta Platforms,@Meta,151,151,0,0.496,0.9934,0.4901,0.0132,74,77
Microsoft,@microsoft,666,666,0,0.4859,0.9309,0.4054,0.015,270,396
Morgan Stanley,@morganstanley,846,846,0,0.4304,0.6513,0.117,0.0083,99,747
Nationwide,@nationwide,1149,1149,0,0.5268,0.9861,0.7119,0.0722,818,331
New York Life Insurance,@NewYorkLife,456,456,0,0.5006,0.9671,0.511,0.0482,233,223
Nike,@nike,192,192,0,0.5437,1.0,0.8385,0.0833,161,31
Nvidia,@nvidia,1117,1117,0,0.4571,0.8442,0.2184,0.0054,244,873
Oracle,@oracle,909,909,0,0.4532,0.8009,0.2189,0.0099,199,710
PepsiCo,@pepsico,817,817,0,0.4888,0.9058,0.4039,0.0796,330,487
Performance Food Group,@PFGCareers,3,3,0,0.4945,1.0,0.3333,0.0,1,2
Pfizer,@pfizer,382,382,0,0.4422,0.7513,0.178,0.0052,68,314
Phillips 66,@Phillips66co,684,684,0,0.4501,0.807,0.2237,0.0058,153,531
Procter & Gamble,@ProcterGamble,268,268,0,0.463,0.9067,0.2239,0.0112,60,208
Progressive,@progressive,170,170,0,0.5419,1.0,0.7588,0.1294,129,41
Prudential Financial,@Prudential,874,874,0,0.4692,0.889,0.2941,0.0206,257,617
Publix Super Markets,@Publix,851,851,0,0.5592,0.9765,0.7826,0.3408,666,185
RTX,@RTX_News,865,865,0,0.4394,0.8277,0.0936,0.0012,81,784
State Farm Insurance,@StateFarm,147,147,0,0.5415,1.0,0.8503,0.102,125,22
StoneX Group,@StoneX_Official,848,848,0,0.4443,0.8656,0.0873,0.0,74,774
Sysco,@sysco,863,863,0,0.484,0.9316,0.4021,0.0185,347,516
TD Synnex,@tdsynnex,488,488,0,0.4846,0.9385,0.3668,0.0287,179,309
TIAA,@tiaa,217,217,0,0.458,0.8618,0.2304,0.023,50,167
TJX,@tjmaxx,909,909,0,0.502,0.8955,0.5479,0.0649,498,411
Target,@target,595,595,0,0.5506,0.9899,0.8303,0.1882,494,101
Tesla,@tesla,711,711,0,0.539,0.9902,0.7862,0.1336,559,152
Travelers,@travelers,835,835,0,0.463,0.818,0.3054,0.0204,255,580
Tyson Foods,@tysonfoods,1081,1081,0,0.4826,0.938,0.3626,0.0268,392,689
UPS,@ups,200,200,0,0.5181,0.995,0.66,0.06,132,68
USAA,@usaa,899,899,0,0.4945,0.9722,0.4405,0.0256,396,503
Uber Technologies,@Uber,952,952,0,0.5286,0.9958,0.7206,0.0872,686,266
United Airlines Holdings,@united,292,292,0,0.5351,0.9932,0.7329,0.1404,214,78
UnitedHealth Group,@UnitedHealthGrp,155,155,0,0.4277,0.671,0.0968,0.0,15,140
Valero Energy,@valeroenergy,186,186,0,0.5092,0.9892,0.586,0.0269,109,77
Verizon Communications,@Verizon,43,43,0,0.4658,0.9302,0.3256,0.0,14,29
Walmart,@walmart,842,842,0,0.5449,0.9964,0.7767,0.1639,654,188
Walt Disney,@Disney,1353,1353,0,0.5433,0.9993,0.8477,0.102,1147,206
Wells Fargo,@wellsfargo,256,256,0,0.504,0.9531,0.4922,0.0977,126,130
