hypothesis,model_name,measurement_basis,dependent_variable,feature,coefficient,se,se_type,t_stat,p_value,p_stars,n_obs,k_params,r_squared,r_squared_adj,reference_category,n_predicted_aggressive,n_predicted_affiliative,n_predicted_self_enhancing,n_predicted_self_defeating,mean_log_eng_predicted_aggressive,mean_log_eng_predicted_affiliative,mean_log_eng_predicted_self_enhancing,mean_log_eng_predicted_self_defeating,sample_definition,controls,label_source,label_source_warning,interpretation_level
H2_2,H2_2_full_simple,full_sample_classifier_predicted,log1p_total_engagement,intercept,3.424446,0.015593,OLS,219.6192,0.0,***,28177,4,0.001132,0.001026,predicted_affiliative,6857,19101,1994,225,3.52594,3.424446,3.548007,4.053037,Fortune100 humor-classified posts via Wendy's model transfer (28177 humor); classifier_status=NOT_A_CANDIDATE,none,classifier_predicted_wendys_model,Type classifier NOT_A_CANDIDATE; source-shortcut leakage confirmed,preliminary_diagnostic
H2_2,H2_2_full_simple,full_sample_classifier_predicted,log1p_total_engagement,predicted_aggressive,0.101494,0.030338,OLS,3.3454,0.000823,***,28177,4,0.001132,0.001026,predicted_affiliative,6857,19101,1994,225,3.52594,3.424446,3.548007,4.053037,Fortune100 humor-classified posts via Wendy's model transfer (28177 humor); classifier_status=NOT_A_CANDIDATE,none,classifier_predicted_wendys_model,Type classifier NOT_A_CANDIDATE; source-shortcut leakage confirmed,preliminary_diagnostic
H2_2,H2_2_full_simple,full_sample_classifier_predicted,log1p_total_engagement,predicted_self_enhancing,0.123561,0.050716,OLS,2.4363,0.014844,**,28177,4,0.001132,0.001026,predicted_affiliative,6857,19101,1994,225,3.52594,3.424446,3.548007,4.053037,Fortune100 humor-classified posts via Wendy's model transfer (28177 humor); classifier_status=NOT_A_CANDIDATE,none,classifier_predicted_wendys_model,Type classifier NOT_A_CANDIDATE; source-shortcut leakage confirmed,preliminary_diagnostic
H2_2,H2_2_full_simple,full_sample_classifier_predicted,log1p_total_engagement,predicted_self_defeating,0.628591,0.144511,OLS,4.3498,1.4e-05,***,28177,4,0.001132,0.001026,predicted_affiliative,6857,19101,1994,225,3.52594,3.424446,3.548007,4.053037,Fortune100 humor-classified posts via Wendy's model transfer (28177 humor); classifier_status=NOT_A_CANDIDATE,none,classifier_predicted_wendys_model,Type classifier NOT_A_CANDIDATE; source-shortcut leakage confirmed,preliminary_diagnostic
H2_2,H2_2_full_controls,full_sample_classifier_predicted,log1p_total_engagement,intercept,3.353339,0.026467,OLS,126.6988,0.0,***,28177,7,0.019853,0.019644,predicted_affiliative,6857,19101,1994,225,3.52594,3.424446,3.548007,4.053037,Fortune100 humor-classified posts via Wendy's model transfer (28177 humor); classifier_status=NOT_A_CANDIDATE,"text_length, hashtag_count, mention_count",classifier_predicted_wendys_model,Type classifier NOT_A_CANDIDATE; source-shortcut leakage confirmed,preliminary_diagnostic
H2_2,H2_2_full_controls,full_sample_classifier_predicted,log1p_total_engagement,predicted_aggressive,0.125208,0.030454,OLS,4.1114,3.9e-05,***,28177,7,0.019853,0.019644,predicted_affiliative,6857,19101,1994,225,3.52594,3.424446,3.548007,4.053037,Fortune100 humor-classified posts via Wendy's model transfer (28177 humor); classifier_status=NOT_A_CANDIDATE,"text_length, hashtag_count, mention_count",classifier_predicted_wendys_model,Type classifier NOT_A_CANDIDATE; source-shortcut leakage confirmed,preliminary_diagnostic
H2_2,H2_2_full_controls,full_sample_classifier_predicted,log1p_total_engagement,predicted_self_enhancing,0.143603,0.050325,OLS,2.8535,0.004327,***,28177,7,0.019853,0.019644,predicted_affiliative,6857,19101,1994,225,3.52594,3.424446,3.548007,4.053037,Fortune100 humor-classified posts via Wendy's model transfer (28177 humor); classifier_status=NOT_A_CANDIDATE,"text_length, hashtag_count, mention_count",classifier_predicted_wendys_model,Type classifier NOT_A_CANDIDATE; source-shortcut leakage confirmed,preliminary_diagnostic
H2_2,H2_2_full_controls,full_sample_classifier_predicted,log1p_total_engagement,predicted_self_defeating,0.65534,0.1433,OLS,4.5732,5e-06,***,28177,7,0.019853,0.019644,predicted_affiliative,6857,19101,1994,225,3.52594,3.424446,3.548007,4.053037,Fortune100 humor-classified posts via Wendy's model transfer (28177 humor); classifier_status=NOT_A_CANDIDATE,"text_length, hashtag_count, mention_count",classifier_predicted_wendys_model,Type classifier NOT_A_CANDIDATE; source-shortcut leakage confirmed,preliminary_diagnostic
H2_2,H2_2_full_controls,full_sample_classifier_predicted,log1p_total_engagement,text_length,0.00122,9e-05,OLS,13.5951,0.0,***,28177,7,0.019853,0.019644,predicted_affiliative,6857,19101,1994,225,3.52594,3.424446,3.548007,4.053037,Fortune100 humor-classified posts via Wendy's model transfer (28177 humor); classifier_status=NOT_A_CANDIDATE,"text_length, hashtag_count, mention_count",classifier_predicted_wendys_model,Type classifier NOT_A_CANDIDATE; source-shortcut leakage confirmed,preliminary_diagnostic
H2_2,H2_2_full_controls,full_sample_classifier_predicted,log1p_total_engagement,hashtag_count,-0.271779,0.013276,OLS,-20.4715,0.0,***,28177,7,0.019853,0.019644,predicted_affiliative,6857,19101,1994,225,3.52594,3.424446,3.548007,4.053037,Fortune100 humor-classified posts via Wendy's model transfer (28177 humor); classifier_status=NOT_A_CANDIDATE,"text_length, hashtag_count, mention_count",classifier_predicted_wendys_model,Type classifier NOT_A_CANDIDATE; source-shortcut leakage confirmed,preliminary_diagnostic
H2_2,H2_2_full_controls,full_sample_classifier_predicted,log1p_total_engagement,mention_count,-0.051847,0.017405,OLS,-2.9789,0.002895,***,28177,7,0.019853,0.019644,predicted_affiliative,6857,19101,1994,225,3.52594,3.424446,3.548007,4.053037,Fortune100 humor-classified posts via Wendy's model transfer (28177 humor); classifier_status=NOT_A_CANDIDATE,"text_length, hashtag_count, mention_count",classifier_predicted_wendys_model,Type classifier NOT_A_CANDIDATE; source-shortcut leakage confirmed,preliminary_diagnostic
