hypothesis,model_name,dependent_variable,reference_category,feature,coefficient,robust_se,se_type,t_stat,p_value,p_stars,n_obs,k_params,r_squared,r_squared_adj,n_aggressive,n_affiliative,n_self_enhancing,n_self_defeating,mean_log_eng_aggressive,mean_log_eng_affiliative,mean_log_eng_self_enhancing,mean_log_eng_self_defeating,sample_definition,controls,label_source,label_source_warning,interpretation_level
H2_2,H2_2_four_type_simple,log1p_total_engagement,affiliative,intercept,4.255285,0.146942,HC3,28.959,0.0,***,648,4,0.008926,0.004309,44,321,259,24,5.1041,4.2553,4.4929,5.1257,batch1_fortune100_humor_posts_human_type_labels,none,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic; self_defeating underpowered (n=24)
H2_2,H2_2_four_type_simple,log1p_total_engagement,affiliative,aggressive,0.848772,0.438593,HC3,1.9352,0.053402,*,648,4,0.008926,0.004309,44,321,259,24,5.1041,4.2553,4.4929,5.1257,batch1_fortune100_humor_posts_human_type_labels,none,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic; self_defeating underpowered (n=24)
H2_2,H2_2_four_type_simple,log1p_total_engagement,affiliative,self_enhancing,0.237619,0.225269,HC3,1.0548,0.291901,,648,4,0.008926,0.004309,44,321,259,24,5.1041,4.2553,4.4929,5.1257,batch1_fortune100_humor_posts_human_type_labels,none,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic; self_defeating underpowered (n=24)
H2_2,H2_2_four_type_simple,log1p_total_engagement,affiliative,self_defeating,0.870415,0.684541,HC3,1.2715,0.203999,,648,4,0.008926,0.004309,44,321,259,24,5.1041,4.2553,4.4929,5.1257,batch1_fortune100_humor_posts_human_type_labels,none,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic; self_defeating underpowered (n=24)
H2_2,H2_2_four_type_controls,log1p_total_engagement,affiliative,intercept,4.369325,0.202704,HC3,21.5552,0.0,***,648,7,0.025879,0.016761,44,321,259,24,5.1041,4.2553,4.4929,5.1257,batch1_fortune100_humor_posts_human_type_labels,text_length hashtag_count mention_count,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic; self_defeating underpowered (n=24)
H2_2,H2_2_four_type_controls,log1p_total_engagement,affiliative,aggressive,0.76056,0.438742,HC3,1.7335,0.083487,*,648,7,0.025879,0.016761,44,321,259,24,5.1041,4.2553,4.4929,5.1257,batch1_fortune100_humor_posts_human_type_labels,text_length hashtag_count mention_count,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic; self_defeating underpowered (n=24)
H2_2,H2_2_four_type_controls,log1p_total_engagement,affiliative,self_enhancing,0.165149,0.223832,HC3,0.7378,0.460891,,648,7,0.025879,0.016761,44,321,259,24,5.1041,4.2553,4.4929,5.1257,batch1_fortune100_humor_posts_human_type_labels,text_length hashtag_count mention_count,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic; self_defeating underpowered (n=24)
H2_2,H2_2_four_type_controls,log1p_total_engagement,affiliative,self_defeating,0.692411,0.70659,HC3,0.9799,0.327489,,648,7,0.025879,0.016761,44,321,259,24,5.1041,4.2553,4.4929,5.1257,batch1_fortune100_humor_posts_human_type_labels,text_length hashtag_count mention_count,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic; self_defeating underpowered (n=24)
H2_2,H2_2_four_type_controls,log1p_total_engagement,affiliative,text_length,0.000691,0.000477,HC3,1.4492,0.147763,,648,7,0.025879,0.016761,44,321,259,24,5.1041,4.2553,4.4929,5.1257,batch1_fortune100_humor_posts_human_type_labels,text_length hashtag_count mention_count,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic; self_defeating underpowered (n=24)
H2_2,H2_2_four_type_controls,log1p_total_engagement,affiliative,hashtag_count,-0.386255,0.121451,HC3,-3.1803,0.001542,***,648,7,0.025879,0.016761,44,321,259,24,5.1041,4.2553,4.4929,5.1257,batch1_fortune100_humor_posts_human_type_labels,text_length hashtag_count mention_count,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic; self_defeating underpowered (n=24)
H2_2,H2_2_four_type_controls,log1p_total_engagement,affiliative,mention_count,0.028756,0.116169,HC3,0.2475,0.804572,,648,7,0.025879,0.016761,44,321,259,24,5.1041,4.2553,4.4929,5.1257,batch1_fortune100_humor_posts_human_type_labels,text_length hashtag_count mention_count,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic; self_defeating underpowered (n=24)
H2_2,H2_2_pairwise_mean_aggressive_vs_affiliative,log1p_total_engagement,affiliative,mean_diff_aggressive_vs_affiliative,0.848772,,descriptive,,,,365,,,,44,321,259,24,5.1041,4.2553,4.4929,5.1257,batch1_fortune100_humor_posts_human_type_labels,n/a,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic; self_defeating underpowered (n=24)
H2_2,H2_2_pairwise_mean_aggressive_vs_self-enhancing,log1p_total_engagement,affiliative,mean_diff_aggressive_vs_self-enhancing,0.611153,,descriptive,,,,303,,,,44,321,259,24,5.1041,4.2553,4.4929,5.1257,batch1_fortune100_humor_posts_human_type_labels,n/a,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic; self_defeating underpowered (n=24)
H2_2,H2_2_pairwise_mean_aggressive_vs_self-defeating,log1p_total_engagement,affiliative,mean_diff_aggressive_vs_self-defeating,-0.021643,,descriptive,,,,68,,,,44,321,259,24,5.1041,4.2553,4.4929,5.1257,batch1_fortune100_humor_posts_human_type_labels,n/a,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic; self_defeating underpowered (n=24)
