hypothesis,model_name,measurement_basis,dependent_variable,feature,coefficient,se,se_type,t_stat,p_value,p_stars,n_obs,k_params,r_squared,r_squared_adj,n_pred_humor,n_pred_non_humor,sample_definition,controls,label_source,label_source_note,interpretation_level
H1,H1_full_simple,full_sample_classifier_predicted,log1p_total_engagement,intercept,3.104883,0.010204,OLS,304.276,0.0,***,68039,2,0.069705,0.069691,27514,40525,Full integrated corpus: fortune100(65245)+wendys_legacy(977)+moonpie_legacy(930)+cocacola_legacy(708)+fortune100_raw_append(179)=68039,none,classifier_predicted,h1_humor_presence_pred_t50 from word_char_comb__lr_liblin_C01 model,preliminary_diagnostic
H1,H1_full_simple,full_sample_classifier_predicted,log1p_total_engagement,h1_humor_presence_pred_t50,1.145709,0.016046,OLS,71.3994,0.0,***,68039,2,0.069705,0.069691,27514,40525,Full integrated corpus: fortune100(65245)+wendys_legacy(977)+moonpie_legacy(930)+cocacola_legacy(708)+fortune100_raw_append(179)=68039,none,classifier_predicted,h1_humor_presence_pred_t50 from word_char_comb__lr_liblin_C01 model,preliminary_diagnostic
H1,H1_full_controls,full_sample_classifier_predicted,log1p_total_engagement,intercept,3.212771,0.019585,OLS,164.0395,0.0,***,68039,5,0.079782,0.079728,27514,40525,Full integrated corpus: fortune100(65245)+wendys_legacy(977)+moonpie_legacy(930)+cocacola_legacy(708)+fortune100_raw_append(179)=68039,"text_length, hashtag_count, mention_count",classifier_predicted,h1_humor_presence_pred_t50 from word_char_comb__lr_liblin_C01 model,preliminary_diagnostic
H1,H1_full_controls,full_sample_classifier_predicted,log1p_total_engagement,h1_humor_presence_pred_t50,1.145154,0.01674,OLS,68.408,0.0,***,68039,5,0.079782,0.079728,27514,40525,Full integrated corpus: fortune100(65245)+wendys_legacy(977)+moonpie_legacy(930)+cocacola_legacy(708)+fortune100_raw_append(179)=68039,"text_length, hashtag_count, mention_count",classifier_predicted,h1_humor_presence_pred_t50 from word_char_comb__lr_liblin_C01 model,preliminary_diagnostic
H1,H1_full_controls,full_sample_classifier_predicted,log1p_total_engagement,text_length,0.00041,7.3e-05,OLS,5.5888,0.0,***,68039,5,0.079782,0.079728,27514,40525,Full integrated corpus: fortune100(65245)+wendys_legacy(977)+moonpie_legacy(930)+cocacola_legacy(708)+fortune100_raw_append(179)=68039,"text_length, hashtag_count, mention_count",classifier_predicted,h1_humor_presence_pred_t50 from word_char_comb__lr_liblin_C01 model,preliminary_diagnostic
H1,H1_full_controls,full_sample_classifier_predicted,log1p_total_engagement,hashtag_count,-0.198932,0.008367,OLS,-23.7764,0.0,***,68039,5,0.079782,0.079728,27514,40525,Full integrated corpus: fortune100(65245)+wendys_legacy(977)+moonpie_legacy(930)+cocacola_legacy(708)+fortune100_raw_append(179)=68039,"text_length, hashtag_count, mention_count",classifier_predicted,h1_humor_presence_pred_t50 from word_char_comb__lr_liblin_C01 model,preliminary_diagnostic
H1,H1_full_controls,full_sample_classifier_predicted,log1p_total_engagement,mention_count,-0.099453,0.008117,OLS,-12.2525,0.0,***,68039,5,0.079782,0.079728,27514,40525,Full integrated corpus: fortune100(65245)+wendys_legacy(977)+moonpie_legacy(930)+cocacola_legacy(708)+fortune100_raw_append(179)=68039,"text_length, hashtag_count, mention_count",classifier_predicted,h1_humor_presence_pred_t50 from word_char_comb__lr_liblin_C01 model,preliminary_diagnostic
