hypothesis,model_name,dependent_variable,feature,coefficient,robust_se,se_type,t_stat,p_value,p_stars,n_obs,k_params,r_squared,r_squared_adj,turning_point,turning_point_in_range,inverted_u_check,intensity_range,n_firms_with_aggressive,sample_definition,controls,label_source,interpretation_level,not_interpretable_reason
H3,H3_linear_only,firm_mean_log1p_total_engagement,intercept,3.457137,0.182184,HC3,18.9761,0.0,***,88,2,0.016665,0.005231,,,,0.000-1.000,24,batch1_fortune100_firm_level_n=88_firms (24 with any aggressive posts),none,HUMAN-CODED batch1 type labels for intensity; full corpus for engagement,preliminary_diagnostic,
H3,H3_linear_only,firm_mean_log1p_total_engagement,aggressive_intensity,1.366766,1.240994,HC3,1.1013,0.273818,,88,2,0.016665,0.005231,,,,0.000-1.000,24,batch1_fortune100_firm_level_n=88_firms (24 with any aggressive posts),none,HUMAN-CODED batch1 type labels for intensity; full corpus for engagement,preliminary_diagnostic,
H3,H3_quadratic,firm_mean_log1p_total_engagement,intercept,3.388251,0.188403,HC3,17.984,0.0,***,88,3,0.034667,0.011954,0.4987,True,b1>0 AND b2<0 (inverted-U pattern),0.000-1.000,24,batch1_fortune100_firm_level_n=88_firms (24 with any aggressive posts),none,HUMAN-CODED batch1 type labels for intensity; full corpus for engagement,preliminary_diagnostic,
H3,H3_quadratic,firm_mean_log1p_total_engagement,aggressive_intensity,4.203405,4.78296,HC3,0.8788,0.381971,,88,3,0.034667,0.011954,0.4987,True,b1>0 AND b2<0 (inverted-U pattern),0.000-1.000,24,batch1_fortune100_firm_level_n=88_firms (24 with any aggressive posts),none,HUMAN-CODED batch1 type labels for intensity; full corpus for engagement,preliminary_diagnostic,
H3,H3_quadratic,firm_mean_log1p_total_engagement,aggressive_intensity_sq,-4.214635,10.94926,HC3,-0.3849,0.701255,,88,3,0.034667,0.011954,0.4987,True,b1>0 AND b2<0 (inverted-U pattern),0.000-1.000,24,batch1_fortune100_firm_level_n=88_firms (24 with any aggressive posts),none,HUMAN-CODED batch1 type labels for intensity; full corpus for engagement,preliminary_diagnostic,
