hypothesis,model_name,dependent_variable,feature,coefficient,robust_se,se_type,t_stat,p_value,p_stars,n_obs,k_params,r_squared,r_squared_adj,n_aggressive,n_other,sample_definition,controls,label_source,label_source_warning,interpretation_level
H2_1,H2_1_simple,log1p_total_engagement,intercept,4.391764,0.110125,HC3,39.8799,0.0,***,648,2,0.004384,0.002843,44,604,batch1_fortune100_humor_posts_human_type_labels,none,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic
H2_1,H2_1_simple,log1p_total_engagement,aggressive_vs_other,0.712293,0.427668,HC3,1.6655,0.096292,*,648,2,0.004384,0.002843,44,604,batch1_fortune100_humor_posts_human_type_labels,none,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic
H2_1,H2_1_simple_controls,log1p_total_engagement,intercept,4.493029,0.171025,HC3,26.2712,0.0,***,648,5,0.023285,0.017209,44,604,batch1_fortune100_humor_posts_human_type_labels,text_length hashtag_count mention_count,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic
H2_1,H2_1_simple_controls,log1p_total_engagement,aggressive_vs_other,0.649363,0.425433,HC3,1.5264,0.127413,,648,5,0.023285,0.017209,44,604,batch1_fortune100_humor_posts_human_type_labels,text_length hashtag_count mention_count,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic
H2_1,H2_1_simple_controls,log1p_total_engagement,text_length,0.000672,0.000501,HC3,1.3416,0.180184,,648,5,0.023285,0.017209,44,604,batch1_fortune100_humor_posts_human_type_labels,text_length hashtag_count mention_count,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic
H2_1,H2_1_simple_controls,log1p_total_engagement,hashtag_count,-0.41218,0.12056,HC3,-3.4189,0.000669,***,648,5,0.023285,0.017209,44,604,batch1_fortune100_humor_posts_human_type_labels,text_length hashtag_count mention_count,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic
H2_1,H2_1_simple_controls,log1p_total_engagement,mention_count,0.016667,0.116055,HC3,0.1436,0.885852,,648,5,0.023285,0.017209,44,604,batch1_fortune100_humor_posts_human_type_labels,text_length hashtag_count mention_count,HUMAN-CODED batch1_fortune100 type labels,,preliminary_diagnostic
