company_name,row_count,humor_count,non_humor_count,ambiguous_count,humor_rate,positive_count,negative_count,neutral_count,positive_rate,negative_rate,affiliative_count,self_enhancing_count,aggressive_count,self_defeating_count,humor_type_review_count,humor_type_review_rate
AT&T,933,155,306,472,0.166131,243,21,669,0.26045,0.022508,68,84,2,1,619,0.663451
AbbVie,839,65,460,314,0.077473,228,15,596,0.271752,0.017878,27,38,0,0,378,0.450536
Albertsons,765,101,296,368,0.132026,311,15,439,0.406536,0.019608,41,52,8,0,463,0.605229
Allstate,568,83,176,309,0.146127,276,21,271,0.485915,0.036972,52,30,1,0,392,0.690141
Alphabet,476,131,105,240,0.27521,212,5,259,0.445378,0.010504,51,79,0,1,368,0.773109
Amazon,1086,167,413,506,0.153775,365,15,706,0.336096,0.013812,75,85,5,2,664,0.611418
American Airlines Group,188,43,43,102,0.228723,95,13,80,0.505319,0.069149,11,32,0,0,145,0.771277
American Express,831,136,224,471,0.163658,382,16,433,0.459687,0.019254,80,54,2,0,604,0.726835
Archer Daniels Midland,795,169,215,411,0.212579,465,20,310,0.584906,0.025157,58,108,2,1,576,0.724528
Bank of America,837,167,243,427,0.199522,335,24,478,0.400239,0.028674,95,70,1,1,590,0.704898
Boeing,969,213,281,475,0.219814,472,19,478,0.4871,0.019608,86,127,0,0,687,0.708978
Bristol-Myers Squibb,930,95,418,417,0.102151,427,23,480,0.45914,0.024731,28,66,1,0,511,0.549462
Broadcom,183,27,67,89,0.147541,68,7,108,0.371585,0.038251,11,16,0,0,116,0.63388
CVS Health,574,100,184,290,0.174216,271,23,280,0.472125,0.04007,48,52,0,0,389,0.6777
Capital One Financial,628,139,160,329,0.221338,239,23,366,0.380573,0.036624,69,69,1,0,466,0.742038
Cardinal Health,520,77,216,227,0.148077,250,12,258,0.480769,0.023077,29,48,0,0,304,0.584615
Caterpillar,891,134,331,426,0.150393,425,11,455,0.476992,0.012346,62,69,0,3,557,0.62514
Cencora,479,128,128,223,0.267223,228,23,228,0.475992,0.048017,58,68,2,0,347,0.724426
Centene,465,97,144,224,0.208602,259,16,190,0.556989,0.034409,46,50,1,0,321,0.690323
Charter Communications,657,86,369,202,0.130898,242,10,405,0.368341,0.015221,59,26,1,0,287,0.436834
Chevron,805,71,400,334,0.088199,323,9,473,0.401242,0.01118,31,39,0,1,404,0.501863
Cigna Group,586,96,163,327,0.163823,333,29,224,0.568259,0.049488,53,43,0,0,423,0.721843
Cisco Systems,1007,77,526,404,0.076465,418,36,553,0.415094,0.03575,44,33,0,0,481,0.477656
Citigroup,400,49,215,136,0.1225,117,24,259,0.2925,0.06,13,36,0,0,185,0.4625
Coca-Cola,1024,52,424,548,0.050781,279,11,734,0.272461,0.010742,34,18,0,0,600,0.585938
Comcast,1096,202,296,598,0.184307,470,10,616,0.428832,0.009124,108,94,0,0,800,0.729927
ConocoPhillips,942,126,360,456,0.133758,409,15,518,0.434183,0.015924,76,49,1,0,581,0.616773
Dell Technologies,725,96,269,360,0.132414,207,23,495,0.285517,0.031724,56,40,0,0,453,0.624828
Delta Air Lines,714,109,224,381,0.152661,229,20,465,0.320728,0.028011,51,58,0,0,483,0.676471
Elevance Health,612,98,205,309,0.160131,230,25,357,0.375817,0.04085,36,62,0,0,407,0.665033
Eli Lilly,563,72,248,243,0.127886,281,31,251,0.499112,0.055062,28,44,0,0,315,0.559503
Energy Transfer,697,132,232,333,0.189383,309,36,352,0.443329,0.05165,54,75,2,1,463,0.664275
Enterprise Products Partners,761,2,473,286,0.002628,471,0,290,0.618922,0.0,1,1,0,0,288,0.378449
Exxon Mobil,582,116,195,271,0.199313,248,15,319,0.426117,0.025773,27,88,0,1,385,0.661512
Fannie Mae,599,69,186,344,0.115192,279,38,282,0.465776,0.063439,19,49,0,1,411,0.686144
FedEx,882,172,304,406,0.195011,403,10,469,0.456916,0.011338,101,68,3,0,574,0.650794
Ford Motor,1146,164,351,631,0.143106,513,21,612,0.447644,0.018325,90,72,2,0,791,0.690227
Freddie Mac,216,31,101,84,0.143519,66,7,143,0.305556,0.032407,10,20,0,1,114,0.527778
Galaxy Digital,137,12,55,70,0.087591,76,2,59,0.554745,0.014599,1,11,0,0,82,0.59854
General Dynamics,1493,214,514,765,0.143336,574,33,886,0.384461,0.022103,114,99,1,0,978,0.655057
General Motors,694,107,223,364,0.154179,325,20,349,0.4683,0.028818,34,72,1,0,470,0.677233
Goldman Sachs Group,1012,108,408,496,0.106719,223,99,690,0.220356,0.097826,58,50,0,0,604,0.596838
HCA Healthcare,584,64,249,271,0.109589,312,20,252,0.534247,0.034247,29,35,0,0,335,0.57363
HP,405,88,100,217,0.217284,227,9,169,0.560494,0.022222,57,30,0,1,304,0.750617
Home Depot,1392,85,894,413,0.061063,418,129,845,0.300287,0.092672,30,55,0,0,497,0.35704
Humana,758,124,278,356,0.163588,371,17,370,0.489446,0.022427,35,84,5,0,478,0.630607
IBM,541,83,205,253,0.15342,201,28,312,0.371534,0.051756,56,27,0,0,335,0.619224
Ingram Micro Holding,931,151,282,498,0.162191,656,16,259,0.704619,0.017186,51,99,1,0,647,0.694952
Intel,288,64,71,153,0.222222,134,3,151,0.465278,0.010417,43,20,0,1,214,0.743056
JPMorgan Chase,835,136,269,430,0.162874,280,40,515,0.335329,0.047904,99,36,1,0,565,0.676647
Johnson & Johnson,760,132,282,346,0.173684,351,16,393,0.461842,0.021053,73,58,1,0,477,0.627632
Kroger,888,120,329,439,0.135135,295,46,547,0.332207,0.051802,49,65,5,1,552,0.621622
Liberty Mutual Insurance Group,1018,100,379,539,0.098232,342,26,650,0.335953,0.02554,62,36,1,1,638,0.626719
Lockheed Martin,861,179,247,435,0.207898,246,13,602,0.285714,0.015099,99,80,0,0,613,0.711963
Lowe's,907,138,295,474,0.15215,356,11,540,0.392503,0.012128,52,85,0,1,606,0.668137
Marathon Petroleum,377,44,158,175,0.116711,203,3,171,0.538462,0.007958,10,33,1,0,219,0.580902
Massachusetts Mutual Life,859,153,247,459,0.178114,437,23,399,0.508731,0.026775,79,70,0,4,609,0.708964
McKesson,840,90,342,408,0.107143,504,13,323,0.6,0.015476,34,55,0,1,496,0.590476
Merck,507,33,269,205,0.065089,196,10,301,0.386588,0.019724,15,18,0,0,238,0.469428
MetLife,781,144,260,377,0.184379,434,32,315,0.555698,0.040973,67,74,3,0,519,0.664533
Meta Platforms,151,19,58,74,0.125828,51,6,94,0.337748,0.039735,5,14,0,0,93,0.615894
Microsoft,660,113,218,329,0.171212,274,15,371,0.415152,0.022727,63,50,0,0,438,0.663636
MoonPie,932,48,484,400,0.051502,182,40,710,0.195279,0.042918,23,24,1,0,445,0.477468
Morgan Stanley,846,121,355,370,0.143026,240,81,525,0.283688,0.095745,47,74,0,0,490,0.579196
Nationwide,1149,100,471,578,0.087032,419,8,722,0.364665,0.006963,70,28,2,0,676,0.588338
New York Life Insurance,456,63,168,225,0.138158,293,17,146,0.642544,0.037281,41,20,2,0,288,0.631579
Nike,192,23,85,84,0.119792,54,3,135,0.28125,0.015625,18,3,2,0,107,0.557292
Nvidia,1122,156,414,552,0.139037,418,23,681,0.372549,0.020499,108,47,0,1,702,0.625668
Oracle,909,130,361,418,0.143014,438,15,456,0.481848,0.016502,45,82,0,3,547,0.60176
PepsiCo,817,156,233,428,0.190942,399,19,399,0.488372,0.023256,30,118,7,1,576,0.705018
Performance Food Group,3,0,1,2,0.0,1,0,2,0.333333,0.0,0,0,0,0,2,0.666667
Pfizer,383,63,132,188,0.164491,178,33,172,0.464752,0.086162,28,33,1,1,250,0.652742
Phillips 66,683,90,286,307,0.131772,355,6,322,0.519766,0.008785,36,52,1,1,395,0.578331
Procter & Gamble,268,34,84,150,0.126866,119,4,145,0.44403,0.014925,15,19,0,0,184,0.686567
Progressive,170,23,56,91,0.135294,66,1,103,0.388235,0.005882,8,15,0,0,112,0.658824
Prudential Financial,874,160,251,463,0.183066,420,29,425,0.480549,0.033181,74,84,1,1,620,0.709382
Publix Super Markets,851,52,398,401,0.061105,293,9,549,0.344301,0.010576,20,32,0,0,446,0.524089
RTX,865,120,331,414,0.138728,244,6,615,0.282081,0.006936,71,49,0,0,533,0.616185
State Farm Insurance,147,15,59,73,0.102041,73,1,73,0.496599,0.006803,8,7,0,0,88,0.598639
StoneX Group,848,128,290,430,0.150943,134,219,495,0.158019,0.258255,67,59,1,1,558,0.658019
Sysco,863,180,252,431,0.208575,460,19,384,0.533024,0.022016,84,91,5,0,604,0.699884
TD Synnex,488,82,170,236,0.168033,245,7,236,0.502049,0.014344,29,53,0,0,316,0.647541
TIAA,217,45,63,109,0.207373,119,3,95,0.548387,0.013825,19,26,0,0,154,0.709677
TJX,909,24,660,225,0.026403,433,58,418,0.476348,0.063806,16,8,0,0,249,0.273927
Target,595,45,287,263,0.07563,143,4,448,0.240336,0.006723,25,19,0,1,305,0.512605
Tesla,710,82,297,331,0.115493,168,31,511,0.23662,0.043662,37,40,5,0,408,0.574648
Travelers,835,121,286,428,0.14491,349,100,386,0.417964,0.11976,78,40,2,1,546,0.653892
Tyson Foods,1081,179,328,574,0.165587,549,14,518,0.507863,0.012951,59,116,2,2,749,0.692877
UPS,200,20,92,88,0.1,56,1,143,0.28,0.005,7,13,0,0,107,0.535
USAA,899,194,223,482,0.215795,492,38,369,0.547275,0.042269,97,95,1,1,674,0.749722
Uber Technologies,954,159,333,462,0.166667,286,21,647,0.29979,0.022013,77,80,2,0,617,0.646751
