day_of_month,total_posts,humor_posts_t50,non_humor_posts_t50,humor_rate_t50
1,2209,880,1329,0.39837
2,1984,765,1219,0.385585
3,2058,777,1281,0.377551
4,2053,796,1257,0.387725
5,2338,1032,1306,0.441403
6,2168,809,1359,0.373155
7,2065,772,1293,0.37385
8,2274,853,1421,0.37511
9,2140,832,1308,0.388785
10,2243,890,1353,0.39679
11,2253,845,1408,0.375055
12,2348,885,1463,0.376917
13,2220,893,1327,0.402252
14,2304,906,1398,0.393229
15,2299,860,1439,0.374076
16,2169,863,1306,0.397879
17,2167,826,1341,0.381172
18,2207,811,1396,0.367467
19,2286,855,1431,0.374016
20,2181,831,1350,0.381018
21,2081,796,1285,0.382508
22,2162,836,1326,0.386679
23,2069,779,1290,0.37651
24,1929,807,1122,0.418351
25,1865,700,1165,0.375335
26,2062,793,1269,0.384578
27,2076,809,1267,0.389692
28,1951,748,1203,0.383393
29,1997,763,1234,0.382073
30,1902,685,1217,0.360147
31,1185,492,693,0.41519
