year_month,total_posts,humor_posts_t50,non_humor_posts_t50,humor_rate_t50,mean_humor_probability
2015-07,1,0,1,0.0,0.492794
2015-08,2,2,0,1.0,0.552496
2015-10,2,1,1,0.5,0.495296
2015-12,17,8,9,0.470588,0.462814
2016-01,42,23,19,0.547619,0.495354
2016-02,44,22,22,0.5,0.489807
2016-03,31,15,16,0.483871,0.490464
2016-04,34,16,18,0.470588,0.475278
2016-05,60,35,25,0.583333,0.509444
2016-06,107,40,67,0.373832,0.448569
2016-07,127,25,102,0.19685,0.417632
2016-08,114,26,88,0.22807,0.418899
2016-09,138,47,91,0.34058,0.447872
2016-10,166,53,113,0.319277,0.446777
2016-11,102,39,63,0.382353,0.462922
2016-12,109,21,88,0.192661,0.414167
2017-01,81,26,55,0.320988,0.43477
2017-02,66,22,44,0.333333,0.453898
2017-03,100,35,65,0.35,0.440616
2017-04,109,41,68,0.376147,0.45363
2017-05,56,20,36,0.357143,0.458032
2017-06,10,6,4,0.6,0.517768
2017-07,17,16,1,0.941176,0.56393
2017-08,13,11,2,0.846154,0.530963
2017-09,8,7,1,0.875,0.558416
2017-10,20,18,2,0.9,0.56199
2017-11,22,19,3,0.863636,0.536202
2017-12,8,6,2,0.75,0.554521
2018-01,14,9,5,0.642857,0.524795
2018-02,12,9,3,0.75,0.53241
2018-03,7,6,1,0.857143,0.544849
2018-04,6,6,0,1.0,0.582275
2018-05,7,7,0,1.0,0.567355
2018-06,35,31,4,0.885714,0.552091
2018-07,39,28,11,0.717949,0.533087
2018-08,25,9,16,0.36,0.489871
2018-09,450,369,81,0.82,0.5334
2018-10,120,99,21,0.825,0.540868
2018-11,69,48,21,0.695652,0.54458
2018-12,78,69,9,0.884615,0.551414
2019-01,51,34,17,0.666667,0.530142
2019-02,64,46,18,0.71875,0.530163
2019-03,136,64,72,0.470588,0.497187
2019-04,215,109,106,0.506977,0.503084
2019-05,258,136,122,0.527132,0.502562
2019-06,167,69,98,0.413174,0.492928
2019-07,148,81,67,0.547297,0.505131
2019-08,170,79,91,0.464706,0.498497
2019-09,168,75,93,0.446429,0.492731
2019-10,137,71,66,0.518248,0.5043
2019-11,134,71,63,0.529851,0.499552
2019-12,129,79,50,0.612403,0.521238
2020-01,121,57,64,0.471074,0.499796
2020-02,121,64,57,0.528926,0.504048
2020-03,157,49,108,0.312102,0.477767
2020-04,177,54,123,0.305085,0.469224
2020-05,184,64,120,0.347826,0.476843
2020-06,112,32,80,0.285714,0.469597
2020-07,149,47,102,0.315436,0.473011
2020-08,217,108,109,0.497696,0.49803
2020-09,284,143,141,0.503521,0.496183
2020-10,506,185,321,0.365613,0.476385
2020-11,375,126,249,0.336,0.471306
2020-12,307,161,146,0.52443,0.500282
2021-01,315,107,208,0.339683,0.469845
2021-02,451,183,268,0.405765,0.479619
2021-03,575,203,372,0.353043,0.475087
2021-04,549,205,344,0.373406,0.473505
2021-05,536,184,352,0.343284,0.469996
2021-06,622,207,415,0.332797,0.469821
2021-07,467,167,300,0.357602,0.473165
2021-08,543,208,335,0.383057,0.475926
2021-09,699,256,443,0.366237,0.477625
2021-10,696,252,444,0.362069,0.47644
2021-11,759,293,466,0.386034,0.47667
2021-12,705,303,402,0.429787,0.48214
2022-01,610,193,417,0.316393,0.469803
2022-02,728,235,493,0.322802,0.469087
2022-03,926,334,592,0.360691,0.473319
2022-04,948,294,654,0.310127,0.467371
2022-05,1019,333,686,0.326791,0.472902
2022-06,1097,403,694,0.367366,0.47648
2022-07,1044,415,629,0.39751,0.480014
2022-08,1067,412,655,0.386129,0.476621
2022-09,1394,500,894,0.35868,0.477261
2022-10,1712,603,1109,0.35222,0.474924
2022-11,1072,382,690,0.356343,0.473207
2022-12,717,264,453,0.368201,0.476472
2023-01,637,197,440,0.309262,0.465316
2023-02,817,293,524,0.358629,0.474187
2023-03,949,345,604,0.363541,0.474049
2023-04,791,261,530,0.329962,0.467485
2023-05,911,303,608,0.332602,0.47066
2023-06,922,337,585,0.36551,0.47766
2023-07,1461,724,737,0.495551,0.49661
2023-08,784,327,457,0.417092,0.479915
2023-09,937,359,578,0.383138,0.478315
2023-10,896,299,597,0.333705,0.46965
2023-11,863,362,501,0.419467,0.484492
2023-12,685,324,361,0.472993,0.492006
2024-01,674,262,412,0.388724,0.478543
2024-02,801,351,450,0.438202,0.48868
2024-03,557,220,337,0.394973,0.476707
2024-04,707,282,425,0.398868,0.47669
2024-05,739,266,473,0.359946,0.471863
2024-06,688,282,406,0.409884,0.477413
2024-07,759,299,460,0.393939,0.47702
2024-08,696,329,367,0.472701,0.490949
2024-09,774,278,496,0.359173,0.471145
2024-10,892,283,609,0.317265,0.466917
2024-11,753,329,424,0.436919,0.488474
2024-12,722,310,412,0.429363,0.483871
2025-01,672,205,467,0.30506,0.4638
2025-02,777,349,428,0.449163,0.485635
2025-03,813,341,472,0.419434,0.484063
2025-04,849,367,482,0.432273,0.479773
2025-05,902,374,528,0.414634,0.481804
2025-06,930,343,587,0.368817,0.47384
2025-07,922,327,595,0.354664,0.473488
2025-08,1019,328,691,0.321884,0.472447
2025-09,1064,385,679,0.361842,0.474676
2025-10,1384,466,918,0.336705,0.469694
2025-11,1252,402,850,0.321086,0.472229
2025-12,1078,452,626,0.419295,0.483399
2026-01,1144,358,786,0.312937,0.469082
2026-02,1153,469,684,0.406765,0.479691
2026-03,1307,485,822,0.371079,0.475687
2026-04,1617,631,986,0.390229,0.479019
2026-05,1777,713,1064,0.401238,0.482565
2026-06,964,342,622,0.354772,0.475685
