@Wendys browser scrape start: existing=0, max_scrolls=2500, idle_limit=60
captured=21, new=21, total_unique=21
captured=21, new=20, total_unique=41
captured=26, new=25, total_unique=66
scroll=10, total_unique=66, idle_scrolls=5
captured=27, new=26, total_unique=92
captured=24, new=23, total_unique=115
captured=25, new=24, total_unique=139
scroll=20, total_unique=139, idle_scrolls=1
captured=25, new=23, total_unique=162
captured=26, new=25, total_unique=187
captured=22, new=18, total_unique=205
captured=27, new=26, total_unique=231
scroll=30, total_unique=231, idle_scrolls=0
captured=24, new=23, total_unique=254
captured=24, new=23, total_unique=277
captured=26, new=25, total_unique=302
scroll=40, total_unique=302, idle_scrolls=0
captured=25, new=24, total_unique=326
captured=26, new=25, total_unique=351
scroll=50, total_unique=351, idle_scrolls=1
captured=22, new=21, total_unique=372
captured=16, new=14, total_unique=386
captured=23, new=22, total_unique=408
scroll=60, total_unique=408, idle_scrolls=2
captured=30, new=29, total_unique=437
captured=25, new=24, total_unique=461
captured=23, new=22, total_unique=483
captured=24, new=23, total_unique=506
scroll=70, total_unique=506, idle_scrolls=1
captured=22, new=21, total_unique=527
captured=25, new=24, total_unique=551
captured=27, new=26, total_unique=577
captured=29, new=28, total_unique=605
scroll=80, total_unique=605, idle_scrolls=1
captured=28, new=27, total_unique=632
captured=26, new=25, total_unique=657
captured=23, new=22, total_unique=679
captured=25, new=24, total_unique=703
scroll=90, total_unique=703, idle_scrolls=0
captured=23, new=22, total_unique=725
captured=26, new=25, total_unique=750
captured=20, new=19, total_unique=769
captured=22, new=20, total_unique=789
scroll=100, total_unique=789, idle_scrolls=0
captured=22, new=21, total_unique=810
captured=22, new=20, total_unique=830
captured=28, new=27, total_unique=857
scroll=110, total_unique=857, idle_scrolls=2
captured=29, new=28, total_unique=885
captured=22, new=21, total_unique=906
captured=29, new=27, total_unique=933
scroll=120, total_unique=933, idle_scrolls=0
captured=27, new=26, total_unique=959
captured=1, new=0, total_unique=959
scroll=130, total_unique=959, idle_scrolls=7
scroll=140, total_unique=959, idle_scrolls=17
scroll=150, total_unique=959, idle_scrolls=27
scroll=160, total_unique=959, idle_scrolls=37
scroll=170, total_unique=959, idle_scrolls=47
scroll=180, total_unique=959, idle_scrolls=57
No new posts after 60 scrolls. Stopping.
완료: 누적 고유 포스트 959개 저장 -> wendys_posts.json
