fortune_rank_2025,company_name,ticker,cik,cik_padded,target_report_year,download_status,failure_reason,form_type,filing_date,report_date,accession_number,primary_document,sec_filing_url,sec_document_url,local_html_path,local_text_path,total_words,ai_keyword_count,ai_keyword_per_10k_words,sample_role,has_10k_text,audit_category,analysis_treatment,sec_sic_code,sec_sic_description,naics_code,naics_description,naics_sector_code,naics_sector_name,naics_source,industry_enrichment_status,industry_enrichment_reason,final_dataset_role,has_10k_text_final,has_ai_window_k5,is_primary_text_sample,is_k5_topic_sample,ai_window_count,topic_0_count,topic_0_share,topic_1_count,topic_1_share,topic_2_count,topic_2_share,topic_3_count,topic_3_share,topic_4_count,topic_4_share,AI_Privacy_Data_Law_Topic_Count,AI_Privacy_Data_Law_Topic_Share,AI_Business_Product_Topic_Count,AI_Business_Product_Topic_Share,AI_Cybersecurity_Risk_Topic_Count,AI_Cybersecurity_Risk_Topic_Share,AI_Infrastructure_Topic_Count,AI_Infrastructure_Topic_Share,AI_AIUse_LegalRisk_Topic_Count,AI_AIUse_LegalRisk_Topic_Share,AI_NegativeSensitive_Topic_Count,AI_NegativeSensitive_Topic_Share,AI_Negative_Orientation,k,k5_topic_0_label,k5_topic_1_label,k5_topic_2_label,k5_topic_3_label,k5_topic_4_label,AI_Dominant_Topic_ID,AI_Dominant_Topic_Label,event_id,norm_cik,norm_ticker,norm_date,fiscal_year,key_cik_date,key_ticker_date,event_id_estimate,ticker_estimate,company,filing_date_estimate,event_trading_date,market_benchmark,market_data_status,failure_reason_estimate,CAR_m1_p1,CAR_0_p1,CAR_0_p3,CAR_0_p5,AbnormalVolume_0_p1,AbnormalVolume_0_p3,AbnormalVolume_0_p5,CAR_m10_m6,CAR_m5_m2,AbnormalVolume_m5_m2,norm_cik_estimate,norm_ticker_estimate,norm_date_estimate,key_cik_date_estimate,AI_Related_Disclosure_Intensity,AI_RiskRelated_Topic_Share,AI_Risk_Orientation_Proxy,filing_year,log_total_words,AI_Mention_Count,Topic_Entropy
1,Amazon,AMZN,1018724,1018724,2023,success,,10-K,2024-02-02,2023-12-31,0001018724-24-000008,amzn-20231231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,data/raw/sec_10k_html/top100/chunk_01/AMZN/2023_AMZN_10k.html,data/processed/sec_10k_text/top100/chunk_01/AMZN/2023_AMZN_10k.txt,39933,15,3.756292,primary_text_sample,True,,,5961,Retail-Catalog & Mail-Order Houses,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,True,True,True,True,12,5,0.416667,1,0.083333,0,0.0,4,0.333333,2,0.166667,5,0.416667,1,0.083333,0,0.0,4,0.333333,2,0.166667,7,0.583334,0.25,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0.0,privacy_data_law_protection,AMZN_2023_1018724,0001018724,AMZN,2024-02-02,2023,0001018724_2024-02-02,AMZN_2024-02-02,AMZN_2023_0001018724,AMZN,Amazon,2024-02-02,2024-02-02,US500,success,,0.0619667583806085,0.0549158510397348,0.0396073437178837,0.0519812876621594,1.3175124704566583,0.3052851537087786,0.0743494693180711,-0.009919250051765,-0.0036111554038595,-0.4754701567410171,,AMZN,2024-02-02,,3.756292,0.583334,0.25,2024,10.594958328715128,15,1.23668456370896
1,Amazon,AMZN,1018724,1018724,2024,success,,10-K,2025-02-07,2024-12-31,0001018724-25-000004,amzn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,data/raw/sec_10k_html/top100/chunk_01/AMZN/2024_AMZN_10k.html,data/processed/sec_10k_text/top100/chunk_01/AMZN/2024_AMZN_10k.txt,39502,22,5.569338,primary_text_sample,True,,,5961,Retail-Catalog & Mail-Order Houses,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,True,True,True,True,16,4,0.25,5,0.3125,0,0.0,5,0.3125,2,0.125,4,0.25,5,0.3125,0,0.0,5,0.3125,2,0.125,6,0.375,0.0625,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1.0,business_product_service_revenue,AMZN_2024_1018724,0001018724,AMZN,2025-02-07,2024,0001018724_2025-02-07,AMZN_2025-02-07,AMZN_2024_0001018724,AMZN,Amazon,2025-02-07,2025-02-07,US500,success,,-0.0142575217149984,-0.0199532156575238,-0.0346650529940799,-0.0513118575324711,1.006421934657643,-0.0069114978796128,-0.2910483403700141,0.0082083042042463,0.0087452065132843,-0.2491582807642256,,AMZN,2025-02-07,,5.569338,0.375,0.0625,2025,10.584106582518803,22,1.3334730391185026
1,Amazon,AMZN,1018724,1018724,2025,success,,10-K,2026-02-06,2025-12-31,0001018724-26-000004,amzn-20251231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,data/raw/sec_10k_html/top100/chunk_01/AMZN/2025_AMZN_10k.html,data/processed/sec_10k_text/top100/chunk_01/AMZN/2025_AMZN_10k.txt,39943,45,11.266054,primary_text_sample,True,,,5961,Retail-Catalog & Mail-Order Houses,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,True,True,True,True,29,5,0.172414,15,0.517241,2,0.068966,5,0.172414,2,0.068966,5,0.172414,15,0.517241,2,0.068966,5,0.172414,2,0.068966,9,0.310346,0.137931,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1.0,business_product_service_revenue,AMZN_2025_1018724,0001018724,AMZN,2026-02-06,2025,0001018724_2026-02-06,AMZN_2026-02-06,AMZN_2025_0001018724,AMZN,Amazon,2026-02-06,2026-02-06,US500,success,,-0.1237314787405137,-0.0966258303170313,-0.1125645856439928,-0.1156630329719837,3.0931119887660867,2.161615661529096,1.9624008194594105,0.0245316552914774,-0.0157372558433433,0.2429579439203135,,AMZN,2026-02-06,,11.266054,0.310346,0.137931,2026,10.595208716817995,45,1.3159971698324089
2,Walmart,WMT,104169,104169,2023,success,,10-K,2023-03-17,2023-01-31,0000104169-23-000020,wmt-20230131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/wmt-20230131.htm,data/raw/sec_10k_html/top100/chunk_01/WMT/2023_WMT_10k.html,data/processed/sec_10k_text/top100/chunk_01/WMT/2023_WMT_10k.txt,50892,5,0.982473,primary_text_sample,True,,,5331,Retail-Variety Stores,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,True,True,True,True,5,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1.0,business_product_service_revenue,WMT_2023_104169,0000104169,WMT,2023-03-17,2023,0000104169_2023-03-17,WMT_2023-03-17,WMT_2023_0000104169,WMT,Walmart,2023-03-17,2023-03-17,US500,success,,0.0048420276555339,0.0196322708128374,0.0114239583440381,0.0229358022588787,1.5296668807009932,0.6601790916752683,0.5139350429401627,-0.0164514371807301,0.0207829563635782,0.6138716334565306,,WMT,2023-03-17,,0.982473,0.0,0.0,2023,10.83746101926259,5,-0.0
2,Walmart,WMT,104169,104169,2024,success,,10-K,2024-03-15,2024-01-31,0000104169-24-000056,wmt-20240131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/,https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/wmt-20240131.htm,data/raw/sec_10k_html/top100/chunk_01/WMT/2024_WMT_10k.html,data/processed/sec_10k_text/top100/chunk_01/WMT/2024_WMT_10k.txt,53582,8,1.493039,primary_text_sample,True,,,5331,Retail-Variety Stores,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,True,True,True,True,7,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1.0,business_product_service_revenue,WMT_2024_104169,0000104169,WMT,2024-03-15,2024,0000104169_2024-03-15,WMT_2024-03-15,WMT_2024_0000104169,WMT,Walmart,2024-03-15,2024-03-15,US500,success,,-0.004034333358696,-0.0036947090668864,-0.0039272146466772,-0.0119874458787369,1.3879679538728975,0.2044887634369165,-0.055170001912559,0.0220558814516888,0.0122518341414656,-0.4884207912785893,,WMT,2024-03-15,,1.493039,0.0,0.0,2024,10.888968469762906,8,-0.0
2,Walmart,WMT,104169,104169,2025,success,,10-K,2025-03-14,2025-01-31,0000104169-25-000021,wmt-20250131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416925000021/,https://www.sec.gov/Archives/edgar/data/104169/000010416925000021/wmt-20250131.htm,data/raw/sec_10k_html/top100/chunk_01/WMT/2025_WMT_10k.html,data/processed/sec_10k_text/top100/chunk_01/WMT/2025_WMT_10k.txt,52699,13,2.46684,primary_text_sample,True,,,5331,Retail-Variety Stores,,,44-45,Retail Trade,sic_range_sector_crosswalk,success,,master_frame,True,True,True,True,12,1,0.083333,7,0.583333,2,0.166667,0,0.0,2,0.166667,1,0.083333,7,0.583333,2,0.166667,0,0.0,2,0.166667,5,0.416667,0.416667,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,1.0,business_product_service_revenue,WMT_2025_104169,0000104169,WMT,2025-03-14,2025,0000104169_2025-03-14,WMT_2025-03-14,WMT_2025_0000104169,WMT,Walmart,2025-03-14,2025-03-14,US500,success,,0.0163905676848997,0.0227109296225175,0.0056927156859743,0.0007501781029147,2.1442224092604256,1.578576951870794,1.442857888216433,-0.0265132143523482,-0.1061858023580154,2.387153421736554,,WMT,2025-03-14,,2.46684,0.416667,0.416667,2025,10.872351759017352,13,1.1187435225229199
3,UnitedHealth Group,UNH,731766,731766,2023,success,,10-K,2024-02-28,2023-12-31,0000731766-24-000081,unh-20231231.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176624000081/,https://www.sec.gov/Archives/edgar/data/731766/000073176624000081/unh-20231231.htm,data/raw/sec_10k_html/top100/chunk_01/UNH/2023_UNH_10k.html,data/processed/sec_10k_text/top100/chunk_01/UNH/2023_UNH_10k.txt,43202,6,1.388825,primary_text_sample,True,,,6324,Hospital & Medical Service Plans,,,52,Finance and Insurance,sic_range_sector_crosswalk,success,,master_frame,True,True,True,True,11,3,0.272727,0,0.0,1,0.090909,2,0.181818,5,0.454545,3,0.272727,0,0.0,1,0.090909,2,0.181818,5,0.454545,9,0.818181,0.636364,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,4.0,ai_use_legal_regulatory_risk,UNH_2023_731766,0000731766,UNH,2024-02-28,2023,0000731766_2024-02-28,UNH_2024-02-28,UNH_2023_0000731766,UNH,UnitedHealth Group,2024-02-28,2024-02-28,US500,success,,-0.0644797112659824,-0.0408480699685905,-0.0673242062303669,-0.085686038194684,2.739620548533776,2.380316540039875,2.14349119699356,0.0082092276935439,0.0017810553798324,-0.4323630528203737,,UNH,2024-02-28,,1.388825,0.818181,0.636364,2024,10.673642069456857,6,1.240684051268604
3,UnitedHealth Group,UNH,731766,731766,2024,success,,10-K,2025-02-27,2024-12-31,0000731766-25-000063,unh-20241231.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176625000063/,https://www.sec.gov/Archives/edgar/data/731766/000073176625000063/unh-20241231.htm,data/raw/sec_10k_html/top100/chunk_01/UNH/2024_UNH_10k.html,data/processed/sec_10k_text/top100/chunk_01/UNH/2024_UNH_10k.txt,43703,6,1.372903,primary_text_sample,True,,,6324,Hospital & Medical Service Plans,,,52,Finance and Insurance,sic_range_sector_crosswalk,success,,master_frame,True,True,True,True,11,3,0.272727,0,0.0,1,0.090909,2,0.181818,5,0.454545,3,0.272727,0,0.0,1,0.090909,2,0.181818,5,0.454545,9,0.818181,0.636364,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,4.0,ai_use_legal_regulatory_risk,UNH_2024_731766,0000731766,UNH,2025-02-27,2024,0000731766_2025-02-27,UNH_2025-02-27,UNH_2024_0000731766,UNH,UnitedHealth Group,2025-02-27,2025-02-27,US500,success,,0.0091363971675728,0.0238995022152842,0.0292390376734445,0.0575798409539234,0.7105973364945901,0.8497531300504525,0.671543657006183,-0.0474288676691708,-0.0769670086898003,1.828299021087288,,UNH,2025-02-27,,1.372903,0.818181,0.636364,2025,10.68517202861297,6,1.240684051268604
3,UnitedHealth Group,UNH,731766,731766,2025,success,,10-K,2026-03-02,2025-12-31,0000731766-26-000062,unh-20251231.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176626000062/,https://www.sec.gov/Archives/edgar/data/731766/000073176626000062/unh-20251231.htm,data/raw/sec_10k_html/top100/chunk_01/UNH/2025_UNH_10k.html,data/processed/sec_10k_text/top100/chunk_01/UNH/2025_UNH_10k.txt,45833,5,1.090917,primary_text_sample,True,,,6324,Hospital & Medical Service Plans,,,52,Finance and Insurance,sic_range_sector_crosswalk,success,,master_frame,True,True,True,True,15,3,0.2,0,0.0,1,0.066667,3,0.2,8,0.533333,3,0.2,0,0.0,1,0.066667,3,0.2,8,0.533333,12,0.8,0.6,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,4.0,ai_use_legal_regulatory_risk,UNH_2025_731766,0000731766,UNH,2026-03-02,2025,0000731766_2026-03-02,UNH_2026-03-02,UNH_2025_0000731766,UNH,UnitedHealth Group,2026-03-02,2026-03-02,US500,success,,0.0177486893034019,-0.007973060924323,-0.0068637067213401,-0.0068915705811791,-0.3727302552334339,-0.4920152804060979,-0.3994652119513644,0.0243868833268724,-0.005058003463592,-0.0246344806031654,,UNH,2026-03-02,,1.090917,0.8,0.6,2026,10.732759634666934,5,1.1595704898852968
4,Apple,AAPL,320193,320193,2023,success,,10-K,2023-11-03,2023-09-30,0000320193-23-000106,aapl-20230930.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,data/raw/sec_10k_html/top100/chunk_01/AAPL/2023_AAPL_10k.html,data/processed/sec_10k_text/top100/chunk_01/AAPL/2023_AAPL_10k.txt,28121,2,0.711212,primary_text_sample,True,,,3571,Electronic Computers,,,31-33,Manufacturing,sic_range_sector_crosswalk,success,,master_frame,True,True,True,True,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1.0,5,privacy_data_law_protection,business_product_service_revenue,cybersecurity_attacks_security_threats,ai_cloud_platform_infrastructure,ai_use_legal_regulatory_risk,0.0,privacy_data_law_protection,AAPL_2023_320193,0000320193,AAPL,2023-11-03,2023,0000320193_2023-11-03,AAPL_2023-11-03,AAPL_2023_0000320193,AAPL,Apple,2023-11-03,2023-11-03,US500,success,,-0.009580907074285,-0.005532042205456,0.0093076434594335,0.0196477828492377,0.49413120703023,0.1566902155519457,0.0568812665048899,-0.0074031102351389,0.0094905951415397,-0.5885112526679578,,AAPL,2023-11-03,,0.711212,1.0,1.0,2023,10.24427190716996,2,-0.0
