event_id,company,ticker_original,ticker_yfinance,ticker_used,filing_date,event_trading_day,firm_data_source,benchmark_symbol,benchmark_data_source,firm_rows_raw,benchmark_rows_raw,daily_event_rows,estimation_window_mode,market_data_status,failure_reason
AMZN_2023_0001018724,Amazon,AMZN,AMZN,AMZN,2024-02-02,2024-02-02,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
AMZN_2024_0001018724,Amazon,AMZN,AMZN,AMZN,2025-02-07,2025-02-07,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
AMZN_2025_0001018724,Amazon,AMZN,AMZN,AMZN,2026-02-06,2026-02-06,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
WMT_2023_0000104169,Walmart,WMT,WMT,WMT,2023-03-17,2023-03-17,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
WMT_2024_0000104169,Walmart,WMT,WMT,WMT,2024-03-15,2024-03-15,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
WMT_2025_0000104169,Walmart,WMT,WMT,WMT,2025-03-14,2025-03-14,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
UNH_2023_0000731766,UnitedHealth Group,UNH,UNH,UNH,2024-02-28,2024-02-28,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
UNH_2024_0000731766,UnitedHealth Group,UNH,UNH,UNH,2025-02-27,2025-02-27,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
UNH_2025_0000731766,UnitedHealth Group,UNH,UNH,UNH,2026-03-02,2026-03-02,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
AAPL_2023_0000320193,Apple,AAPL,AAPL,AAPL,2023-11-03,2023-11-03,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
AAPL_2024_0000320193,Apple,AAPL,AAPL,AAPL,2024-11-01,2024-11-01,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
AAPL_2025_0000320193,Apple,AAPL,AAPL,AAPL,2025-10-31,2025-10-31,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
GOOGL_2023_0001652044,Alphabet,GOOGL,GOOGL,GOOGL,2024-01-31,2024-01-31,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
GOOGL_2024_0001652044,Alphabet,GOOGL,GOOGL,GOOGL,2025-02-05,2025-02-05,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
GOOGL_2025_0001652044,Alphabet,GOOGL,GOOGL,GOOGL,2026-02-05,2026-02-05,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
CVS_2023_0000064803,CVS Health,CVS,CVS,CVS,2024-02-07,2024-02-07,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
CVS_2024_0000064803,CVS Health,CVS,CVS,CVS,2025-02-12,2025-02-12,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
CVS_2025_0000064803,CVS Health,CVS,CVS,CVS,2026-02-10,2026-02-10,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
BRK-B_2023_0001067983,Berkshire Hathaway,BRK-B,BRK-B,BRK-B,2024-02-26,2024-02-26,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
BRK-B_2024_0001067983,Berkshire Hathaway,BRK-B,BRK-B,BRK-B,2025-02-24,2025-02-24,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
BRK-B_2025_0001067983,Berkshire Hathaway,BRK-B,BRK-B,BRK-B,2026-03-02,2026-03-02,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
MCK_2023_0000927653,McKesson,MCK,MCK,MCK,2023-05-09,2023-05-09,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
MCK_2024_0000927653,McKesson,MCK,MCK,MCK,2024-05-08,2024-05-08,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
MCK_2025_0000927653,McKesson,MCK,MCK,MCK,2025-05-09,2025-05-09,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
XOM_2023_0000034088,Exxon Mobil,XOM,XOM,XOM,2024-02-28,2024-02-28,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
XOM_2024_0000034088,Exxon Mobil,XOM,XOM,XOM,2025-02-19,2025-02-19,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
XOM_2025_0000034088,Exxon Mobil,XOM,XOM,XOM,2026-02-18,2026-02-18,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
COR_2023_0001140859,Cencora,COR,COR,COR,2023-11-21,2023-11-21,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
COR_2024_0001140859,Cencora,COR,COR,COR,2024-11-26,2024-11-26,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
COR_2025_0001140859,Cencora,COR,COR,COR,2025-11-25,2025-11-25,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
MSFT_2023_0000789019,Microsoft,MSFT,MSFT,MSFT,2023-07-27,2023-07-27,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
MSFT_2024_0000789019,Microsoft,MSFT,MSFT,MSFT,2024-07-30,2024-07-30,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
MSFT_2025_0000789019,Microsoft,MSFT,MSFT,MSFT,2025-07-30,2025-07-30,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
JPM_2023_0000019617,JPMorgan Chase,JPM,JPM,JPM,2024-02-16,2024-02-16,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
JPM_2024_0000019617,JPMorgan Chase,JPM,JPM,JPM,2025-02-14,2025-02-14,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
JPM_2025_0000019617,JPMorgan Chase,JPM,JPM,JPM,2026-02-13,2026-02-13,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
COST_2023_0000909832,Costco Wholesale,COST,COST,COST,2023-10-11,2023-10-11,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
COST_2024_0000909832,Costco Wholesale,COST,COST,COST,2024-10-09,2024-10-09,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
COST_2025_0000909832,Costco Wholesale,COST,COST,COST,2025-10-08,2025-10-08,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
CI_2023_0001739940,Cigna Group,CI,CI,CI,2024-02-29,2024-02-29,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
CI_2024_0001739940,Cigna Group,CI,CI,CI,2025-02-27,2025-02-27,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
CI_2025_0001739940,Cigna Group,CI,CI,CI,2026-02-26,2026-02-26,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
CAH_2023_0000721371,Cardinal Health,CAH,CAH,CAH,2023-08-15,2023-08-15,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
CAH_2024_0000721371,Cardinal Health,CAH,CAH,CAH,2024-08-14,2024-08-14,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
CAH_2025_0000721371,Cardinal Health,CAH,CAH,CAH,2025-08-12,2025-08-12,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
NVDA_2023_0001045810,Nvidia,NVDA,NVDA,NVDA,2023-02-24,2023-02-24,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
NVDA_2024_0001045810,Nvidia,NVDA,NVDA,NVDA,2024-02-21,2024-02-21,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
NVDA_2025_0001045810,Nvidia,NVDA,NVDA,NVDA,2025-02-26,2025-02-26,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
META_2023_0001326801,Meta Platforms,META,META,META,2024-02-02,2024-02-02,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
META_2024_0001326801,Meta Platforms,META,META,META,2025-01-30,2025-01-30,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
META_2025_0001326801,Meta Platforms,META,META,META,2026-01-29,2026-01-29,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
ELV_2023_0001156039,Elevance Health,ELV,ELV,ELV,2024-02-21,2024-02-21,finance_datareader,US500,finance_datareader,1083,1083,271,full_250_30,success,
