event_id,ticker,company,filing_date,estimation_n,event_window_n,market_model_alpha,market_model_beta,market_model_r2,CAR_m1_p1,CAR_0_p1,CAR_0_p3,CAR_0_p5,AbnormalVolume_0_p1,AbnormalVolume_0_p3,AbnormalVolume_0_p5,market_data_status,failure_reason
AAL_2023_0000006201,AAL,American Airlines Group,2024-02-21,221,7,-0.0014956466524894598,1.4664818259322503,0.2727563108708111,0.020979726985071917,0.006560886065265411,0.01722698334205873,0.03186303021043845,0.26035510529309835,-0.008881460324520224,-0.17112457325191607,success,
AAL_2024_0000006201,AAL,American Airlines Group,2025-02-19,221,7,-0.0002852611302268568,1.2282318157749423,0.14204162193808167,-0.006636399040840711,-0.010786593645679434,-0.018252014991952163,-0.02061471015285804,-0.09142147474578607,0.6003890896373965,0.7756527133386036,success,
AAL_2025_0000006201,AAL,American Airlines Group,2026-02-18,221,7,-0.001073643651436106,1.8670634204569785,0.41584583317108215,-0.04272302472870792,-0.07865133366681559,-0.10189033145493684,-0.09938791379705092,0.13130669201039769,-0.18966738545636724,-0.19977395847331722,success,
AAPL_2023_0000320193,AAPL,Apple,2023-11-03,221,7,0.00018542893074708407,1.3030900506255154,0.6441560981764649,-0.009580907074285043,-0.0055320422054560975,0.00930764345943354,0.01964778284923771,0.49413120703023,0.1566902155519457,0.0568812665048899,success,
AAPL_2024_0000320193,AAPL,Apple,2024-11-01,221,7,-0.00010285321022751172,1.0018689700944867,0.29690495055530375,-0.0179282817295001,-0.01847899420599751,-0.05232214664781785,-0.04333274420124779,-0.09753373661144038,-0.5596971285382739,-0.6892140734848485,success,
AAPL_2025_0000320193,AAPL,Apple,2025-10-31,221,7,-0.0004759519439359649,1.2786254892439948,0.5637238238545981,0.0062013333975193,-0.013285768090921265,0.0021419587158264244,0.009653511012586605,0.7043438269103012,0.19914296274754129,0.09704411953651722,success,
ABBV_2023_0001551152,ABBV,AbbVie,2024-02-20,221,7,0.00032601376693890995,0.19292877858813134,0.014958755810719149,-0.007375704699187747,-0.013062431536803221,-0.001110833795532248,0.0036810590304657063,-0.2257627177590681,-0.2854792027884534,-0.3616610485566449,success,
ABBV_2024_0001551152,ABBV,AbbVie,2025-02-14,221,7,4.223522762971607e-05,0.2199398504938572,0.012538675075958294,0.013769887705632207,0.013764451397690182,0.037431619724019954,0.058032461104826086,-0.11564787271553267,-0.09801141353018088,0.08710350325266447,success,
ABBV_2025_0001551152,ABBV,AbbVie,2026-02-20,221,7,0.0005255730945634244,0.4778390444740596,0.11848520586178768,0.004775005929818908,0.02324137191805516,0.0034574689651576396,0.029539716167274972,0.12185980491564716,-0.08573261086211449,0.037870715305364455,success,
ACI_2023_0001646972,ACI,Albertsons,2023-04-25,221,7,-0.000616494293124065,0.584247623660301,0.2121287403737817,0.026372636184754723,0.023847932905683128,0.008001042398169124,0.021041883294281197,-0.16803702103041937,0.1663745505635298,0.2821149895733257,success,
ACI_2024_0001646972,ACI,Albertsons,2024-04-22,221,7,-8.026734651067903e-05,0.20877989903677865,0.036411169284756184,-0.009086887370898026,-0.005612849242777756,-0.018922638400780966,0.001295879409722105,0.39089226383865466,0.45902257627763543,-0.09860456300054062,success,
ACI_2025_0001646972,ACI,Albertsons,2025-04-21,221,7,0.00011590640607324754,0.3414531218718475,0.04743974664713091,0.06163650764084075,0.03607213500493668,0.01621965648756757,-0.010430595095322799,1.6294871091767238,1.4650443368101416,1.3256904532551326,success,
ADM_2023_0000007084,ADM,Archer Daniels Midland,2024-03-12,221,7,-0.0022685450055172675,0.7269489724646442,0.053661387751025136,0.062139172689117055,0.0572315242472007,0.08627736502278152,0.11072862696157507,3.3164788983733784,3.1902641702844035,2.789145830450769,success,
ADM_2024_0000007084,ADM,Archer Daniels Midland,2025-02-20,221,7,-0.0005016836389899245,0.347821835508509,0.040658840512349026,0.056645010469691365,0.05414149108225428,0.07026782696325311,0.031261912875585204,0.4284551304191218,0.5918359294235419,0.4974328862011473,success,
ADM_2025_0000007084,ADM,Archer Daniels Midland,2026-02-17,221,7,0.0010912743459453803,0.38917879526658694,0.06796360987785632,-0.02742337932402711,-0.02628174922281453,-0.024738292369571733,-0.02376398932928689,0.2836560769996709,-0.11256547809471552,-0.3939662158790629,success,
ALL_2023_0000899051,ALL,Allstate,2024-02-21,221,7,5.3289029140939476e-05,0.7058569997483306,0.1072871553156618,-0.021431242560407498,-0.012814458210233977,-0.012926314710352613,-0.008133284209388598,0.35978114717997733,0.040509216961648636,-0.24295704451353842,success,
ALL_2024_0000899051,ALL,Allstate,2025-02-24,221,7,0.0007563340358826614,0.22229739440827054,0.01701399298587969,0.010555546835535433,0.026267716773353877,0.052039590261564156,0.0862342705665693,-0.1152885370413273,-0.13707709158247394,0.39354515918941857,success,
ALL_2025_0000899051,ALL,Allstate,2026-02-20,221,7,0.00021554162988069426,0.5115910826264378,0.14667875343829317,-0.013134815755063865,0.015735284338727753,0.022518348124696465,0.05155553775831614,-0.0546295912634234,-0.09534363015346724,0.07067388400502421,success,
AMZN_2023_0001018724,AMZN,Amazon,2024-02-02,221,7,0.0005155509892453141,1.480523685372282,0.34262577584010556,0.06196675838060858,0.05491585103973484,0.03960734371788378,0.05198128766215943,1.3175124704566585,0.3052851537087786,0.0743494693180711,success,
AMZN_2024_0001018724,AMZN,Amazon,2025-02-07,221,7,3.858739184674094e-05,1.5025674734030852,0.478069384738653,-0.014257521714998422,-0.01995321565752385,-0.034665052994079924,-0.051311857532471146,1.006421934657643,-0.006911497879612899,-0.2910483403700141,success,
AMZN_2025_0001018724,AMZN,Amazon,2026-02-06,221,7,-0.0009315602264145253,1.3935359193727097,0.571522862654433,-0.12373147874051374,-0.09662583031703138,-0.1125645856439928,-0.11566303297198373,3.0931119887660867,2.161615661529096,1.9624008194594105,success,
