event_id,ticker,company,filing_date,event_trading_date,market_benchmark,market_data_status,failure_reason,CAR_m1_p1,CAR_0_p1,CAR_0_p3,CAR_0_p5,AbnormalVolume_0_p1,AbnormalVolume_0_p3,AbnormalVolume_0_p5,CAR_m10_m6,CAR_m5_m2,AbnormalVolume_m5_m2
AAL_2023_0000006201,AAL,American Airlines Group,2024-02-21,2024-02-21,US500,success,,0.020979726985071917,0.006560886065265411,0.01722698334205873,0.03186303021043845,0.26035510529309835,-0.008881460324520224,-0.17112457325191607,0.03013056855161622,-0.008873615600558033,0.12064937330719903
AAL_2024_0000006201,AAL,American Airlines Group,2025-02-19,2025-02-19,US500,success,,-0.006636399040840711,-0.010786593645679434,-0.018252014991952163,-0.02061471015285804,-0.09142147474578607,0.6003890896373965,0.7756527133386036,-0.018013566286195316,-0.04847196582506165,0.10048563187560525
AAL_2025_0000006201,AAL,American Airlines Group,2026-02-18,2026-02-18,US500,success,,-0.04272302472870792,-0.07865133366681559,-0.10189033145493684,-0.09938791379705092,0.13130669201039769,-0.18966738545636724,-0.19977395847331722,0.09919832256688604,-0.037830011372861405,-1.1600629092885575
AAPL_2023_0000320193,AAPL,Apple,2023-11-03,2023-11-03,US500,success,,-0.009580907074285043,-0.0055320422054560975,0.00930764345943354,0.01964778284923771,0.49413120703023,0.1566902155519457,0.0568812665048899,-0.007403110235138917,0.009490595141539736,-0.5885112526679578
AAPL_2024_0000320193,AAPL,Apple,2024-11-01,2024-11-01,US500,success,,-0.0179282817295001,-0.01847899420599751,-0.05232214664781785,-0.04333274420124779,-0.09753373661144038,-0.5596971285382739,-0.6892140734848485,-0.0008786442825233862,-0.0022858468761782474,-1.0273603227642347
AAPL_2025_0000320193,AAPL,Apple,2025-10-31,2025-10-31,US500,success,,0.0062013333975193,-0.013285768090921265,0.0021419587158264244,0.009653511012586605,0.7043438269103012,0.19914296274754129,0.09704411953651722,0.029312690770474638,0.011599781687507494,-0.48001092699754916
ABBV_2023_0001551152,ABBV,AbbVie,2024-02-20,2024-02-20,US500,success,,-0.007375704699187747,-0.013062431536803221,-0.001110833795532248,0.0036810590304657063,-0.2257627177590681,-0.2854792027884534,-0.3616610485566449,0.02731302856877302,0.012891845806487424,-0.22774460861141502
ABBV_2024_0001551152,ABBV,AbbVie,2025-02-14,2025-02-14,US500,success,,0.013769887705632207,0.013764451397690182,0.037431619724019954,0.058032461104826086,-0.11564787271553267,-0.09801141353018088,0.08710350325266447,0.09338139234805642,0.0011319442238398106,-0.6702498966043031
ABBV_2025_0001551152,ABBV,AbbVie,2026-02-20,2026-02-20,US500,success,,0.004775005929818908,0.02324137191805516,0.0034574689651576396,0.029539716167274972,0.12185980491564716,-0.08573261086211449,0.037870715305364455,0.010571387962376912,0.03689080515401923,0.5621003309175536
ACI_2023_0001646972,ACI,Albertsons,2023-04-25,2023-04-25,US500,success,,0.026372636184754723,0.023847932905683128,0.008001042398169124,0.021041883294281197,-0.16803702103041937,0.1663745505635298,0.2821149895733257,-0.028194166114071825,0.008837514921028463,0.05452494292181914
