model,hypothesis,contrast,estimate,std_error,t_stat,p_value,stars,direction,support,n,inc_controls,inc_time,inc_company
M4_Full_sample,H2-1,Aggressive − Other humor (weighted avg),0.113958,0.027457,4.1504,3.3e-05,***,positive,supported,68039,True,True,True
M4_Full_sample,H2-2,Aggressive − SELF (se+sd weighted avg),0.10562,0.029572,3.5717,0.000355,***,positive,supported,68039,True,True,True
M4_Full_sample,H2-3,Aggressive − Affiliative,0.119311,0.028541,4.1803,2.9e-05,***,positive,supported,68039,True,True,True
M4_Full_sample,H2-3,Aggressive − Self-Enhancing,0.124577,0.029952,4.1593,3.2e-05,***,positive,supported,68039,True,True,True
M4_Full_sample,H2-3,Aggressive − Self-Defeating,-0.146516,0.059694,-2.4544,0.014113,**,negative,not_supported,68039,True,True,True
M1_Human_coded,H1,Weighted Humor Effect (vs non-humorous),1.263779,0.095375,13.2506,0.0,***,positive,supported,3574,False,False,False
M1_Human_coded,H2-1,Aggressive − Other humor (weighted avg),1.821471,0.221865,8.2098,0.0,***,positive,supported,3574,False,False,False
M1_Human_coded,H2-2,Aggressive − SELF (se+sd weighted avg),1.61348,0.238323,6.7701,0.0,***,positive,supported,3574,False,False,False
M1_Human_coded,H2-3,Aggressive − Affiliative,1.995003,0.233444,8.5459,0.0,***,positive,supported,3574,False,False,False
M1_Human_coded,H2-3,Aggressive − Self-Enhancing,1.697887,0.241357,7.0348,0.0,***,positive,supported,3574,False,False,False
M1_Human_coded,H2-3,Aggressive − Self-Defeating,0.80763,0.435237,1.8556,0.063592,*,positive,supported,3574,False,False,False
M2_Human_coded,H1,Weighted Humor Effect (vs non-humorous),1.215049,0.094133,12.9077,0.0,***,positive,supported,3574,True,False,False
M2_Human_coded,H2-1,Aggressive − Other humor (weighted avg),1.57783,0.219186,7.1986,0.0,***,positive,supported,3574,True,False,False
M2_Human_coded,H2-2,Aggressive − SELF (se+sd weighted avg),1.436493,0.234975,6.1134,0.0,***,positive,supported,3574,True,False,False
M2_Human_coded,H2-3,Aggressive − Affiliative,1.695752,0.230892,7.3443,0.0,***,positive,supported,3574,True,False,False
M2_Human_coded,H2-3,Aggressive − Self-Enhancing,1.497724,0.238121,6.2898,0.0,***,positive,supported,3574,True,False,False
M2_Human_coded,H2-3,Aggressive − Self-Defeating,0.851905,0.427332,1.9935,0.046278,**,positive,supported,3574,True,False,False
