model,term,coefficient,std_error,t_stat,p_value,stars,n,k,df_resid,r_squared,adj_r_squared,inc_controls,inc_time,inc_company
M1_Full_sample,intercept,3.189117,0.009538,334.3433,0.0,***,68039,5,68034,0.078775,0.07872,False,False,False
M1_Full_sample,aggressive,1.919804,0.04195,45.7642,0.0,***,68039,5,68034,0.078775,0.07872,False,False,False
M1_Full_sample,affiliative,0.806469,0.020998,38.4064,0.0,***,68039,5,68034,0.078775,0.07872,False,False,False
M1_Full_sample,self_enhancing,1.42973,0.026022,54.9433,0.0,***,68039,5,68034,0.078775,0.07872,False,False,False
M1_Full_sample,self_defeating,2.168065,0.088809,24.4126,0.0,***,68039,5,68034,0.078775,0.07872,False,False,False
M2_Full_sample,intercept,3.293724,0.018781,175.3717,0.0,***,68039,8,68031,0.086002,0.085908,True,False,False
M2_Full_sample,aggressive,1.855601,0.042817,43.3381,0.0,***,68039,8,68031,0.086002,0.085908,True,False,False
M2_Full_sample,affiliative,0.821293,0.021297,38.563,0.0,***,68039,8,68031,0.086002,0.085908,True,False,False
M2_Full_sample,self_enhancing,1.392187,0.026311,52.9128,0.0,***,68039,8,68031,0.086002,0.085908,True,False,False
M2_Full_sample,self_defeating,2.092413,0.088778,23.569,0.0,***,68039,8,68031,0.086002,0.085908,True,False,False
M2_Full_sample,text_length,0.000243,7.2e-05,3.3536,0.000798,***,68039,8,68031,0.086002,0.085908,True,False,False
M2_Full_sample,hashtag_count,-0.185478,0.008355,-22.2006,0.0,***,68039,8,68031,0.086002,0.085908,True,False,False
M2_Full_sample,mention_count,-0.047409,0.008159,-5.8109,0.0,***,68039,8,68031,0.086002,0.085908,True,False,False
M3_Full_sample,intercept,6.441846,1.954633,3.2957,0.000982,***,68039,32,68007,0.158496,0.158112,True,True,False
M3_Full_sample,aggressive,1.836424,0.041247,44.5226,0.0,***,68039,32,68007,0.158496,0.158112,True,True,False
M3_Full_sample,affiliative,0.798069,0.020521,38.8901,0.0,***,68039,32,68007,0.158496,0.158112,True,True,False
M3_Full_sample,self_enhancing,1.295923,0.025362,51.0964,0.0,***,68039,32,68007,0.158496,0.158112,True,True,False
M3_Full_sample,self_defeating,2.161169,0.085396,25.3075,0.0,***,68039,32,68007,0.158496,0.158112,True,True,False
M3_Full_sample,text_length,-0.000444,7.1e-05,-6.2818,0.0,***,68039,32,68007,0.158496,0.158112,True,True,False
M3_Full_sample,hashtag_count,-0.135341,0.00814,-16.6274,0.0,***,68039,32,68007,0.158496,0.158112,True,True,False
M3_Full_sample,mention_count,-0.02868,0.007891,-3.6343,0.000279,***,68039,32,68007,0.158496,0.158112,True,True,False
M4_Full_sample,intercept,4.773486,1.252589,3.8109,0.000139,***,68039,130,67909,0.655664,0.65501,True,True,True
M4_Full_sample,aggressive,0.322538,0.027816,11.5955,0.0,***,68039,130,67909,0.655664,0.65501,True,True,True
M4_Full_sample,affiliative,0.203227,0.014067,14.4467,0.0,***,68039,130,67909,0.655664,0.65501,True,True,True
M4_Full_sample,self_enhancing,0.197961,0.017407,11.3728,0.0,***,68039,130,67909,0.655664,0.65501,True,True,True
M4_Full_sample,self_defeating,0.469054,0.055567,8.4413,0.0,***,68039,130,67909,0.655664,0.65501,True,True,True
M4_Full_sample,text_length,0.001092,4.7e-05,23.359,0.0,***,68039,130,67909,0.655664,0.65501,True,True,True
M4_Full_sample,hashtag_count,0.078923,0.005618,14.0491,0.0,***,68039,130,67909,0.655664,0.65501,True,True,True
M4_Full_sample,mention_count,-0.122503,0.00526,-23.291,0.0,***,68039,130,67909,0.655664,0.65501,True,True,True
M1_Human_coded,intercept,3.848164,0.059906,64.2372,0.0,***,3574,5,3569,0.066339,0.065293,False,False,False
M1_Human_coded,aggressive,2.85143,0.215625,13.224,0.0,***,3574,5,3569,0.066339,0.065293,False,False,False
M1_Human_coded,affiliative,0.856427,0.123205,6.9512,0.0,***,3574,5,3569,0.066339,0.065293,False,False,False
M1_Human_coded,self_enhancing,1.153543,0.137609,8.3828,0.0,***,3574,5,3569,0.066339,0.065293,False,False,False
M1_Human_coded,self_defeating,2.0438,0.387446,5.2751,0.0,***,3574,5,3569,0.066339,0.065293,False,False,False
M2_Human_coded,intercept,4.393018,0.087506,50.2027,0.0,***,3574,8,3566,0.101305,0.099541,True,False,False
M2_Human_coded,aggressive,2.590335,0.213809,12.1152,0.0,***,3574,8,3566,0.101305,0.099541,True,False,False
M2_Human_coded,affiliative,0.894583,0.121446,7.3661,0.0,***,3574,8,3566,0.101305,0.099541,True,False,False
M2_Human_coded,self_enhancing,1.092611,0.135239,8.0791,0.0,***,3574,8,3566,0.101305,0.099541,True,False,False
