model,term,coefficient,std_error,t_stat,p_value,stars,n,k,df_resid,r_squared,adj_r_squared,inc_controls,inc_time,inc_company
M1_Full_sample,intercept,3.379346,0.048144,70.1926,0.0,***,1420,3,1417,0.1884,0.187255,False,False,False
M1_Full_sample,AggressiveIntensity,12.619846,0.894671,14.1056,0.0,***,1420,3,1417,0.1884,0.187255,False,False,False
M1_Full_sample,AggressiveIntensity_sq,-11.257243,2.000117,-5.6283,0.0,***,1420,3,1417,0.1884,0.187255,False,False,False
M2_Full_sample,intercept,5.820154,0.213371,27.2772,0.0,***,1420,7,1413,0.29234,0.289335,True,False,False
M2_Full_sample,AggressiveIntensity,9.483818,0.984949,9.6287,0.0,***,1420,7,1413,0.29234,0.289335,True,False,False
M2_Full_sample,AggressiveIntensity_sq,-10.338158,1.956949,-5.2828,0.0,***,1420,7,1413,0.29234,0.289335,True,False,False
M2_Full_sample,mean_text_length,-0.006228,0.000868,-7.1722,0.0,***,1420,7,1413,0.29234,0.289335,True,False,False
M2_Full_sample,mean_hashtag_count,-0.549977,0.080097,-6.8664,0.0,***,1420,7,1413,0.29234,0.289335,True,False,False
M2_Full_sample,mean_mention_count,0.224949,0.085776,2.6225,0.008823,***,1420,7,1413,0.29234,0.289335,True,False,False
M2_Full_sample,log_total_posts,-0.273017,0.035815,-7.6229,0.0,***,1420,7,1413,0.29234,0.289335,True,False,False
M3_Full_sample,intercept,7.614935,1.435765,5.3037,0.0,***,1420,23,1397,0.342091,0.33173,True,True,False
M3_Full_sample,AggressiveIntensity,9.079711,0.963599,9.4227,0.0,***,1420,23,1397,0.342091,0.33173,True,True,False
M3_Full_sample,AggressiveIntensity_sq,-9.465466,1.905708,-4.9669,1e-06,***,1420,23,1397,0.342091,0.33173,True,True,False
M3_Full_sample,mean_text_length,-0.008743,0.000918,-9.5219,0.0,***,1420,23,1397,0.342091,0.33173,True,True,False
M3_Full_sample,mean_hashtag_count,-0.422862,0.080513,-5.2521,0.0,***,1420,23,1397,0.342091,0.33173,True,True,False
M3_Full_sample,mean_mention_count,0.27493,0.083836,3.2794,0.001066,***,1420,23,1397,0.342091,0.33173,True,True,False
M3_Full_sample,log_total_posts,-0.237979,0.035649,-6.6756,0.0,***,1420,23,1397,0.342091,0.33173,True,True,False
M4_Full_sample,intercept,6.269012,0.736495,8.512,0.0,***,1420,121,1299,0.858809,0.845766,True,True,True
M4_Full_sample,AggressiveIntensity,0.381347,0.619247,0.6158,0.538119,,1420,121,1299,0.858809,0.845766,True,True,True
M4_Full_sample,AggressiveIntensity_sq,-0.548842,1.018288,-0.539,0.58999,,1420,121,1299,0.858809,0.845766,True,True,True
M4_Full_sample,mean_text_length,-0.001398,0.000603,-2.3182,0.020593,**,1420,121,1299,0.858809,0.845766,True,True,True
M4_Full_sample,mean_hashtag_count,0.124048,0.054582,2.2727,0.023207,**,1420,121,1299,0.858809,0.845766,True,True,True
M4_Full_sample,mean_mention_count,-0.017366,0.049716,-0.3493,0.726921,,1420,121,1299,0.858809,0.845766,True,True,True
M4_Full_sample,log_total_posts,-0.314547,0.021453,-14.6622,0.0,***,1420,121,1299,0.858809,0.845766,True,True,True
M1_Human_coded,intercept,3.673895,0.070868,51.8416,0.0,***,925,3,922,0.040065,0.037983,False,False,False
M1_Human_coded,AggressiveIntensity,7.349133,1.364252,5.3869,0.0,***,925,3,922,0.040065,0.037983,False,False,False
M1_Human_coded,AggressiveIntensity_sq,-6.252584,1.738302,-3.5969,0.000339,***,925,3,922,0.040065,0.037983,False,False,False
M2_Human_coded,intercept,4.126864,0.238052,17.336,0.0,***,925,7,918,0.098778,0.092888,True,False,False
M2_Human_coded,AggressiveIntensity,4.226055,1.433168,2.9488,0.003272,***,925,7,918,0.098778,0.092888,True,False,False
M2_Human_coded,AggressiveIntensity_sq,-3.176324,1.795617,-1.7689,0.077237,*,925,7,918,0.098778,0.092888,True,False,False
M2_Human_coded,mean_text_length,-0.003204,0.00085,-3.7705,0.000173,***,925,7,918,0.098778,0.092888,True,False,False
M2_Human_coded,mean_hashtag_count,-0.439956,0.092902,-4.7357,3e-06,***,925,7,918,0.098778,0.092888,True,False,False
M2_Human_coded,mean_mention_count,0.009876,0.101148,0.0976,0.922242,,925,7,918,0.098778,0.092888,True,False,False
M2_Human_coded,log_total_posts,0.370826,0.111592,3.323,0.000926,***,925,7,918,0.098778,0.092888,True,False,False
M3_Human_coded,intercept,3.288783,1.125271,2.9227,0.003557,***,925,21,904,0.185624,0.167607,True,True,False
M3_Human_coded,AggressiveIntensity,3.224567,1.386016,2.3265,0.020212,**,925,21,904,0.185624,0.167607,True,True,False
M3_Human_coded,AggressiveIntensity_sq,-2.035208,1.734935,-1.1731,0.241075,,925,21,904,0.185624,0.167607,True,True,False
M3_Human_coded,mean_text_length,-0.004294,0.000837,-5.1277,0.0,***,925,21,904,0.185624,0.167607,True,True,False
M3_Human_coded,mean_hashtag_count,-0.348853,0.092572,-3.7685,0.000175,***,925,21,904,0.185624,0.167607,True,True,False
M3_Human_coded,mean_mention_count,0.119156,0.098374,1.2112,0.226117,,925,21,904,0.185624,0.167607,True,True,False
M3_Human_coded,log_total_posts,0.535376,0.110103,4.8625,1e-06,***,925,21,904,0.185624,0.167607,True,True,False
M4_Human_coded,intercept,3.015801,1.465359,2.0581,0.039905,**,925,118,807,0.797737,0.768413,True,True,True
M4_Human_coded,AggressiveIntensity,0.195619,0.803519,0.2435,0.807717,,925,118,807,0.797737,0.768413,True,True,True
M4_Human_coded,AggressiveIntensity_sq,-0.426237,0.996935,-0.4275,0.669094,,925,118,807,0.797737,0.768413,True,True,True
M4_Human_coded,mean_text_length,0.000532,0.00055,0.9676,0.333521,,925,118,807,0.797737,0.768413,True,True,True
M4_Human_coded,mean_hashtag_count,0.089135,0.059472,1.4988,0.134323,,925,118,807,0.797737,0.768413,True,True,True
M4_Human_coded,mean_mention_count,-0.022671,0.058151,-0.3899,0.696739,,925,118,807,0.797737,0.768413,True,True,True
M4_Human_coded,log_total_posts,-0.155335,0.080797,-1.9225,0.05489,*,925,118,807,0.797737,0.768413,True,True,True
