category,variable,VIF,R2_aux,model,inc_controls,inc_time,inc_company,type,n,k,matrix_rank,df_resid,condition_number,rank_deficient
vif,aggressive,1.0157,0.015467,M1_Full_sample,False,False,False,,,,,,,
vif,affiliative,1.0389,0.037404,M1_Full_sample,False,False,False,,,,,,,
vif,self_enhancing,1.0342,0.033047,M1_Full_sample,False,False,False,,,,,,,
vif,self_defeating,1.0037,0.003687,M1_Full_sample,False,False,False,,,,,,,
vif,AggressiveIntensity,3.3756,0.703761,M1_Full_sample,False,False,False,,,,,,,
vif,AggressiveIntensity_sq,3.3756,0.703761,M1_Full_sample,False,False,False,,,,,,,
vif,aggressive,1.0664,0.062306,M2_Full_sample,True,False,False,,,,,,,
vif,affiliative,1.0771,0.071554,M2_Full_sample,True,False,False,,,,,,,
vif,self_enhancing,1.0656,0.061557,M2_Full_sample,True,False,False,,,,,,,
vif,self_defeating,1.0109,0.01077,M2_Full_sample,True,False,False,,,,,,,
vif,text_length,1.1192,0.106506,M2_Full_sample,True,False,False,,,,,,,
vif,hashtag_count,1.0434,0.041608,M2_Full_sample,True,False,False,,,,,,,
vif,mention_count,1.0242,0.023601,M2_Full_sample,True,False,False,,,,,,,
vif,AggressiveIntensity,4.6789,0.786277,M2_Full_sample,True,False,False,,,,,,,
vif,AggressiveIntensity_sq,3.6957,0.729414,M2_Full_sample,True,False,False,,,,,,,
vif,mean_text_length,1.5748,0.364993,M2_Full_sample,True,False,False,,,,,,,
vif,mean_hashtag_count,1.1423,0.124597,M2_Full_sample,True,False,False,,,,,,,
vif,mean_mention_count,1.0849,0.078249,M2_Full_sample,True,False,False,,,,,,,
vif,log_total_posts,1.0677,0.063381,M2_Full_sample,True,False,False,,,,,,,
vif,aggressive,1.0664,0.062306,M3_Full_sample,True,True,False,,,,,,,
vif,affiliative,1.0771,0.071554,M3_Full_sample,True,True,False,,,,,,,
vif,self_enhancing,1.0656,0.061557,M3_Full_sample,True,True,False,,,,,,,
vif,self_defeating,1.0109,0.01077,M3_Full_sample,True,True,False,,,,,,,
vif,text_length,1.1192,0.106506,M3_Full_sample,True,True,False,,,,,,,
vif,hashtag_count,1.0434,0.041608,M3_Full_sample,True,True,False,,,,,,,
vif,mention_count,1.0242,0.023601,M3_Full_sample,True,True,False,,,,,,,
