no,id,tweet_url,text,text_preprocessed,final_humor_binary,final_humor_source
1,2065192194277818396,https://x.com/Wendys/status/2065192194277818396,if u dress up i will love u forever. Come experience the most bananas drive-thru ever. https://t.co/FDvzC4JTr1,if u dress up i will love u forever. come experience the most bananas drive-thru ever. <url>,1,human
2,2064726596179706275,https://x.com/Wendys/status/2064726596179706275,"Her: Gimme 10
Me: minutes or nuggets?",her: gimme 10 me: minutes or nuggets?,1,human
3,2064504139749417369,https://x.com/Wendys/status/2064504139749417369,What does one wear to meet a minion,what does one wear to meet a minion,0,human
4,2063002561263640786,https://x.com/Wendys/status/2063002561263640786,"The KPIs, ROIs, and LOLs are about to go off the charts.
Congratulations to our NEW Chief Tasting Officer Amber Luster 🎉🎉🎉 We can’t wait to see all the incredible things you do with your title. 

And thank you to all our fans who submitted an application❤️ https://t.co/WxU0LzL72Z","the kpis, rois, and lols are about to go off the charts. congratulations to our new chief tasting officer amber luster 🎉🎉🎉 we can’t wait to see all the incredible things you do with your title. and thank you to all our fans who submitted an application❤️ <url>",0,human
5,2061565494453555359,https://x.com/Wendys/status/2061565494453555359,"Came for a Frosty, stayed for the door to the backrooms https://t.co/0BMCyHc7XK","came for a frosty, stayed for the door to the backrooms <url>",1,human
6,2060433958609813857,https://x.com/Wendys/status/2060433958609813857,"Y’all nearly crashed the system with all your applications, but we’ve finally made our top selections. Stay tuned for an announcement coming real soon 👀👀👀 https://t.co/f6wqnO0yeF","y’all nearly crashed the system with all your applications, but we’ve finally made our top selections. stay tuned for an announcement coming real soon 👀👀👀 <url>",1,human
8,2060405944735957384,https://x.com/Wendys/status/2060405944735957384,rich asf craving the new Ice Spicy Meal on DoorDash https://t.co/kVe28gJjYt,rich asf craving the new ice spicy meal on doordash <url>,1,human
9,2060393163458498982,https://x.com/Wendys/status/2060393163458498982,28 and 10? Fine. Free FRENCH fries in the app with $5 purchase for everybody (including aliens 👽),28 and 10? fine. free french fries in the app with $5 purchase for everybody (including aliens 👽),1,human
10,2059700189909111001,https://x.com/Wendys/status/2059700189909111001,Big star energy. Pocket-sized legends. https://t.co/oNQdB0s9Mn,big star energy. pocket-sized legends. <url>,1,human
11,2059459943040753916,https://x.com/Wendys/status/2059459943040753916,"It’s giving fan behavior but I’m a fan of me too, so I get it! https://t.co/ecpi4sU0kz","it’s giving fan behavior but i’m a fan of me too, so i get it! <url>",1,human
12,2059351523583311924,https://x.com/Wendys/status/2059351523583311924,Be there. Seaport Square.,be there. seaport square.,0,human
13,2057593602490970314,https://x.com/Wendys/status/2057593602490970314,Hi @KenJennings,hi <mention>,0,human
14,2057590511653794039,https://x.com/Wendys/status/2057590511653794039,This isn’t my living room btw I was at a friends house,this isn’t my living room btw i was at a friends house,1,human
