no,id,tweet_url,text,final_humor_binary,final_humor_type,final_humor_source,final_humor_label_available,aggressive_humor,other_humor,is_nonhumor,engagement_total,engagement_favorite_retweet,favorite_count,retweet_count,reply_count,quote_count,bookmark_count,log1p_engagement_total,log1p_engagement_favorite_retweet,log1p_favorite_count,log1p_retweet_count,log1p_reply_count,log1p_quote_count,log1p_bookmark_count
20,2054933542442848652,https://x.com/Wendys/status/2054933542442848652,🟨🟦🍟 https://t.co/y9M33fb83V,0,,human,1,0,0,1,781,612,549,63,108,26,35,6.661854740545311,6.418364935936212,6.309918278226516,4.1588830833596715,4.6913478822291435,3.295836866004329,3.58351893845611
21,2054257059399389281,https://x.com/Wendys/status/2054257059399389281,Did you know? One cookie dough frosty is the equivalent of 12 dancing fruit videos?,1,,human,1,0,1,0,133,92,86,6,36,1,4,4.897839799950911,4.532599493153256,4.465908118654584,1.9459101490553132,3.6109179126442243,0.6931471805599453,1.6094379124341003
22,2052863834503700774,https://x.com/Wendys/status/2052863834503700774,Their love story is almost as fresh as our beef ❤️ https://t.co/OydNIkjSGV,1,,human,1,0,1,0,35644,31868,29200,2668,283,265,3228,10.48136416355173,10.369389029448124,10.281958234245314,7.889459149404524,5.648974238161206,5.583496308781699,8.079927770758275
23,2052727809756348567,https://x.com/Wendys/status/2052727809756348567,"Sir, this is a banana https://t.co/mtSrVrahpo",1,,human,1,0,1,0,2110,1836,1710,126,168,24,82,7.65491704784832,7.515889085215125,7.444833273892193,4.844187086458591,5.1298987149230735,3.2188758248682006,4.418840607796598
24,2052536825336729602,https://x.com/Wendys/status/2052536825336729602,"Rick Devens after last night’s tribal council 
@Rick_Devens @MrBeast #Survivor50",1,,human,1,0,1,0,2052,1992,1930,62,17,4,39,7.627057417018934,7.597396320212795,7.565793282428515,4.143134726391533,2.8903717578961645,1.6094379124341003,3.6888794541139363
25,2052513071906619715,https://x.com/Wendys/status/2052513071906619715,The necklace of every mom’s dreams is here. Tag a mom and tell us why she deserves one below and we might just surprise a few ❤️ https://t.co/p9208Rvu4D,0,,human,1,0,0,1,1788,1235,1124,111,462,16,75,7.489412083508719,7.119635638017636,7.025538314638521,4.718498871295094,6.137727054086234,2.833213344056216,4.330733340286331
26,2050328345645133837,https://x.com/Wendys/status/2050328345645133837,new spicy chicken sandwich slaps https://t.co/nDUnSsL79R,0,,human,1,0,0,1,16243,13009,11796,1213,1462,326,1446,9.69547888880619,9.47347357150655,9.375600540841843,7.101675971619444,7.288244401020124,5.7899601708972535,7.277247726631484
27,2050307931778732264,https://x.com/Wendys/status/2050307931778732264,I'm trying to get as crispy as the bacon on our Baconator this Girls Trip 😎☀️🌺 https://t.co/8oGyl5S3GO,1,,human,1,0,1,0,552,487,446,41,43,2,20,6.315358001522335,6.1903154058531475,6.102558594613569,3.7376696182833684,3.784189633918261,1.0986122886681096,3.044522437723423
28,2050243908991328359,https://x.com/Wendys/status/2050243908991328359,"that bow is not just blue, it's not turquoise, it's not lapis, it's actually cerulean. https://t.co/mswbnGHkgg",1,,human,1,0,1,0,1791,1596,1510,86,139,18,38,7.491087593534876,7.3758821482150125,7.32052696227274,4.465908118654584,4.941642422609304,2.9444389791664403,3.6635616461296463
29,2048730947017654333,https://x.com/Wendys/status/2048730947017654333,"Sweet &amp; Sour is BACK… but only for a limited time unless y’all get loud. Go get the sauce in-restaurant + like, comment and share this post to save it. SWEET &amp; SOUR ARMY DO UR THING. https://t.co/ndF0vOrTpo",0,,human,1,0,0,1,1877,1258,1009,249,410,128,81,7.537962659768208,7.138073034044347,6.917705609835305,5.521460917862246,6.018593214496234,4.859812404361672,4.406719247264253
30,2047463502583869524,https://x.com/Wendys/status/2047463502583869524,THIS would happen at Wendy's 👀 https://t.co/lNjM2bD6pb,1,,human,1,0,1,0,13912,12715,11821,894,406,174,617,9.540578933841877,9.450616322030694,9.377717481384314,6.796823718274855,6.008813185442595,5.1647859739235145,6.42648845745769
31,2042359791239024659,https://x.com/Wendys/status/2042359791239024659,She a baddie with her baddie friend (I'm the baddie friend),1,,human,1,0,1,0,1719,1478,1339,139,169,16,56,7.450079569807499,7.2991214627108,7.200424892944957,4.941642422609304,5.135798437050262,2.833213344056216,4.04305126783455
32,2042345361310957745,https://x.com/Wendys/status/2042345361310957745,still rich still craving @wendys new spicy chicken sandwich #wendyspartner,0,,human,1,0,0,1,8067,7287,6819,468,371,119,290,8.995660899074103,8.893984438939794,8.827614750837508,6.150602768446279,5.918893854273146,4.787491742782046,5.673323267171493
33,2042276646711894177,https://x.com/Wendys/status/2042276646711894177,WE’VE GOT OUR WINNER🏆 the Pretzel Bacon Pub Burger is coming back to the menu soon https://t.co/jdeIQgJBnp,0,,human,1,0,0,1,6354,5196,4930,266,412,169,577,8.756997183623554,8.555836815008442,8.503297086224126,5.58724865840025,6.023447592961033,5.135798437050262,6.359573868672378
34,2041987332509782141,https://x.com/Wendys/status/2041987332509782141,The universe called. It said add me on Co-Star. @ wendys_official https://t.co/7HYmQbBfv7,1,,human,1,0,1,0,262,206,185,21,33,4,19,5.572154032177765,5.332718793265369,5.225746673713202,3.091042453358316,3.5263605246161616,1.6094379124341003,2.995732273553991
35,2041526924149690528,https://x.com/Wendys/status/2041526924149690528,"Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.",0,,human,1,0,0,1,411,336,322,14,45,3,27,6.021023349349527,5.820082930352362,5.777652323222656,2.70805020110221,3.828641396489095,1.3862943611198906,3.332204510175204
36,2041526852036988999,https://x.com/Wendys/status/2041526852036988999,🫵 YOU GET A FREE FRY AND FROSTY 🫵 AND YOU GET A FREE FRY AND FROSTY 🫵 AND YOU GET A FREE FRY AND FROSTY 🫵 https://t.co/OQ2OI18i5U,0,,human,1,0,0,1,6063,5019,4762,257,190,80,774,8.710124927322207,8.521185212685776,8.46863300080086,5.552959584921617,5.25227342804663,4.394449154672439,6.652863029353347
37,2041332734883201293,https://x.com/Wendys/status/2041332734883201293,"Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.",0,,human,1,0,0,1,459,373,357,16,24,2,60,6.131226489483141,5.924255797414532,5.8805329864007,2.833213344056216,3.2188758248682006,1.0986122886681096,4.110873864173311
38,2041332610928951432,https://x.com/Wendys/status/2041332610928951432,"WE HAVE A DUNK 🚨that means all of America gets free small fry and Frosty on April 7th. Not to be dramatic, but that was the greatest moment in dunk history.",1,,human,1,0,1,0,6424,5655,5342,313,75,46,648,8.76795190976342,8.640472207576408,8.583542571957771,5.749392985908253,4.330733340286331,3.8501476017100584,6.47543271670409
39,2041332103036412007,https://x.com/Wendys/status/2041332103036412007,GET UP RODDY GAYLE 🤯 https://t.co/Yz0SkHVdwC,1,,human,1,0,1,0,1312,1193,1067,126,39,23,57,7.180069874302796,7.085064293952548,6.97354301952014,4.844187086458591,3.6888794541139363,3.1780538303479458,4.060443010546419
40,2041317545412546926,https://x.com/Wendys/status/2041317545412546926,Tip off time here we goooooo 🫣🏀,1,,human,1,0,1,0,136,116,110,6,18,1,1,4.919980925828125,4.762173934797756,4.709530201312334,1.9459101490553132,2.9444389791664403,0.6931471805599453,0.6931471805599453
41,2041286930231373912,https://x.com/Wendys/status/2041286930231373912,"You: Wow I hope so and so team wins

Me: DUNKS DUNKS DUNKS DUNKS",1,,human,1,0,1,0,191,170,162,8,16,2,3,5.2574953720277815,5.14166355650266,5.093750200806762,2.1972245773362196,2.833213344056216,1.0986122886681096,1.3862943611198906
42,2041274861461586245,https://x.com/Wendys/status/2041274861461586245,"Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.",0,,human,1,0,0,1,59,47,43,4,7,0,5,4.0943445622221,3.8712010109078907,3.784189633918261,1.6094379124341003,2.0794415416798357,0.0,1.791759469228055
43,2041274790418485741,https://x.com/Wendys/status/2041274790418485741,"Who shall fulfill the prophecy?!?!?!?!

Tag us when you see who unlocks it 👀 https://t.co/mmdG7uqh7a",1,,human,1,0,1,0,299,250,218,32,28,3,18,5.703782474656201,5.5254529391317835,5.389071729816501,3.4965075614664802,3.367295829986474,1.3862943611198906,2.9444389791664403
44,2041273129272824054,https://x.com/Wendys/status/2041273129272824054,Get your votes in!,0,,human,1,0,0,1,412,289,256,33,76,34,13,6.023447592961033,5.66988092298052,5.54907608489522,3.5263605246161616,4.343805421853684,3.5553480614894135,2.639057329615259
45,2041272778461258077,https://x.com/Wendys/status/2041272778461258077,The Bourbon Bacon Cheeseburger and Pretzel Bacon Pub Burger have made it to our championship! Get your votes in to decide who will be crowned the winner and end up back on the menu https://t.co/VIgjuIMDNF,1,,human,1,0,1,0,1995,1513,1439,74,220,80,182,7.59890045687141,7.322510433997394,7.272398392570047,4.31748811353631,5.3981627015177525,4.394449154672439,5.209486152841421
46,2041270386478780749,https://x.com/Wendys/status/2041270386478780749,ONLY A FEW HOURS UNTIL SOMEONE DUNKS THEIR WAY INTO AMERICAN HISTORY,1,,human,1,0,1,0,185,161,154,7,20,2,2,5.225746673713202,5.087596335232384,5.043425116919247,2.0794415416798357,3.044522437723423,1.0986122886681096,1.0986122886681096
47,2041241219603554599,https://x.com/Wendys/status/2041241219603554599,Tonight we are anti lay ups and anti fundamentals and pro massive jams,1,,human,1,0,1,0,191,157,146,11,32,1,1,5.2574953720277815,5.062595033026967,4.990432586778736,2.4849066497880004,3.4965075614664802,0.6931471805599453,0.6931471805599453
48,2041187810728727004,https://x.com/Wendys/status/2041187810728727004,"Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.",0,,human,1,0,0,1,51,44,42,2,6,1,0,3.9512437185814275,3.8066624897703196,3.7612001156935624,1.0986122886681096,1.9459101490553132,0.6931471805599453,0.0
49,2041187699764163013,https://x.com/Wendys/status/2041187699764163013,woke up thinking about who’s gonna dunk in the national championship game tonight to unlock a free small fry and Frosty for America tomorrow,1,,human,1,0,1,0,199,166,152,14,29,2,2,5.298317366548036,5.117993812416755,5.030437921392435,2.70805020110221,3.4011973816621555,1.0986122886681096,1.0986122886681096
50,2040186917312979266,https://x.com/Wendys/status/2040186917312979266,Oh good you made it. Introducing: The Official Dunks Menu 🏀 Order in the Wendy’s app all March Madness® long for the chance to win prizes in the Dunkstakes https://t.co/hI3HxiD7VV,0,,human,1,0,0,1,123,100,93,7,15,0,8,4.820281565605037,4.61512051684126,4.543294782270004,2.0794415416798357,2.772588722239781,0.0,2.1972245773362196
51,2040186893468393651,https://x.com/Wendys/status/2040186893468393651,YOU COULD GO ALL THE WAY https://t.co/JG6srzZZTh,1,,human,1,0,1,0,206,181,178,3,23,0,2,5.332718793265369,5.204006687076795,5.187385805840755,1.3862943611198906,3.1780538303479458,0.0,1.0986122886681096
52,2040186889131479302,https://x.com/Wendys/status/2040186889131479302,keep scrolling 👇👇👇 https://t.co/O8onjjhdsH,0,,human,1,0,0,1,121,113,111,2,5,0,3,4.804021044733257,4.736198448394496,4.718498871295094,1.0986122886681096,1.791759469228055,0.0,1.3862943611198906
53,2040186885704683992,https://x.com/Wendys/status/2040186885704683992,Scroll for a #MarchMadness surprise 👀 🏀 https://t.co/FJ4PuPVkOq,0,,human,1,0,0,1,332,270,260,10,41,0,21,5.808142489980444,5.602118820879701,5.564520407322694,2.3978952727983707,3.7376696182833684,0.0,3.091042453358316
54,2039915068729541060,https://x.com/Wendys/status/2039915068729541060,"Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last. Not valid for digital or delivery orders or with any other discount or offer. No substitutions.",0,,human,1,0,0,1,50,35,35,0,8,0,7,3.9318256327243257,3.58351893845611,3.58351893845611,0.0,2.1972245773362196,0.0,2.0794415416798357
55,2039900754387869992,https://x.com/Wendys/status/2039900754387869992,Help us give the people what they want! If there’s a dunk during the natty everyone in America gets a free small fry and classic Frosty on April 7th https://t.co/UnfLgpYclZ,0,,human,1,0,0,1,253,218,197,21,24,2,9,5.537334267018537,5.389071729816501,5.288267030694535,3.091042453358316,3.2188758248682006,1.0986122886681096,2.302585092994046
56,2039789214120996993,https://x.com/Wendys/status/2039789214120996993,Congrats to these Official Wendy’s Dunk Team athletes on making it to the Final Four. You dunked into hoops. You dunked into Frosty. You dunked into our hearts. https://t.co/b6IeqJW8YD,1,,human,1,0,1,0,94,79,75,4,13,1,1,4.553876891600541,4.382026634673881,4.330733340286331,1.6094379124341003,2.639057329615259,0.6931471805599453,0.6931471805599453
57,2039714223337463977,https://x.com/Wendys/status/2039714223337463977,Vote!,0,,human,1,0,0,1,186,117,101,16,45,21,3,5.231108616854587,4.770684624465665,4.624972813284271,2.833213344056216,3.828641396489095,3.091042453358316,1.3862943611198906
58,2039714041212358979,https://x.com/Wendys/status/2039714041212358979,Vote!,0,,human,1,0,0,1,82,57,52,5,13,9,3,4.418840607796598,4.060443010546419,3.970291913552122,1.791759469228055,2.639057329615259,2.302585092994046,1.3862943611198906
59,2039713760378487274,https://x.com/Wendys/status/2039713760378487274,We’ve got our final four! It’s time to decide who will make it to the championship and ultimately end up back on the menu. Get your votes in now! https://t.co/Yat9QPbeFA,0,,human,1,0,0,1,876,600,565,35,172,24,80,6.776506992372183,6.398594934535208,6.338594078203183,3.58351893845611,5.153291594497779,3.2188758248682006,4.394449154672439
60,2038738065678811271,https://x.com/Wendys/status/2038738065678811271,Vote!,0,,human,1,0,0,1,77,58,53,5,17,2,0,4.356708826689592,4.07753744390572,3.9889840465642745,1.791759469228055,2.8903717578961645,1.0986122886681096,0.0
61,2038737809075565002,https://x.com/Wendys/status/2038737809075565002,Vote!,0,,human,1,0,0,1,47,34,31,3,12,1,0,3.8712010109078907,3.5553480614894135,3.4657359027997265,1.3862943611198906,2.5649493574615367,0.6931471805599453,0.0
62,2038737532473803096,https://x.com/Wendys/status/2038737532473803096,Vote!,0,,human,1,0,0,1,38,24,20,4,9,4,1,3.6635616461296463,3.2188758248682006,3.044522437723423,1.6094379124341003,2.302585092994046,1.6094379124341003,0.6931471805599453
63,2038737391863869923,https://x.com/Wendys/status/2038737391863869923,Vote!,0,,human,1,0,0,1,56,35,31,4,18,3,0,4.04305126783455,3.58351893845611,3.4657359027997265,1.6094379124341003,2.9444389791664403,1.3862943611198906,0.0
64,2038736376653554124,https://x.com/Wendys/status/2038736376653554124,"After a tough fight to make it on the bracket, we have our finalists! America, we want to hear from you! Tell us what you want to see back on the menu. Voting starts… NOW!

Better luck next time to the Sunroom, Salad SuperBar, Giant JBC, and Trex burger. https://t.co/Ypg0dTCSnT",0,,human,1,0,0,1,1259,845,788,57,278,33,103,7.138866999945524,6.740519359606223,6.670766320845874,4.060443010546419,5.631211781821365,3.5263605246161616,4.6443908991413725
65,2037346325923278851,https://x.com/Wendys/status/2037346325923278851,Okay not a dunk but that’s STILL OUR GUY @jmilly2410,0,,human,1,0,0,1,1092,1008,946,62,63,6,15,6.996681488176539,6.9167150203536085,6.853299093186078,4.143134726391533,4.1588830833596715,1.9459101490553132,2.772588722239781
66,2037342589230408021,https://x.com/Wendys/status/2037342589230408021,"TREY KAUFMAN-RENN GAME-WINNER 🚨

PURDUE ADVANCES TO THE ELITE 8 🤯 https://t.co/CYj7ltsGXT",0,,human,1,0,0,1,3031,2774,2329,445,75,86,96,8.016977746762262,7.928406026180535,7.753623546559746,6.100318952020064,4.330733340286331,4.465908118654584,4.574710978503383
67,2036210859299455486,https://x.com/Wendys/status/2036210859299455486,“Fries + Frosty = The Best of Both Worlds” https://t.co/ixuIhrXwcR,0,,human,1,0,0,1,14458,13412,12141,1271,226,143,677,9.579072337028126,9.50397966490209,9.40442579569038,7.148345743900068,5.424950017481403,4.969813299576001,6.519147287940395
68,2035444365800214846,https://x.com/Wendys/status/2035444365800214846,"On and off the court, Coen Carr can’t stop (won’t stop) dunking. https://t.co/pvLNEM1zSj",1,,human,1,0,1,0,1261,1199,1117,82,27,9,26,7.140453043101158,7.090076835776092,7.0192966537150445,4.418840607796598,3.332204510175204,2.302585092994046,3.295836866004329
69,2035438297070096829,https://x.com/Wendys/status/2035438297070096829,Fears ➡️ Carr 🔨 https://t.co/Y7Wa3vl7X5,0,,human,1,0,0,1,507,478,436,42,9,3,17,6.230481447578482,6.171700597410915,6.07993319509559,3.7612001156935624,2.302585092994046,1.3862943611198906,2.8903717578961645
70,2035415108646490534,https://x.com/Wendys/status/2035415108646490534,I hope Yaxel doesn’t dunk his fries in his Frosty this violently https://t.co/l75Yp2p6YX,1,,human,1,0,1,0,2085,2006,1795,211,29,13,37,7.643003635560718,7.604396348796338,7.493317248862145,5.356586274672012,3.4011973816621555,2.639057329615259,3.6375861597263857
71,2035414922763350398,https://x.com/Wendys/status/2035414922763350398,"Tarris Reed stat line: buckets, boards, and dunks. Basically a Dunk Menu combo. https://t.co/rktHfBeiwV",1,,human,1,0,1,0,40,38,36,2,2,0,0,3.713572066704308,3.6635616461296463,3.6109179126442243,1.0986122886681096,1.0986122886681096,0.0,0.0
72,2035411565797634404,https://x.com/Wendys/status/2035411565797634404,"YAXEL LENDEBORG. ABSOLUTELY DISGUSTING.

#MarchMadness https://t.co/GzFu2ZqKzo",1,,human,1,0,1,0,8505,7888,6562,1326,85,207,325,9.04852707581358,8.97322466309509,8.789203094473724,7.190676034332207,4.454347296253507,5.337538079701318,5.786897381366708
73,2035213787020575096,https://x.com/Wendys/status/2035213787020575096,Tarris Reed throws it down 🔨 https://t.co/kGW6Ewxnon,1,,human,1,0,1,0,182,171,150,21,2,2,7,5.209486152841421,5.147494476813453,5.017279836814924,3.091042453358316,1.0986122886681096,1.0986122886681096,2.0794415416798357
74,2035089780396953839,https://x.com/Wendys/status/2035089780396953839,"“Hold my Frosty” – Coen Carr, probably. @Coencarr2 https://t.co/8hGMcWQRSr",0,,human,1,0,0,1,97,87,81,6,8,0,2,4.584967478670572,4.477336814478207,4.406719247264253,1.9459101490553132,2.1972245773362196,0.0,1.0986122886681096
75,2035036863413805229,https://x.com/Wendys/status/2035036863413805229,"A championship-caliber roster that dunks on and off the court: introducing the Official Wendy’s Dunk Team 🤝Tune in for the dunks, then try your own with the Dunk Menu, only in the app. https://t.co/ACwbEmgmQE",0,,human,1,0,0,1,84,70,63,7,13,0,1,4.442651256490317,4.2626798770413155,4.1588830833596715,2.0794415416798357,2.639057329615259,0.0,0.6931471805599453
76,2034753037797904417,https://x.com/Wendys/status/2034753037797904417,Coen Carr AGAIN 😤 https://t.co/Hwfed2ciRF,0,,human,1,0,0,1,1402,1314,1265,49,22,3,63,7.246368080102461,7.181591944611865,7.143617602704121,3.912023005428146,3.1354942159291497,1.3862943611198906,4.1588830833596715
77,2033636564551524646,https://x.com/Wendys/status/2033636564551524646,truly life changing https://t.co/0tX6CyMW2P,0,,human,1,0,0,1,838,675,633,42,111,14,38,6.732210706467206,6.516193076042964,6.452048954437226,3.7612001156935624,4.718498871295094,2.70805020110221,3.6635616461296463
78,2033326344264888604,https://x.com/Wendys/status/2033326344264888604,Congrats to our Aunt on winning Best Supporting Actress! https://t.co/5EVi2wrFcH,0,,human,1,0,0,1,9469,8852,7685,1167,176,124,317,9.155884186180124,9.08851166361105,8.94715577112479,7.0630481633881725,5.176149732573829,4.8283137373023015,5.762051382780177
79,2032563031024996510,https://x.com/Wendys/status/2032563031024996510,"Head to https://t.co/lkd5mlJoiZ to see how to apply. WHAT ARE YOU WAITING FOR?!?!?!?! IT’S $100,000 !!!!!

No purch nec. 50 US/DC, 18+. Ends 3/30. Rules: https://t.co/mNIqecbPOQ

#WendysCTOContest https://t.co/WD3ZxE9iee",0,,human,1,0,0,1,952,602,534,68,181,34,135,6.859614903654202,6.401917196727186,6.282266746896006,4.23410650459726,5.204006687076795,3.5553480614894135,4.912654885736052
80,2031884901557965271,https://x.com/Wendys/status/2031884901557965271,What the fries at the bottom of my biggie bag see when I go scavenging for them https://t.co/qO9JGCgaXs,1,,human,1,0,1,0,1394,1241,1146,95,93,23,37,7.240649694255466,7.124478262493424,7.044905117129371,4.564348191467836,4.543294782270004,3.1780538303479458,3.6375861597263857
81,2031738937870364955,https://x.com/Wendys/status/2031738937870364955,travis gonna love the drive thru at his mom's house https://t.co/ssjGEuifjO,1,,human,1,0,1,0,1272,1183,1138,45,46,9,34,7.149131598557407,7.076653815443951,7.037905963447182,3.828641396489095,3.8501476017100584,2.302585092994046,3.5553480614894135
82,2030448455412252800,https://x.com/Wendys/status/2030448455412252800,"Travis and Jason Kelce’s mom, Donna Kelce, is in the middle of a home renovation ... TMZ has learned.

Read more: https://t.co/4KursdUOlk https://t.co/FsAv2tPWyz",0,,human,1,0,0,1,17284,8544,7914,630,3903,2897,1940,9.757594352355724,9.053101595549691,8.976514972315112,6.447305862541213,8.269756947532983,7.971776122880628,7.57095858316901
83,2030030225254359259,https://x.com/Wendys/status/2030030225254359259,"No purch nec. 50 US/DC, 18+. Ends 3/30. Rules: https://t.co/mNIqecbPOQ. To qualify tag @Wendys and #WendysCTOcontest",0,,human,1,0,0,1,590,457,436,21,33,6,94,6.3818160174060985,6.126869184114185,6.07993319509559,3.091042453358316,3.5263605246161616,1.9459101490553132,4.553876891600541
