id,year_quarter,quarter_total_posts,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,other_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo_sq,created_year,created_month,created_hour,text_length,hashtag_count,mention_count,log1p_engagement_total,log1p_engagement_favorite_retweet,log1p_favorite_count,log1p_retweet_count,log1p_reply_count,log1p_quote_count,log1p_bookmark_count
2065192194277818396,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,6,21,110,0,0,6.347389,6.154858,5.996452,4.248495,3.637586,2.302585,4.007333
2064726596179706275,2026-Q2,59,0.13793103,0.019024969036860902,0.44827586,0.20095124665873962,2026,6,15,37,0,0,6.476972,6.306275,6.230481,3.713572,4.430817,2.197225,2.484907
2064504139749417369,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,6,0,35,0,0,6.282267,6.082219,6.021023,3.295837,4.330733,2.079442,2.772589
2063002561263640786,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,6,20,280,0,0,5.655992,5.420535,5.347108,2.833213,3.850148,0.693147,2.639057
2061565494453555359,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,6,21,79,0,0,6.709304,6.555357,6.47851,3.970292,4.343805,2.484907,3.433987
2060433958609813857,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,5,18,178,0,0,5.529429,5.159055,5.030438,3.091042,4.143135,2.079442,2.302585
2060406022825554333,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,5,17,30,0,0,4.219508,4.043051,3.89182,2.197225,2.397895,0.0,0.693147
2060405944735957384,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,5,17,75,0,0,5.533389,5.225747,5.062595,3.367296,4.094345,1.609438,1.609438
2060393163458498982,2026-Q2,59,0.13793103,0.019024969036860902,0.44827586,0.20095124665873962,2026,5,16,97,0,0,5.356586,5.231109,5.141664,2.833213,2.833213,1.386294,1.94591
2059700189909111001,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,5,18,62,0,0,6.011267,5.855072,5.717028,3.828641,3.496508,1.098612,3.258097
2059459943040753916,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,5,2,86,0,0,5.476464,5.337538,5.26269,2.772589,2.944439,0.0,2.639057
2059351523583311924,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,5,19,25,0,0,4.779123,4.59512,4.49981,2.302585,2.70805,1.098612,1.609438
2057593602490970314,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,5,22,15,0,1,4.934474,4.875197,4.859812,1.098612,1.791759,0.0,1.386294
2057590511653794039,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,5,22,54,0,0,5.236442,5.141664,5.105945,1.94591,2.833213,0.0,0.693147
2057590262373785937,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,5,22,16,0,1,3.332205,3.258097,3.218876,0.693147,0.693147,0.0,0.693147
2057589742649192842,2026-Q2,59,0.13793103,0.019024969036860902,0.44827586,0.20095124665873962,2026,5,22,66,0,1,8.66406,8.6174,8.562167,5.697093,5.075174,2.197225,4.584967
2057509387422380064,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,5,17,179,1,0,5.220356,5.056246,4.94876,2.833213,3.135494,0.0,1.94591
2056803537636467033,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,5,18,83,0,0,11.258382,11.219882,11.12046,8.862342,6.238325,6.122493,7.582229
2056485781707821429,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,5,21,216,0,0,5.723585,5.529429,5.398163,3.465736,3.367296,2.484907,2.772589
2054933542442848652,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,5,14,27,0,0,6.661855,6.418365,6.309918,4.158883,4.691348,3.295837,3.583519
2054257059399389281,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,5,17,83,0,0,4.89784,4.532599,4.465908,1.94591,3.610918,0.693147,1.609438
2052863834503700774,2026-Q2,59,0.13793103,0.019024969036860902,0.44827586,0.20095124665873962,2026,5,21,74,0,0,10.481364,10.369389,10.281958,7.889459,5.648974,5.583496,8.079928
2052727809756348567,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,5,12,45,0,0,7.654917,7.515889,7.444833,4.844187,5.129899,3.218876,4.418841
2052536825336729602,2026-Q2,59,0.13793103,0.019024969036860902,0.44827586,0.20095124665873962,2026,5,23,80,1,2,7.627057,7.597396,7.565793,4.143135,2.890372,1.609438,3.688879
2052513071906619715,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,5,22,152,0,0,7.489412,7.119636,7.025538,4.718499,6.137727,2.833213,4.330733
2050328345645133837,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,5,21,56,0,0,9.695479,9.473474,9.375601,7.101676,7.288244,5.78996,7.277248
2050307931778732264,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,5,20,102,0,0,6.315358,6.190315,6.102559,3.73767,3.78419,1.098612,3.044522
2050243908991328359,2026-Q2,59,0.13793103,0.019024969036860902,0.44827586,0.20095124665873962,2026,5,16,110,0,0,7.491088,7.375882,7.320527,4.465908,4.941642,2.944439,3.663562
2048730947017654333,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,4,11,214,0,0,7.537963,7.138073,6.917706,5.521461,6.018593,4.859812,4.406719
2047463502583869524,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,4,23,54,0,0,9.540579,9.450616,9.377717,6.796824,6.008813,5.164786,6.426488
2042359791239024659,2026-Q2,59,0.13793103,0.019024969036860902,0.44827586,0.20095124665873962,2026,4,21,59,0,0,7.45008,7.299121,7.200425,4.941642,5.135798,2.833213,4.043051
2042345361310957745,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,4,20,74,1,1,8.995661,8.893984,8.827615,6.150603,5.918894,4.787492,5.673323
2042276646711894177,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,4,16,106,0,0,8.756997,8.555837,8.503297,5.587249,6.023448,5.135798,6.359574
2041987332509782141,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,4,21,89,0,0,5.572154,5.332719,5.225747,3.091042,3.526361,1.609438,2.995732
2041526924149690528,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,4,14,222,0,0,6.021023,5.820083,5.777652,2.70805,3.828641,1.386294,3.332205
2041526852036988999,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,4,14,129,0,0,8.710125,8.521185,8.468633,5.55296,5.252273,4.394449,6.652863
2041332734883201293,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,4,1,222,0,0,6.131226,5.924256,5.880533,2.833213,3.218876,1.098612,4.110874
2041332610928951432,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,4,1,156,0,0,8.767952,8.640472,8.583543,5.749393,4.330733,3.850148,6.475433
2041332103036412007,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,4,1,44,0,0,7.18007,7.085064,6.973543,4.844187,3.688879,3.178054,4.060443
2041317545412546926,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,4,0,31,0,0,4.919981,4.762174,4.70953,1.94591,2.944439,0.693147,0.693147
2041286930231373912,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,4,22,64,0,0,5.257495,5.141664,5.09375,2.197225,2.833213,1.098612,1.386294
2041274861461586245,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,4,22,222,0,0,4.094345,3.871201,3.78419,1.609438,2.079442,0.0,1.791759
2041274790418485741,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,4,22,100,0,0,5.703782,5.525453,5.389072,3.496508,3.367296,1.386294,2.944439
2041273129272824054,2026-Q2,59,0.15517241,0.024078476825208105,0.44827586,0.20095124665873962,2026,4,21,18,0,0,6.023448,5.669881,5.549076,3.526361,4.343805,3.555348,2.639057
2041272778461258077,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,4,21,204,0,0,7.5989,7.32251,7.272398,4.317488,5.398163,4.394449,5.209486
2041270386478780749,2026-Q2,59,0.13793103,0.019024969036860902,0.44827586,0.20095124665873962,2026,4,21,68,0,0,5.225747,5.087596,5.043425,2.079442,3.044522,1.098612,1.098612
2041241219603554599,2026-Q2,59,0.15517241,0.024078476825208105,0.43103448,0.1857907229488704,2026,4,19,70,0,0,5.257495,5.062595,4.990433,2.484907,3.496508,0.693147,0.693147
