"id","tweet_url","text","created_year","created_month","created_day","created_hour","pred_humor_final_050","p_humor_final_tfidf_logreg","p_type_aggressive_model","p_type_other_humor_model","pred_humor_type_group_model","type_prediction_scope","model_aggressive_humor","model_other_humor","model_non_humor","model_aggressive_vs_other","p_type_aggressive_centered","reply_count","favorite_count","retweet_count","quote_count","bookmark_count","view_count","engagement_total","engagement_favorite_retweet","log1p_engagement_total","log1p_engagement_favorite_retweet","log1p_favorite_count","log1p_retweet_count","log1p_reply_count","log1p_quote_count","log1p_bookmark_count","log1p_view_count"
"2065192194277818396","https://x.com/Wendys/status/2065192194277818396","if u dress up i will love u forever. Come experience the most bananas drive-thru ever. https://t.co/FDvzC4JTr1","2026","6","11","21","1","0.357664","0.4599","0.5401","other_humor","human_type_labeled_humor","0","1","0","0","0.004496276595744586","37.0","401.0","69.0","9.0","54.0","43444.0","570.0","470.0","6.3473892096560105","6.154858094016418","5.996452088619021","4.248495242049359","3.6375861597263857","2.302585092994046","4.007333185232471","10.679251049273306"
"2064726596179706275","https://x.com/Wendys/status/2064726596179706275","Her: Gimme 10
Me: minutes or nuggets?","2026","6","10","15","1","0.755204","0.6184","0.3816","aggressive","human_type_labeled_humor","1","0","0","1","0.16299627659574456","83.0","507.0","40.0","8.0","11.0","40600.0","649.0","547.0","6.476972362889683","6.306275286948016","6.230481447578482","3.713572066704308","4.430816798843313","2.1972245773362196","2.4849066497880004","10.611547975828369"
"2064504139749417369","https://x.com/Wendys/status/2064504139749417369","What does one wear to meet a minion","2026","6","10","00","0","0.40964","0.4188","0.5812","non_humor","model_predicted_non_humor","0","0","1","","-0.036603723404255384","75.0","411.0","26.0","7.0","15.0","44746.0","534.0","437.0","6.282266746896006","6.082218910376446","6.021023349349527","3.295836866004329","4.330733340286331","2.0794415416798357","2.772588722239781","10.708779682349634"
"2063002561263640786","https://x.com/Wendys/status/2063002561263640786","The KPIs, ROIs, and LOLs are about to go off the charts.
Congratulations to our NEW Chief Tasting Officer Amber Luster 🎉🎉🎉 We can’t wait to see all the incredible things you do with your title. 

And thank you to all our fans who submitted an application❤️ https://t.co/WxU0LzL72Z","2026","6","5","20","1","0.43746","0.3944","0.6056","other_humor","model_predicted_humor","0","1","0","0","-0.06100372340425542","46.0","209.0","16.0","1.0","13.0","47924.0","285.0","225.0","5.655991810819852","5.420534999272286","5.3471075307174685","2.833213344056216","3.8501476017100584","0.6931471805599453","2.639057329615259","10.777392567913845"
"2061565494453555359","https://x.com/Wendys/status/2061565494453555359","Came for a Frosty, stayed for the door to the backrooms https://t.co/0BMCyHc7XK","2026","6","1","21","0","0.495033","0.3345","0.6655","non_humor","model_predicted_non_humor","0","0","1","","-0.12090372340425537","76.0","650.0","52.0","11.0","30.0","66225.0","819.0","702.0","6.709304340258299","6.555356891810665","6.478509642208569","3.970291913552122","4.343805421853684","2.4849066497880004","3.4339872044851463","11.100828414064017"
"2060433958609813857","https://x.com/Wendys/status/2060433958609813857","Y’all nearly crashed the system with all your applications, but we’ve finally made our top selections. Stay tuned for an announcement coming real soon 👀👀👀 https://t.co/f6wqnO0yeF","2026","5","29","18","1","0.267665","0.3932","0.6068","other_humor","model_predicted_humor","0","1","0","0","-0.062203723404255395","62.0","152.0","21.0","7.0","9.0","39657.0","251.0","173.0","5.529429087511423","5.159055299214529","5.030437921392435","3.091042453358316","4.143134726391533","2.0794415416798357","2.302585092994046","10.588047972158751"
"2060406022825554333","https://x.com/Wendys/status/2060406022825554333","50% off on Sat &amp; Sun too 💅","2026","5","29","17","1","0.430035","0.4775","0.5225","other_humor","model_predicted_humor","0","1","0","0","0.02209627659574459","10.0","48.0","8.0","0.0","1.0","22076.0","67.0","56.0","4.219507705176107","4.04305126783455","3.8918202981106265","2.1972245773362196","2.3978952727983707","0.0","0.6931471805599453","10.00229162159471"
"2060405944735957384","https://x.com/Wendys/status/2060405944735957384","rich asf craving the new Ice Spicy Meal on DoorDash https://t.co/kVe28gJjYt","2026","5","29","17","1","0.25546","0.3923","0.6077","other_humor","human_type_labeled_humor","0","1","0","0","-0.06310372340425541","59.0","157.0","28.0","4.0","4.0","59705.0","252.0","185.0","5.53338948872752","5.225746673713202","5.062595033026967","3.367295829986474","4.0943445622221","1.6094379124341003","1.6094379124341003","10.997187796843217"
"2060393163458498982","https://x.com/Wendys/status/2060393163458498982","28 and 10? Fine. Free FRENCH fries in the app with $5 purchase for everybody (including aliens 👽)","2026","5","29","16","1","0.306152","0.5523","0.4477","aggressive","human_type_labeled_humor","1","0","0","1","0.09689627659574462","16.0","170.0","16.0","3.0","6.0","49054.0","211.0","186.0","5.356586274672012","5.231108616854587","5.14166355650266","2.833213344056216","2.833213344056216","1.3862943611198906","1.9459101490553132","10.80069739659749"
"2059700189909111001","https://x.com/Wendys/status/2059700189909111001","Big star energy. Pocket-sized legends. https://t.co/oNQdB0s9Mn","2026","5","27","18","1","0.08009","0.4224","0.5776","other_humor","model_predicted_humor","0","1","0","0","-0.03300372340425539","32.0","303.0","45.0","2.0","25.0","45120.0","407.0","348.0","6.0112671744041615","5.855071922202427","5.717027701406222","3.828641396489095","3.4965075614664802","1.0986122886681096","3.258096538021482","10.71710304904691"
"2059459943040753916","https://x.com/Wendys/status/2059459943040753916","It’s giving fan behavior but I’m a fan of me too, so I get it! https://t.co/ecpi4sU0kz","2026","5","27","02","1","0.08009","0.3492","0.6508","other_humor","human_type_labeled_humor","0","1","0","0","-0.10620372340425538","18.0","192.0","15.0","0.0","13.0","43398.0","238.0","207.0","5.476463551931511","5.337538079701318","5.262690188904886","2.772588722239781","2.9444389791664403","0.0","2.639057329615259","10.678191678348384"
"2059351523583311924","https://x.com/Wendys/status/2059351523583311924","Be there. Seaport Square.","2026","5","26","19","0","0.40964","0.5683","0.4317","non_humor","model_predicted_non_humor","0","0","1","","0.11289627659574464","14.0","89.0","9.0","2.0","4.0","55132.0","118.0","98.0","4.77912349311153","4.59511985013459","4.499809670330265","2.302585092994046","2.70805020110221","1.0986122886681096","1.6094379124341003","10.917503726936127"
"2057593602490970314","https://x.com/Wendys/status/2057593602490970314","Hi @KenJennings","2026","5","21","22","0","0.467293","0.5270","0.4730","non_humor","model_predicted_non_humor","0","0","1","","0.07159627659574463","5.0","128.0","2.0","0.0","3.0","27416.0","138.0","130.0","4.9344739331306915","4.875197323201151","4.859812404361672","1.0986122886681096","1.791759469228055","0.0","1.3862943611198906","10.218918537940311"
"2057590511653794039","https://x.com/Wendys/status/2057590511653794039","This isn’t my living room btw I was at a friends house","2026","5","21","22","1","0.44814","0.4488","0.5512","other_humor","model_predicted_humor","0","1","0","0","-0.006603723404255413","16.0","164.0","6.0","0.0","1.0","24293.0","187.0","170.0","5.236441962829949","5.14166355650266","5.10594547390058","1.9459101490553132","2.833213344056216","0.0","0.6931471805599453","10.097984685260217"
"2057590262373785937","https://x.com/Wendys/status/2057590262373785937","@James_Holzhauer","2026","5","21","22","0","0.467293","0.5270","0.4730","non_humor","model_predicted_non_humor","0","0","1","","0.07159627659574463","1.0","24.0","1.0","0.0","1.0","13228.0","27.0","25.0","3.332204510175204","3.258096538021482","3.2188758248682006","0.6931471805599453","0.6931471805599453","0.0","0.6931471805599453","9.49016666846238"
"2057589742649192842","https://x.com/Wendys/status/2057589742649192842","it's not roasting if it's true 😌 @Jeopardy https://t.co/Da3mvCbEFB","2026","5","21","22","1","0.742053","0.6516","0.3484","aggressive","human_type_labeled_humor","1","0","0","1","0.19619627659574457","159.0","5229.0","297.0","8.0","97.0","158953.0","5790.0","5526.0","8.66406026722579","8.617400451833262","8.56216655705897","5.697093486505405","5.075173815233827","2.1972245773362196","4.584967478670572","11.976370131168585"
"2057509387422380064","https://x.com/Wendys/status/2057509387422380064","From one redheaded baddie to another, we just wanted to formally invite you to compete in our Wendy’s look-alike contest this weekend for #worldredheadday

https://t.co/Plz0ZCapd2","2026","5","21","17","1","0.300047","0.2652","0.7348","other_humor","model_predicted_humor","0","1","0","0","-0.1902037234042554","22.0","140.0","16.0","0.0","6.0","88702.0","184.0","156.0","5.220355825078325","5.056245805348308","4.948759890378168","2.833213344056216","3.1354942159291497","0.0","1.9459101490553132","11.393048989597201"
"2056803537636467033","https://x.com/Wendys/status/2056803537636467033","might change my name to Wemby’s and only serve french fries after last night’s game","2026","5","19","18","1","0.714933","0.4738","0.5262","other_humor","model_predicted_humor","0","1","0","0","0.01839627659574461","511.0","67538.0","7060.0","455.0","1962.0","2379809.0","77526.0","74598.0","11.25838154176552","11.21988238127627","11.120460487789083","8.862341963516347","6.238324625039508","6.1224928095143865","7.5822291942764615","14.682531210528145"
