"id","tweet_url","text","created_year","created_month","created_day","created_hour","final_humor_binary","final_humor_label_available","final_humor_type","final_humor_type_source","final_humor_type_group","type_aggressive","type_affiliative","type_self_enhancing","type_self_defeating","type_non_aggressive","reply_count","favorite_count","retweet_count","quote_count","bookmark_count","view_count","engagement_total","engagement_favorite_retweet","log1p_engagement_total","log1p_engagement_favorite_retweet","log1p_favorite_count","log1p_retweet_count","log1p_reply_count","log1p_quote_count","log1p_bookmark_count","log1p_view_count"
"2065192194277818396","https://x.com/Wendys/status/2065192194277818396","if u dress up i will love u forever. Come experience the most bananas drive-thru ever. https://t.co/FDvzC4JTr1","2026","6","11","21","1","1","affiliative","coder2","other_humor","0","1","0","0","1","37.0","401.0","69.0","9.0","54.0","43444.0","570.0","470.0","6.3473892096560105","6.154858094016418","5.996452088619021","4.248495242049359","3.6375861597263857","2.302585092994046","4.007333185232471","10.679251049273306"
"2064726596179706275","https://x.com/Wendys/status/2064726596179706275","Her: Gimme 10
Me: minutes or nuggets?","2026","6","10","15","1","1","aggressive","coder2","aggressive","1","0","0","0","0","83.0","507.0","40.0","8.0","11.0","40600.0","649.0","547.0","6.476972362889683","6.306275286948016","6.230481447578482","3.713572066704308","4.430816798843313","2.1972245773362196","2.4849066497880004","10.611547975828369"
"2060405944735957384","https://x.com/Wendys/status/2060405944735957384","rich asf craving the new Ice Spicy Meal on DoorDash https://t.co/kVe28gJjYt","2026","5","29","17","1","1","self-enhancing","coder2","other_humor","0","0","1","0","1","59.0","157.0","28.0","4.0","4.0","59705.0","252.0","185.0","5.53338948872752","5.225746673713202","5.062595033026967","3.367295829986474","4.0943445622221","1.6094379124341003","1.6094379124341003","10.997187796843217"
"2060393163458498982","https://x.com/Wendys/status/2060393163458498982","28 and 10? Fine. Free FRENCH fries in the app with $5 purchase for everybody (including aliens 👽)","2026","5","29","16","1","1","aggressive","coder2","aggressive","1","0","0","0","0","16.0","170.0","16.0","3.0","6.0","49054.0","211.0","186.0","5.356586274672012","5.231108616854587","5.14166355650266","2.833213344056216","2.833213344056216","1.3862943611198906","1.9459101490553132","10.80069739659749"
"2059459943040753916","https://x.com/Wendys/status/2059459943040753916","It’s giving fan behavior but I’m a fan of me too, so I get it! https://t.co/ecpi4sU0kz","2026","5","27","02","1","1","self-enhancing","coder2","other_humor","0","0","1","0","1","18.0","192.0","15.0","0.0","13.0","43398.0","238.0","207.0","5.476463551931511","5.337538079701318","5.262690188904886","2.772588722239781","2.9444389791664403","0.0","2.639057329615259","10.678191678348384"
"2057589742649192842","https://x.com/Wendys/status/2057589742649192842","it's not roasting if it's true 😌 @Jeopardy https://t.co/Da3mvCbEFB","2026","5","21","22","1","1","aggressive","coder2","aggressive","1","0","0","0","0","159.0","5229.0","297.0","8.0","97.0","158953.0","5790.0","5526.0","8.66406026722579","8.617400451833262","8.56216655705897","5.697093486505405","5.075173815233827","2.1972245773362196","4.584967478670572","11.976370131168585"
"2041272778461258077","https://x.com/Wendys/status/2041272778461258077","The Bourbon Bacon Cheeseburger and Pretzel Bacon Pub Burger have made it to our championship! Get your votes in to decide who will be crowned the winner and end up back on the menu https://t.co/VIgjuIMDNF","2026","4","6","21","1","1","affiliative","coder2","other_humor","0","1","0","0","1","220.0","1439.0","74.0","80.0","182.0","5879153.0","1995.0","1513.0","7.59890045687141","7.322510433997394","7.272398392570047","4.31748811353631","5.3981627015177525","4.394449154672439","5.209486152841421","15.586923431972421"
"2041187699764163013","https://x.com/Wendys/status/2041187699764163013","woke up thinking about who’s gonna dunk in the national championship game tonight to unlock a free small fry and Frosty for America tomorrow","2026","4","6","16","1","1","affiliative","coder2","other_humor","0","1","0","0","1","29.0","152.0","14.0","2.0","2.0","37962.0","199.0","166.0","5.298317366548036","5.117993812416755","5.030437921392435","2.70805020110221","3.4011973816621555","1.0986122886681096","1.0986122886681096","10.544367280159596"
"2039789214120996993","https://x.com/Wendys/status/2039789214120996993","Congrats to these Official Wendy’s Dunk Team athletes on making it to the Final Four. You dunked into hoops. You dunked into Frosty. You dunked into our hearts. https://t.co/b6IeqJW8YD","2026","4","2","19","1","1","affiliative","coder2","other_humor","0","1","0","0","1","13.0","75.0","4.0","1.0","1.0","29549.0","94.0","79.0","4.553876891600541","4.382026634673881","4.330733340286331","1.6094379124341003","2.639057329615259","0.6931471805599453","0.6931471805599453","10.293839022834245"
"2035444365800214846","https://x.com/Wendys/status/2035444365800214846","On and off the court, Coen Carr can’t stop (won’t stop) dunking. https://t.co/pvLNEM1zSj","2026","3","21","19","1","1","affiliative","coder2","other_humor","0","1","0","0","1","27.0","1117.0","82.0","9.0","26.0","111913.0","1261.0","1199.0","7.140453043101158","7.090076835776092","7.0192966537150445","4.418840607796598","3.332204510175204","2.302585092994046","3.295836866004329","11.62548599818108"
