게시물ID,작성일,작성연도,작성월,작성시간,연도분기,log1p_engagement_total,유머예측이진,유머비율LOO분기,유머비율LOO분기_평균중심화,유머비율LOO분기_평균중심화제곱,유머X유머강도중심화,유머X유머강도중심화제곱,텍스트길이,해시태그수,멘션수,H3분석표본
2040186889131479302,2026-04-03,2026,4,21,2026-Q2,4.80402104,0,0.603448,0.023239651,0.0005400814,0.0,0.0,42,0,0,1
2040186885704683992,2026-04-03,2026,4,21,2026-Q2,5.80814249,0,0.603448,0.023239651,0.0005400814,0.0,0.0,63,1,0,1
2039915068729541060,2026-04-03,2026,4,3,2026-Q2,3.93182563,0,0.603448,0.023239651,0.0005400814,0.0,0.0,318,0,0,1
2039900754387869992,2026-04-03,2026,4,3,2026-Q2,5.53733427,0,0.603448,0.023239651,0.0005400814,0.0,0.0,172,0,0,1
2039789214120996993,2026-04-02,2026,4,19,2026-Q2,4.55387689,1,0.586207,0.005998651,3.59838e-05,0.005998651,3.59838e-05,184,0,0,1
2039714223337463977,2026-04-02,2026,4,14,2026-Q2,5.23110862,0,0.603448,0.023239651,0.0005400814,0.0,0.0,5,0,0,1
2039714041212358979,2026-04-02,2026,4,14,2026-Q2,4.41884061,0,0.603448,0.023239651,0.0005400814,0.0,0.0,5,0,0,1
2039713760378487274,2026-04-02,2026,4,14,2026-Q2,6.77650699,0,0.603448,0.023239651,0.0005400814,0.0,0.0,169,0,0,1
2038738065678811271,2026-03-30,2026,3,22,2026-Q1,4.35670883,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,5,0,0,1
2038737809075565002,2026-03-30,2026,3,21,2026-Q1,3.87120101,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,5,0,0,1
2038737532473803096,2026-03-30,2026,3,21,2026-Q1,3.66356165,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,5,0,0,1
2038737391863869923,2026-03-30,2026,3,21,2026-Q1,4.04305127,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,5,0,0,1
2038736376653554124,2026-03-30,2026,3,21,2026-Q1,7.138867,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,278,0,0,1
2037346325923278851,2026-03-27,2026,3,1,2026-Q1,6.99668149,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,52,0,1,1
2037342589230408021,2026-03-27,2026,3,1,2026-Q1,8.01697775,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,89,0,0,1
2036210859299455486,2026-03-23,2026,3,22,2026-Q1,9.57907234,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,66,0,0,1
2035444365800214846,2026-03-21,2026,3,19,2026-Q1,7.14045304,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,88,0,0,1
2035438297070096829,2026-03-21,2026,3,19,2026-Q1,6.23048145,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,39,0,0,1
2035415108646490534,2026-03-21,2026,3,17,2026-Q1,7.64300364,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,88,0,0,1
2035414922763350398,2026-03-21,2026,3,17,2026-Q1,3.71357207,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,103,0,0,1
2035411565797634404,2026-03-21,2026,3,17,2026-Q1,9.04852708,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,78,1,0,1
2035213787020575096,2026-03-21,2026,3,4,2026-Q1,5.20948615,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,52,0,0,1
2035089780396953839,2026-03-20,2026,3,20,2026-Q1,4.58496748,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,74,0,1,1
2035036863413805229,2026-03-20,2026,3,16,2026-Q1,4.44265126,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,208,0,0,1
2034753037797904417,2026-03-19,2026,3,22,2026-Q1,7.24636808,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,41,0,0,1
2033636564551524646,2026-03-16,2026,3,20,2026-Q1,6.73221071,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,43,0,0,1
2033326344264888604,2026-03-15,2026,3,23,2026-Q1,9.15588419,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,80,0,0,1
2032563031024996510,2026-03-13,2026,3,21,2026-Q1,6.8596149,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,220,1,0,1
2031884901557965271,2026-03-12,2026,3,0,2026-Q1,7.24064969,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,103,0,0,1
2031738937870364955,2026-03-11,2026,3,14,2026-Q1,7.1491316,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,75,0,0,1
2030448455412252800,2026-03-08,2026,3,1,2026-Q1,9.75759435,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,161,0,0,1
2030030225254359259,2026-03-06,2026,3,21,2026-Q1,6.38181602,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,116,1,1,1
2030030060720164942,2026-03-06,2026,3,21,2026-Q1,10.55846547,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,100,0,1,1
2030021566528893409,2026-03-06,2026,3,20,2026-Q1,6.77422389,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,229,1,2,1
2029952811224514866,2026-03-06,2026,3,16,2026-Q1,7.56579328,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,359,0,1,1
2029687889098068156,2026-03-05,2026,3,22,2026-Q1,8.48673398,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,210,1,0,1
2029585417066946625,2026-03-05,2026,3,15,2026-Q1,7.95085486,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,166,1,0,1
2029290891425529996,2026-03-04,2026,3,20,2026-Q1,9.80752716,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,80,0,0,1
2029249180762341501,2026-03-04,2026,3,17,2026-Q1,10.9937484,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,114,0,0,1
2027127868791431190,2026-02-26,2026,2,21,2026-Q1,6.36647045,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,54,0,0,1
2027105501260202278,2026-02-26,2026,2,19,2026-Q1,7.18841274,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,44,0,0,1
2026335579764343176,2026-02-24,2026,2,16,2026-Q1,8.84332645,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,88,0,0,1
2022846838726922625,2026-02-15,2026,2,1,2026-Q1,6.78558765,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,103,0,0,1
2021355348100313369,2026-02-10,2026,2,22,2026-Q1,5.54517744,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,35,0,0,1
2021268433296367729,2026-02-10,2026,2,17,2026-Q1,6.02827852,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,237,0,1,1
2020685488789815407,2026-02-09,2026,2,2,2026-Q1,8.02584334,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,26,0,0,1
2019221773569728518,2026-02-05,2026,2,1,2026-Q1,8.98506956,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,83,0,1,1
2015935710449009033,2026-01-26,2026,1,23,2026-Q1,6.92853782,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,88,0,0,1
2014446063961178239,2026-01-22,2026,1,21,2026-Q1,6.26149168,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,117,0,0,1
2014093064155889768,2026-01-21,2026,1,21,2026-Q1,7.10414409,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,54,0,0,1
2012261535259726070,2026-01-16,2026,1,20,2026-Q1,5.69709349,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,74,0,0,1
2012226909820621147,2026-01-16,2026,1,18,2026-Q1,5.17614973,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,110,0,0,1
2009777266847363171,2026-01-10,2026,1,0,2026-Q1,6.67203295,1,0.355556,-0.224652349,0.0504686779,-0.224652349,0.0504686779,136,0,0,1
2007833761703223723,2026-01-04,2026,1,15,2026-Q1,5.42495002,0,0.377778,-0.202430349,0.0409780462,-0.0,0.0,152,0,1,1
2001787208093614204,2025-12-18,2025,12,22,2025-Q4,5.17614973,1,0.5,-0.080208349,0.0064333792,-0.080208349,0.0064333792,43,0,0,1
2001787158034866204,2025-12-18,2025,12,22,2025-Q4,4.77912349,0,0.6,0.019791651,0.0003917095,0.0,0.0,63,0,0,1
2001787068914225487,2025-12-18,2025,12,22,2025-Q4,5.82600011,1,0.5,-0.080208349,0.0064333792,-0.080208349,0.0064333792,165,0,0,1
1996659770724696551,2025-12-04,2025,12,19,2025-Q4,8.52516136,0,0.6,0.019791651,0.0003917095,0.0,0.0,42,0,0,1
1996272892787778047,2025-12-03,2025,12,17,2025-Q4,5.79605775,0,0.6,0.019791651,0.0003917095,0.0,0.0,95,0,0,1
1993735456609972272,2025-11-26,2025,11,17,2025-Q4,6.45047042,1,0.5,-0.080208349,0.0064333792,-0.080208349,0.0064333792,48,0,0,1
1991966149815496874,2025-11-21,2025,11,20,2025-Q4,7.89357207,0,0.6,0.019791651,0.0003917095,0.0,0.0,71,0,0,1
1988671571091980633,2025-11-12,2025,11,18,2025-Q4,6.19847872,1,0.5,-0.080208349,0.0064333792,-0.080208349,0.0064333792,115,0,1,1
1980393481068831176,2025-10-20,2025,10,21,2025-Q4,8.21635833,1,0.5,-0.080208349,0.0064333792,-0.080208349,0.0064333792,39,0,0,1
1976057070555132086,2025-10-08,2025,10,22,2025-Q4,7.77779263,1,0.5,-0.080208349,0.0064333792,-0.080208349,0.0064333792,51,0,0,1
1975235300231434581,2025-10-06,2025,10,16,2025-Q4,7.64300364,0,0.6,0.019791651,0.0003917095,0.0,0.0,97,1,0,1
1938000813210714481,2025-06-25,2025,6,22,2025-Q2,8.75794088,0,0.307692,-0.272516349,0.0742651604,-0.0,0.0,30,0,0,1
1934989870239261157,2025-06-17,2025,6,15,2025-Q2,8.09132127,0,0.307692,-0.272516349,0.0742651604,-0.0,0.0,69,0,1,1
1920237379442397554,2025-05-07,2025,5,22,2025-Q2,9.14952823,0,0.307692,-0.272516349,0.0742651604,-0.0,0.0,58,0,1,1
1917664473776623724,2025-04-30,2025,4,19,2025-Q2,9.84288793,1,0.230769,-0.349439349,0.1221078586,-0.349439349,0.1221078586,53,0,0,1
1914826173638414390,2025-04-22,2025,4,23,2025-Q2,6.92362863,0,0.307692,-0.272516349,0.0742651604,-0.0,0.0,64,0,0,1
1914824035609027011,2025-04-22,2025,4,23,2025-Q2,6.60800063,1,0.230769,-0.349439349,0.1221078586,-0.349439349,0.1221078586,90,0,1,1
1914683170374459772,2025-04-22,2025,4,14,2025-Q2,6.43133108,0,0.307692,-0.272516349,0.0742651604,-0.0,0.0,40,0,0,1
1914680845526278493,2025-04-22,2025,4,14,2025-Q2,5.69035945,0,0.307692,-0.272516349,0.0742651604,-0.0,0.0,71,0,1,1
1911933396550287524,2025-04-15,2025,4,0,2025-Q2,12.00902925,0,0.307692,-0.272516349,0.0742651604,-0.0,0.0,34,0,0,1
1911781221559844913,2025-04-14,2025,4,13,2025-Q2,12.09222623,0,0.307692,-0.272516349,0.0742651604,-0.0,0.0,90,0,0,1
1910713017144127729,2025-04-11,2025,4,15,2025-Q2,9.26074827,0,0.307692,-0.272516349,0.0742651604,-0.0,0.0,132,0,0,1
1909664559243178141,2025-04-08,2025,4,17,2025-Q2,9.67054616,0,0.307692,-0.272516349,0.0742651604,-0.0,0.0,34,0,0,1
1907472436305813963,2025-04-02,2025,4,16,2025-Q2,6.08677473,1,0.230769,-0.349439349,0.1221078586,-0.349439349,0.1221078586,133,1,0,1
1907167027267010864,2025-04-01,2025,4,20,2025-Q2,6.0591232,1,0.230769,-0.349439349,0.1221078586,-0.349439349,0.1221078586,135,1,0,1
1906741707875483676,2025-03-31,2025,3,16,2025-Q1,5.68697536,1,0.4,-0.180208349,0.032475049,-0.180208349,0.032475049,156,1,0,1
1905709754686788031,2025-03-28,2025,3,19,2025-Q1,5.77765232,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,86,0,0,1
1905709287558791496,2025-03-28,2025,3,19,2025-Q1,5.75574221,1,0.4,-0.180208349,0.032475049,-0.180208349,0.032475049,199,1,0,1
1905701777573621999,2025-03-28,2025,3,19,2025-Q1,5.71373281,1,0.4,-0.180208349,0.032475049,-0.180208349,0.032475049,165,1,0,1
1905005766244815166,2025-03-26,2025,3,21,2025-Q1,5.6767538,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,116,0,0,1
1904642614470545836,2025-03-25,2025,3,21,2025-Q1,6.78558765,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,39,0,0,1
1904565120010723568,2025-03-25,2025,3,16,2025-Q1,5.38449506,1,0.4,-0.180208349,0.032475049,-0.180208349,0.032475049,236,1,0,1
1903162702585008400,2025-03-21,2025,3,19,2025-Q1,5.84354442,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,147,0,0,1
1903112530345521579,2025-03-21,2025,3,15,2025-Q1,9.61193132,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,49,0,1,1
1901851793795219858,2025-03-18,2025,3,4,2025-Q1,8.77307495,1,0.4,-0.180208349,0.032475049,-0.180208349,0.032475049,138,0,1,1
1899970489797271587,2025-03-12,2025,3,23,2025-Q1,7.14045304,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,44,0,0,1
1893347732040880523,2025-02-22,2025,2,17,2025-Q1,7.24779258,1,0.4,-0.180208349,0.032475049,-0.180208349,0.032475049,137,0,0,1
1892979312707473537,2025-02-21,2025,2,16,2025-Q1,8.32312289,1,0.4,-0.180208349,0.032475049,-0.180208349,0.032475049,55,0,0,1
1889332081404088470,2025-02-11,2025,2,15,2025-Q1,6.85224257,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,17,0,0,1
1889331721939673543,2025-02-11,2025,2,15,2025-Q1,7.0440329,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,128,1,2,1
1889052840129114344,2025-02-10,2025,2,20,2025-Q1,7.28892769,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,63,0,0,1
1886095648572760240,2025-02-02,2025,2,16,2025-Q1,7.3639135,1,0.4,-0.180208349,0.032475049,-0.180208349,0.032475049,55,0,0,1
1881055482015805887,2025-01-19,2025,1,19,2025-Q1,9.62687729,0,0.45,-0.130208349,0.0169542141,-0.0,0.0,19,0,0,1
1879984832446623928,2025-01-16,2025,1,20,2025-Q1,10.05565054,1,0.4,-0.180208349,0.032475049,-0.180208349,0.032475049,51,0,0,1
