id,tweet_url,text,created_year,created_month,created_day,created_time,created_hour,created_date,year_month,year_quarter,pred_humor_final_050,p_humor_final_tfidf_logreg,reply_count,favorite_count,retweet_count,quote_count,bookmark_count,view_count,engagement_total,engagement_favorite_retweet,log1p_engagement_total,log1p_engagement_favorite_retweet,log1p_favorite_count,log1p_retweet_count,log1p_reply_count,log1p_quote_count,log1p_bookmark_count,log1p_view_count,humor_intensity_month,humor_intensity_quarter,humor_intensity_month_loo,humor_intensity_quarter_loo,month_total_posts,month_humor_posts,month_non_humor_posts,humor_frequency_month,humor_proportion_month,humor_proportion_month_loo,quarter_total_posts,quarter_humor_posts,quarter_non_humor_posts,humor_frequency_quarter,humor_proportion_quarter,humor_proportion_quarter_loo,pred_humor_type_group_model,p_type_aggressive_model,p_type_other_humor_model,pred_humor_type_group_model_050,is_aggressive_humor,is_other_humor,is_non_humor,is_predicted_humor,quarter_aggressive_posts,quarter_other_humor_posts,quarter_predicted_humor_posts,aggressive_humor_frequency_quarter,other_humor_frequency_quarter,aggressive_humor_proportion_quarter,other_humor_proportion_quarter,aggressive_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo,aggressive_share_among_humor_quarter,aggressive_share_among_humor_quarter_loo,in_h3_aggressive_filtered,no,final_humor_binary,final_humor_source,final_humor_label_available,model_humor,p_humor,p_humor_ml,log1p_p_humor_final_tfidf_logreg,prediction_set,text_length,hashtag_count,mention_count,emoji_count
2059459943040753916,https://x.com/Wendys/status/2059459943040753916,"It’s giving fan behavior but I’m a fan of me too, so I get it! https://t.co/ecpi4sU0kz",2026,5,27,02:21:27,02,2026-05-27,2026-05,2026-Q2,1,0.608569,18,192,15,0,13,43398,238,207,5.476464,5.337538,5.26269,2.772589,2.944439,0.0,2.639057,10.678192,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,other_humor,0.3492,0.6508,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,11,1,human,1,1,0.6529,0.08009,0.475345,labeled,86,0,0,0
2059351523583311924,https://x.com/Wendys/status/2059351523583311924,Be there. Seaport Square.,2026,5,26,19:10:38,19,2026-05-26,2026-05,2026-Q2,0,0.452002,14,89,9,2,4,55132,118,98,4.779123,4.59512,4.49981,2.302585,2.70805,1.098612,1.609438,10.917504,0.695652,0.59322,0.727273,0.603448,23,16,7,16,0.695652,0.727273,59,35,24,35,0.59322,0.603448,non_humor,0.5683,0.4317,non_humor,0,0,1,0,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.44827586,0.25714286,0.25714286,1,12,0,human,1,0,0.4293,0.40964,0.372943,labeled,25,0,0,0
2057593602490970314,https://x.com/Wendys/status/2057593602490970314,Hi @KenJennings,2026,5,21,22:45:17,22,2026-05-21,2026-05,2026-Q2,0,0.349469,5,128,2,0,3,27416,138,130,4.934474,4.875197,4.859812,1.098612,1.791759,0.0,1.386294,10.218919,0.695652,0.59322,0.727273,0.603448,23,16,7,16,0.695652,0.727273,59,35,24,35,0.59322,0.603448,non_humor,0.5270,0.4730,non_humor,0,0,1,0,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.44827586,0.25714286,0.25714286,1,13,0,human,1,0,0.3606,0.467293,0.299711,labeled,15,0,1,0
2057590511653794039,https://x.com/Wendys/status/2057590511653794039,This isn’t my living room btw I was at a friends house,2026,5,21,22:33:00,22,2026-05-21,2026-05,2026-Q2,1,0.687834,16,164,6,0,1,24293,187,170,5.236442,5.141664,5.105945,1.94591,2.833213,0.0,0.693147,10.097985,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,other_humor,0.4488,0.5512,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,14,1,human,1,1,0.6340,0.44814,0.523446,labeled,54,0,0,0
2057590262373785937,https://x.com/Wendys/status/2057590262373785937,@James_Holzhauer,2026,5,21,22:32:01,22,2026-05-21,2026-05,2026-Q2,0,0.283363,1,24,1,0,1,13228,27,25,3.332205,3.258097,3.218876,0.693147,0.693147,0.0,0.693147,9.490167,0.695652,0.59322,0.727273,0.603448,23,16,7,16,0.695652,0.727273,59,35,24,35,0.59322,0.603448,non_humor,0.5270,0.4730,non_humor,0,0,1,0,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.44827586,0.25714286,0.25714286,1,15,0,human,1,0,0.2870,0.467293,0.249484,labeled,16,0,1,0
2057589742649192842,https://x.com/Wendys/status/2057589742649192842,it's not roasting if it's true 😌 @Jeopardy https://t.co/Da3mvCbEFB,2026,5,21,22:29:57,22,2026-05-21,2026-05,2026-Q2,1,0.542175,159,5229,297,8,97,158953,5790,5526,8.66406,8.6174,8.562167,5.697093,5.075174,2.197225,4.584967,11.97637,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,aggressive,0.6516,0.3484,aggressive,1,0,0,1,9,26,35,9,26,0.15254237,0.44067797,0.13793103,0.44827586,0.25714286,0.23529412,1,16,1,human,1,1,0.6061,0.742053,0.433194,labeled,66,0,1,1
2057509387422380064,https://x.com/Wendys/status/2057509387422380064,"From one redheaded baddie to another, we just wanted to formally invite you to compete in our Wendy’s look-alike contest this weekend for #worldredheadday

https://t.co/Plz0ZCapd2",2026,5,21,17:10:39,17,2026-05-21,2026-05,2026-Q2,1,0.565466,22,140,16,0,6,88702,184,156,5.220356,5.056246,4.94876,2.833213,3.135494,0.0,1.94591,11.393049,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,other_humor,0.2652,0.7348,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,17,1,human,1,1,0.5960,0.300047,0.448183,labeled,179,1,0,0
2056803537636467033,https://x.com/Wendys/status/2056803537636467033,might change my name to Wemby’s and only serve french fries after last night’s game,2026,5,19,18:25:51,18,2026-05-19,2026-05,2026-Q2,1,0.735588,511,67538,7060,455,1962,2379809,77526,74598,11.258382,11.219882,11.12046,8.862342,6.238325,6.122493,7.582229,14.682531,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,other_humor,0.4738,0.5262,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,18,1,human,1,1,0.6561,0.714933,0.551346,labeled,83,0,0,0
2056485781707821429,https://x.com/Wendys/status/2056485781707821429,"If you have flaming locks of auburn hair and a face card that never declines, we have the perfect contest for you 😉
Wendy’s Look-Alike Contest is 3:30-5:30pm May 26th at Seaport Square in NYC! https://t.co/sEUa15Db7G",2026,5,18,21:23:12,21,2026-05-18,2026-05,2026-Q2,1,0.554501,28,220,31,11,15,197852,305,251,5.723585,5.529429,5.398163,3.465736,3.367296,2.484907,2.772589,12.19528,0.695652,0.59322,0.681818,0.586207,23,16,7,16,0.695652,0.681818,59,35,24,35,0.59322,0.586207,other_humor,0.4761,0.5239,other_humor,0,1,0,1,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.43103448,0.25714286,0.26470588,1,19,0,human,1,0,0.4413,0.349927,0.441155,labeled,216,0,0,1
2054933542442848652,https://x.com/Wendys/status/2054933542442848652,🟨🟦🍟 https://t.co/y9M33fb83V,2026,5,14,14:35:09,14,2026-05-14,2026-05,2026-Q2,0,0.045542,108,549,63,26,35,116668,781,612,6.661855,6.418365,6.309918,4.158883,4.691348,3.295837,3.583519,11.667096,0.695652,0.59322,0.727273,0.603448,23,16,7,16,0.695652,0.727273,59,35,24,35,0.59322,0.603448,non_humor,0.3521,0.6479,non_humor,0,0,1,0,9,26,35,9,26,0.15254237,0.44067797,0.15517241,0.44827586,0.25714286,0.25714286,1,20,0,human,1,0,0.3475,0.08009,0.044535,labeled,27,0,0,1
