"id","tweet_url","text","final_humor_binary","final_humor_source","final_humor_label_available","final_humor_type","final_humor_type_source","final_humor_type_available","final_humor_type_group","aggressive_humor","other_humor_flag","non_humor_flag","humor_missing_type","reply_count","favorite_count","retweet_count","quote_count","bookmark_count","engagement_total","engagement_favorite_retweet","log1p_engagement_total","log1p_engagement_favorite_retweet","log1p_favorite_count","log1p_retweet_count","log1p_reply_count","log1p_quote_count","log1p_bookmark_count"
"2054933542442848652","https://x.com/Wendys/status/2054933542442848652","🟨🟦🍟 https://t.co/y9M33fb83V","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","108.0","549.0","63.0","26.0","35.0","781.0","612.0","6.661854740545311","6.418364935936212","6.309918278226516","4.1588830833596715","4.6913478822291435","3.295836866004329","3.58351893845611"
"2054257059399389281","https://x.com/Wendys/status/2054257059399389281","Did you know? One cookie dough frosty is the equivalent of 12 dancing fruit videos?","1","human","1","","missing","0","missing","0","0","0","1","36.0","86.0","6.0","1.0","4.0","133.0","92.0","4.897839799950911","4.532599493153256","4.465908118654584","1.9459101490553132","3.6109179126442243","0.6931471805599453","1.6094379124341003"
"2052863834503700774","https://x.com/Wendys/status/2052863834503700774","Their love story is almost as fresh as our beef ❤️ https://t.co/OydNIkjSGV","1","human","1","","missing","0","missing","0","0","0","1","283.0","29200.0","2668.0","265.0","3228.0","35644.0","31868.0","10.48136416355173","10.369389029448124","10.281958234245314","7.889459149404524","5.648974238161206","5.583496308781699","8.079927770758275"
"2052727809756348567","https://x.com/Wendys/status/2052727809756348567","Sir, this is a banana https://t.co/mtSrVrahpo","1","human","1","","missing","0","missing","0","0","0","1","168.0","1710.0","126.0","24.0","82.0","2110.0","1836.0","7.65491704784832","7.515889085215125","7.444833273892193","4.844187086458591","5.1298987149230735","3.2188758248682006","4.418840607796598"
"2052536825336729602","https://x.com/Wendys/status/2052536825336729602","Rick Devens after last night’s tribal council 
@Rick_Devens @MrBeast #Survivor50","1","human","1","","missing","0","missing","0","0","0","1","17.0","1930.0","62.0","4.0","39.0","2052.0","1992.0","7.627057417018934","7.597396320212795","7.565793282428515","4.143134726391533","2.8903717578961645","1.6094379124341003","3.6888794541139363"
"2052513071906619715","https://x.com/Wendys/status/2052513071906619715","The necklace of every mom’s dreams is here. Tag a mom and tell us why she deserves one below and we might just surprise a few ❤️ https://t.co/p9208Rvu4D","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","462.0","1124.0","111.0","16.0","75.0","1788.0","1235.0","7.489412083508719","7.119635638017636","7.025538314638521","4.718498871295094","6.137727054086234","2.833213344056216","4.330733340286331"
"2050328345645133837","https://x.com/Wendys/status/2050328345645133837","new spicy chicken sandwich slaps https://t.co/nDUnSsL79R","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","1462.0","11796.0","1213.0","326.0","1446.0","16243.0","13009.0","9.69547888880619","9.47347357150655","9.375600540841843","7.101675971619444","7.288244401020124","5.7899601708972535","7.277247726631484"
"2050307931778732264","https://x.com/Wendys/status/2050307931778732264","I'm trying to get as crispy as the bacon on our Baconator this Girls Trip 😎☀️🌺 https://t.co/8oGyl5S3GO","1","human","1","","missing","0","missing","0","0","0","1","43.0","446.0","41.0","2.0","20.0","552.0","487.0","6.315358001522335","6.1903154058531475","6.102558594613569","3.7376696182833684","3.784189633918261","1.0986122886681096","3.044522437723423"
"2050243908991328359","https://x.com/Wendys/status/2050243908991328359","that bow is not just blue, it's not turquoise, it's not lapis, it's actually cerulean. https://t.co/mswbnGHkgg","1","human","1","","missing","0","missing","0","0","0","1","139.0","1510.0","86.0","18.0","38.0","1791.0","1596.0","7.491087593534876","7.3758821482150125","7.32052696227274","4.465908118654584","4.941642422609304","2.9444389791664403","3.6635616461296463"
"2048730947017654333","https://x.com/Wendys/status/2048730947017654333","Sweet &amp; Sour is BACK… but only for a limited time unless y’all get loud. Go get the sauce in-restaurant + like, comment and share this post to save it. SWEET &amp; SOUR ARMY DO UR THING. https://t.co/ndF0vOrTpo","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","410.0","1009.0","249.0","128.0","81.0","1877.0","1258.0","7.537962659768208","7.138073034044347","6.917705609835305","5.521460917862246","6.018593214496234","4.859812404361672","4.406719247264253"
