fortune_year,fortune_rank,firm_name,fortune_company_url,target_report_year,sec_cik,sec_company_name,sec_ticker,sec_match_score,sec_match_status,form,filing_date,report_date,accession_number,primary_document,sec_filing_url,local_report_path,download_status,status,notes,collected_at
2025,1,Amazon,https://fortune.com/company/amazon-com/,2025,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,1,Amazon,https://fortune.com/company/amazon-com/,2024,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,1,Amazon,https://fortune.com/company/amazon-com/,2023,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,2,Walmart,https://fortune.com/company/walmart/,2025,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,2,Walmart,https://fortune.com/company/walmart/,2024,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,2,Walmart,https://fortune.com/company/walmart/,2023,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,3,UnitedHealth Group,https://fortune.com/company/unitedhealth-group/,2025,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,3,UnitedHealth Group,https://fortune.com/company/unitedhealth-group/,2024,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,3,UnitedHealth Group,https://fortune.com/company/unitedhealth-group/,2023,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,4,Apple,https://fortune.com/company/apple/,2025,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,4,Apple,https://fortune.com/company/apple/,2024,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,4,Apple,https://fortune.com/company/apple/,2023,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,5,Alphabet,https://fortune.com/company/alphabet/,2025,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,5,Alphabet,https://fortune.com/company/alphabet/,2024,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,5,Alphabet,https://fortune.com/company/alphabet/,2023,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,6,CVS Health,https://fortune.com/company/cvs-health/,2025,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,6,CVS Health,https://fortune.com/company/cvs-health/,2024,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,6,CVS Health,https://fortune.com/company/cvs-health/,2023,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,7,Berkshire Hathaway,https://fortune.com/company/berkshire-hathaway/,2025,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,7,Berkshire Hathaway,https://fortune.com/company/berkshire-hathaway/,2024,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,7,Berkshire Hathaway,https://fortune.com/company/berkshire-hathaway/,2023,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,8,McKesson,https://fortune.com/company/mckesson/,2025,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
2025,8,McKesson,https://fortune.com/company/mckesson/,2024,,,,0.00,sec_source_fetch_failed,,,,,,,,not_attempted,sec_source_fetch_failed,SEC source fetch failed before CIK matching: RuntimeError: Request failed after 3 attempts: https://www.sec.gov/files/company_tickers.json: HTTP Error 403: Forbidden,2026-06-12T04:09:26+00:00
