fortune_year,fortune_rank,firm_name,entity_type,fortune_company_url,official_x_account_status,x_candidate_found,x_handle_candidate,x_profile_url_candidate,x_candidate_role,x_candidate_score,x_candidate_confidence,recommendation_status,needs_manual_review,review_decision,reviewed_x_handle,reviewed_x_profile_url,source_file,notes,generated_at
2025,1,Amazon,Organization,https://fortune.com/company/amazon-com/,unknown,1,@amazonmusic,https://x.com/amazonmusic,unknown,60,low,multiple_ambiguous_candidates,1,,,,x_account_discovery_recommendations,Multiple high or medium candidates require manual role and evidence review.,2026-06-10T09:01:44+00:00
2025,2,Walmart,Organization,https://fortune.com/company/walmart/,unknown,1,@walmartcompany_,https://x.com/walmartcompany_,corporate,70,high,login_or_rate_limited,1,,,,x_account_discovery_recommendations,X search or profile detail was blocked by a login challenge or rate limit.,2026-06-10T09:01:44+00:00
2025,3,UnitedHealth Group,Organization,https://fortune.com/company/unitedhealth-group/,unknown,1,@keliixxxe,https://x.com/keliixxxe,unknown,50,low,login_or_rate_limited,1,,,,x_account_discovery_recommendations,X search or profile detail was blocked by a login challenge or rate limit.,2026-06-10T09:01:44+00:00
2025,4,Apple,Organization,https://fortune.com/company/apple/,unknown,1,@Apple,https://x.com/Apple,unknown,70,low,login_or_rate_limited,1,,,,x_account_discovery_recommendations,X search or profile detail was blocked by a login challenge or rate limit.,2026-06-10T09:01:44+00:00
2025,5,Alphabet,Organization,https://fortune.com/company/alphabet/,unknown,1,@MoonPie,https://x.com/MoonPie,unknown,10,not_found,low_confidence_only,1,,,,x_account_discovery_recommendations,Only low-confidence candidates were found. Repeated unrelated @MoonPie candidate; treat as selector/search contamination until manually verified.,2026-06-10T09:01:44+00:00
2025,6,CVS Health,Organization,https://fortune.com/company/cvs-health/,unknown,1,@CVSHealth,https://x.com/CVSHealth,customer_support,40,low,low_confidence_only,1,,,,x_account_discovery_recommendations,Only low-confidence candidates were found.,2026-06-10T09:01:44+00:00
2025,7,Berkshire Hathaway,Organization,https://fortune.com/company/berkshire-hathaway/,unknown,1,@bhhsfoxroach,https://x.com/bhhsfoxroach,corporate,40,low,low_confidence_only,1,,,,x_account_discovery_recommendations,Only low-confidence candidates were found.,2026-06-10T09:01:44+00:00
2025,8,McKesson,Organization,https://fortune.com/company/mckesson/,unknown,1,@MoonPie,https://x.com/MoonPie,unknown,10,not_found,low_confidence_only,1,,,,x_account_discovery_recommendations,Only low-confidence candidates were found. Repeated unrelated @MoonPie candidate; treat as selector/search contamination until manually verified.,2026-06-10T09:01:44+00:00
2025,9,Exxon Mobil,Organization,https://fortune.com/company/exxon-mobil/,unknown,1,@MoonPie,https://x.com/MoonPie,unknown,10,not_found,low_confidence_only,1,,,,x_account_discovery_recommendations,Only low-confidence candidates were found. Repeated unrelated @MoonPie candidate; treat as selector/search contamination until manually verified.,2026-06-10T09:01:44+00:00
2025,10,Cencora,Organization,https://fortune.com/company/amerisourcebergen/,unknown,1,@MoonPie,https://x.com/MoonPie,unknown,0,not_found,low_confidence_only,1,,,,x_account_discovery_recommendations,Only low-confidence candidates were found. Repeated unrelated @MoonPie candidate; treat as selector/search contamination until manually verified.,2026-06-10T09:01:44+00:00
2025,11,Microsoft,Organization,https://fortune.com/company/microsoft/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,12,JPMorgan Chase,Organization,https://fortune.com/company/jpmorgan-chase/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,13,Costco Wholesale,Organization,https://fortune.com/company/costco/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,14,Cigna Group,Organization,https://fortune.com/company/cigna/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,15,Cardinal Health,Organization,https://fortune.com/company/cardinal-health/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,16,Nvidia,Organization,https://fortune.com/company/nvidia/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,17,Meta Platforms,Organization,https://fortune.com/company/facebook/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,18,Elevance Health,Organization,https://fortune.com/company/elevance-health/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,19,Centene,Organization,https://fortune.com/company/centene/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,20,Bank of America,Organization,https://fortune.com/company/bank-of-america-corp/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,21,Chevron,Organization,https://fortune.com/company/chevron/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,22,Ford Motor,Organization,https://fortune.com/company/ford-motor/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,23,General Motors,Organization,https://fortune.com/company/general-motors/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,24,Citigroup,Organization,https://fortune.com/company/citigroup/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,25,Home Depot,Organization,https://fortune.com/company/home-depot/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
2025,26,Fannie Mae,Organization,https://fortune.com/company/fannie-mae/,unknown,0,,,,,,not_searched,1,,,,fortune_2025_ranking_only,No X discovery run has been executed for this Fortune 500 row.,2026-06-10T09:01:44+00:00
