fortune_year,fortune_rank,firm_name,entity_type,fortune_company_url,official_x_account_status,direct_x_profile_exists,direct_x_handle_candidate,direct_x_profile_url,direct_check_status,x_access_method,page_title,current_url,needs_manual_review,review_decision,reviewed_x_handle,reviewed_x_profile_url,source_file,notes,generated_at
2025,34,Humana,Organization,https://fortune.com/company/humana/,unknown,yes,@humana,https://x.com/humana,profile_accessible,authenticated_playwright,Humana (@Humana) / X,https://x.com/humana,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,35,AT&T,Organization,https://fortune.com/company/att/,unknown,yes,@atandt,https://x.com/atandt,profile_accessible,authenticated_playwright,Profile / X,https://x.com/atandt,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,36,Goldman Sachs Group,Organization,https://fortune.com/company/goldman-sachs-group/,unknown,no,@goldmansachsgroup,https://x.com/goldmansachsgroup,not_found,authenticated_playwright,Profile / X,https://x.com/goldmansachsgroup,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X URL rendered a not-found/unavailable account message.,2026-06-10T10:03:54+00:00
2025,37,Comcast,Organization,https://fortune.com/company/comcast/,unknown,yes,@comcast,https://x.com/comcast,profile_accessible,authenticated_playwright,Comcast (@comcast) / X,https://x.com/comcast,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,38,Wells Fargo,Organization,https://fortune.com/company/wells-fargo/,unknown,yes,@wellsfargo,https://x.com/wellsfargo,profile_accessible,authenticated_playwright,Wells Fargo (@WellsFargo) / X,https://x.com/wellsfargo,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,39,Morgan Stanley,Organization,https://fortune.com/company/morgan-stanley/,unknown,yes,@morganstanley,https://x.com/morganstanley,profile_accessible,authenticated_playwright,Morgan Stanley (@MorganStanley) / X,https://x.com/morganstanley,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,40,Valero Energy,Organization,https://fortune.com/company/valero-energy/,unknown,yes,@valeroenergy,https://x.com/valeroenergy,profile_accessible,authenticated_playwright,Valero (@ValeroEnergy) / X,https://x.com/valeroenergy,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,41,Dell Technologies,Organization,https://fortune.com/company/dell-technologies/,unknown,no,@delltechnologies,https://x.com/delltechnologies,not_found,authenticated_playwright,Profile / X,https://x.com/delltechnologies,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X URL rendered a not-found/unavailable account message.,2026-06-10T10:03:54+00:00
2025,42,Target,Organization,https://fortune.com/company/target/,unknown,yes,@target,https://x.com/target,profile_accessible,authenticated_playwright,Target (@Target) / X,https://x.com/target,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,43,Tesla,Organization,https://fortune.com/company/tesla/,unknown,yes,@tesla,https://x.com/tesla,profile_accessible,authenticated_playwright,Tesla (@Tesla) / X,https://x.com/tesla,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,44,Walt Disney,Organization,https://fortune.com/company/disney/,unknown,yes,@waltdisney,https://x.com/waltdisney,profile_accessible,authenticated_playwright,waltdisney (@waltdisney) / X,https://x.com/waltdisney,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,45,Johnson & Johnson,Organization,https://fortune.com/company/johnson-johnson/,unknown,no,@johnsonandjohnson,https://x.com/johnsonandjohnson,not_found,authenticated_playwright,Profile / X,https://x.com/johnsonandjohnson,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X URL rendered a not-found/unavailable account message.,2026-06-10T10:03:54+00:00
2025,46,PepsiCo,Organization,https://fortune.com/company/pepsico/,unknown,yes,@pepsico,https://x.com/pepsico,profile_accessible,authenticated_playwright,PepsiCo (@PepsiCo) / X,https://x.com/pepsico,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,47,Boeing,Organization,https://fortune.com/company/boeing/,unknown,yes,@boeing,https://x.com/boeing,profile_accessible,authenticated_playwright,The Boeing Company (@Boeing) / X,https://x.com/boeing,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,48,UPS,Organization,https://fortune.com/company/ups/,unknown,yes,@ups,https://x.com/ups,profile_accessible,authenticated_playwright,UPS (@UPS) / X,https://x.com/ups,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,49,RTX,Organization,https://fortune.com/company/raytheon-technologies/,unknown,yes,@rtx,https://x.com/rtx,profile_accessible,authenticated_playwright,rtx (@rtx) / X,https://x.com/rtx,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,50,FedEx,Organization,https://fortune.com/company/fedex/,unknown,yes,@fedex,https://x.com/fedex,profile_accessible,authenticated_playwright,FedEx (@FedEx) / X,https://x.com/fedex,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,51,Progressive,Organization,https://fortune.com/company/progressive/,unknown,yes,@progressive,https://x.com/progressive,profile_accessible,authenticated_playwright,Progressive (@progressive) / X,https://x.com/progressive,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,52,Lowe's,Organization,https://fortune.com/company/lowes/,unknown,yes,@lowes,https://x.com/lowes,profile_accessible,authenticated_playwright,Lowe's (@Lowes) / X,https://x.com/lowes,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,53,Energy Transfer,Organization,https://fortune.com/company/energy-transfer-equity/,unknown,yes,@energytransfer,https://x.com/energytransfer,profile_accessible,authenticated_playwright,Energy Transfer (@EnergyTransfer) / X,https://x.com/energytransfer,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,54,Procter & Gamble,Organization,https://fortune.com/company/procter-gamble/,unknown,no,@procterandgamble,https://x.com/procterandgamble,not_found,authenticated_playwright,Profile / X,https://x.com/procterandgamble,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X URL rendered a not-found/unavailable account message.,2026-06-10T10:03:54+00:00
2025,55,Sysco,Organization,https://fortune.com/company/sysco/,unknown,yes,@sysco,https://x.com/sysco,profile_accessible,authenticated_playwright,Sysco (@Sysco) / X,https://x.com/sysco,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,56,American Express,Organization,https://fortune.com/company/american-express/,unknown,yes,@americanexpress,https://x.com/americanexpress,profile_accessible,authenticated_playwright,American Express (@AmericanExpress) / X,https://x.com/americanexpress,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,57,Albertsons,Organization,https://fortune.com/company/albertsons-cos/,unknown,yes,@albertsons,https://x.com/albertsons,profile_accessible,authenticated_playwright,Albertsons (@Albertsons) / X,https://x.com/albertsons,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,58,Archer Daniels Midland,Organization,https://fortune.com/company/archer-daniels-midland/,unknown,no,@archerdanielsmidland,https://x.com/archerdanielsmidland,not_found,authenticated_playwright,Profile / X,https://x.com/archerdanielsmidland,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X URL rendered a not-found/unavailable account message.,2026-06-10T10:03:54+00:00
2025,59,MetLife,Organization,https://fortune.com/company/metlife/,unknown,yes,@metlife,https://x.com/metlife,profile_accessible,authenticated_playwright,MetLife (@MetLife) / X,https://x.com/metlife,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,60,HCA Healthcare,Organization,https://fortune.com/company/hca-holdings/,unknown,yes,@hcahealthcare,https://x.com/hcahealthcare,profile_accessible,authenticated_playwright,HCA Healthcare (@HCAhealthcare) / X,https://x.com/hcahealthcare,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,61,Lockheed Martin,Organization,https://fortune.com/company/lockheed-martin/,unknown,yes,@lockheedmartin,https://x.com/lockheedmartin,profile_accessible,authenticated_playwright,Lockheed Martin (@LockheedMartin) / X,https://x.com/lockheedmartin,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,62,New York Life Insurance,Organization,https://fortune.com/company/new-york-life-insurance/,unknown,no,@newyorklifeinsurance,https://x.com/newyorklifeinsurance,not_found,authenticated_playwright,Profile / X,https://x.com/newyorklifeinsurance,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X URL rendered a not-found/unavailable account message.,2026-06-10T10:03:54+00:00
2025,63,Capital One Financial,Organization,https://fortune.com/company/capital-one-financial/,unknown,no,@capitalonefinancial,https://x.com/capitalonefinancial,not_found,authenticated_playwright,Profile / X,https://x.com/capitalonefinancial,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X URL rendered a not-found/unavailable account message.,2026-06-10T10:03:54+00:00
2025,64,Allstate,Organization,https://fortune.com/company/allstate/,unknown,yes,@allstate,https://x.com/allstate,profile_accessible,authenticated_playwright,Allstate (@Allstate) / X,https://x.com/allstate,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,65,Caterpillar,Organization,https://fortune.com/company/caterpillar/,unknown,yes,@caterpillar,https://x.com/caterpillar,profile_accessible,authenticated_playwright,良葛格 (@caterpillar) / X,https://x.com/caterpillar,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,66,IBM,Organization,https://fortune.com/company/ibm/,unknown,yes,@ibm,https://x.com/ibm,profile_accessible,authenticated_playwright,IBM (@IBM) / X,https://x.com/ibm,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,67,Eli Lilly,Organization,https://fortune.com/company/eli-lilly/,unknown,yes,@elililly,https://x.com/elililly,profile_accessible,authenticated_playwright,Eli Lilly and Co. (@EliLilly) / X,https://x.com/elililly,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,68,Merck,Organization,https://fortune.com/company/merck/,unknown,yes,@merck,https://x.com/merck,profile_accessible,authenticated_playwright,Merck (@Merck) / X,https://x.com/merck,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
2025,69,Nationwide,Organization,https://fortune.com/company/nationwide/,unknown,unknown,@nationwide,https://x.com/nationwide,rate_limited_or_transient,authenticated_playwright,Nationwide (@Nationwide) / X,https://x.com/nationwide,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,X returned a transient/rate-limit style page.,2026-06-10T10:03:54+00:00
2025,70,Broadcom,Organization,https://fortune.com/company/broadcom/,unknown,unknown,@broadcom,https://x.com/broadcom,rate_limited_or_transient,authenticated_playwright,Broadcom (@Broadcom) / X,https://x.com/broadcom,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,X returned a transient/rate-limit style page.,2026-06-10T10:03:54+00:00
2025,71,Delta Air Lines,Organization,https://fortune.com/company/delta-air-lines/,unknown,yes,@deltaairlines,https://x.com/deltaairlines,profile_accessible,authenticated_playwright,Profile / X,https://x.com/deltaairlines,1,,,,fortune2025_itemListElement_rows.csv; fortune2025_top100_x_direct_check.csv,Direct X profile markers were detected. This does not prove official corporate ownership.,2026-06-10T10:03:54+00:00
