model,n_firm_quarters,beta1_intensity,beta1_se,beta1_t,beta1_p,beta1_stars,beta2_intensity_sq,beta2_se,beta2_t,beta2_p,beta2_stars,turning_point,obs_intensity_min,obs_intensity_max,tp_in_obs_range,H3_supported,r_squared,adj_r_squared
Full_sample_H3,1420,11.435958,0.964258,11.8599,0.0,***,-4.674035,2.040174,-2.291,0.02211,**,1.22335,0.0,1.0,False,False,0.16122,0.160036
Human_coded_H3,845,3.060947,1.4758,2.0741,0.038374,**,-1.895608,1.68662,-1.1239,0.261372,,0.807379,0.0,1.0,True,False,0.012502,0.010156
