tweet_id,fortune_rank,company_name,source_x_handle,humor_presence,humor_presence_score,humor_type,humor_type_score,aggressive_humor,affiliative_humor,self_enhancing_humor,self_defeating_humor,non_humorous,classification_source,model_name,classification_confidence,classification_version
1761161853772652866,1,Amazon,@amazon,0,0.462920,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.537080,existing_data_derived_humor_full_chain
2027376841179431144,1,Amazon,@amazon,1,0.808397,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.808397,existing_data_derived_humor_full_chain
2027377483738161644,1,Amazon,@amazon,,0.605718,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.605718,existing_data_derived_humor_full_chain
2027398332482465882,1,Amazon,@amazon,1,0.750505,affiliative,0.350000,0,1,0,0,0,ml,existing_repository_full_chain_classifier,0.750505,existing_data_derived_humor_full_chain
2027445227922067868,1,Amazon,@amazon,0,0.479871,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.520129,existing_data_derived_humor_full_chain
1895520502296588323,1,Amazon,@amazon,0,0.479779,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.520221,existing_data_derived_humor_full_chain
1875267845007036713,1,Amazon,@amazon,1,0.716557,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.716557,existing_data_derived_humor_full_chain
1743271129555386569,1,Amazon,@amazon,,0.551135,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.551135,existing_data_derived_humor_full_chain
1743271153412497629,1,Amazon,@amazon,,0.663433,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.663433,existing_data_derived_humor_full_chain
1347640841595138048,1,Amazon,@amazon,0,0.407377,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.592623,existing_data_derived_humor_full_chain
2009739553062695414,1,Amazon,@amazon,,0.680356,classification_missing,0.000000,0,0,0,0,0,rule_ml_conflict,existing_repository_full_chain_classifier,0.680356,existing_data_derived_humor_full_chain
2009762292238610943,1,Amazon,@amazon,0,0.479871,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.520129,existing_data_derived_humor_full_chain
1877777503298703761,1,Amazon,@amazon,,0.595274,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.595274,existing_data_derived_humor_full_chain
1745807881658683549,1,Amazon,@amazon,,0.650531,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.650531,existing_data_derived_humor_full_chain
1745853146394480807,1,Amazon,@amazon,0,0.626150,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.626150,existing_data_derived_humor_full_chain
1748344584344571945,1,Amazon,@amazon,,0.524520,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.524520,existing_data_derived_humor_full_chain
1882844628745170992,1,Amazon,@amazon,1,0.742806,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.742806,existing_data_derived_humor_full_chain
1750835978787320049,1,Amazon,@amazon,,0.533392,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.533392,existing_data_derived_humor_full_chain
1750926598507843885,1,Amazon,@amazon,,0.639330,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.639330,existing_data_derived_humor_full_chain
1885116522227785839,1,Amazon,@amazon,0,0.511041,non_humorous,1.000000,0,0,0,0,1,ml,existing_repository_full_chain_classifier,0.488959,existing_data_derived_humor_full_chain
1885382739505062108,1,Amazon,@amazon,,0.707354,classification_missing,0.000000,0,0,0,0,0,rule_ml_conflict,existing_repository_full_chain_classifier,0.707354,existing_data_derived_humor_full_chain
1885382741828813254,1,Amazon,@amazon,0,0.543757,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.543757,existing_data_derived_humor_full_chain
1941150033786581447,1,Amazon,@amazon,0,0.502072,non_humorous,1.000000,0,0,0,0,1,ml,existing_repository_full_chain_classifier,0.497928,existing_data_derived_humor_full_chain
1943630096201380125,1,Amazon,@amazon,,0.657505,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.657505,existing_data_derived_humor_full_chain
1943699803176669383,1,Amazon,@amazon,,0.612861,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.612861,existing_data_derived_humor_full_chain
1811762440721326144,1,Amazon,@amazon,,0.622562,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.622562,existing_data_derived_humor_full_chain
1811762462225498593,1,Amazon,@amazon,0,0.479871,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.520129,existing_data_derived_humor_full_chain
2062901039884271973,1,Amazon,@amazon,0,0.629379,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.629379,existing_data_derived_humor_full_chain
2062906995435249761,1,Amazon,@amazon,0,0.513749,non_humorous,1.000000,0,0,0,0,1,ml,existing_repository_full_chain_classifier,0.486251,existing_data_derived_humor_full_chain
1931090186819289523,1,Amazon,@amazon,,0.641024,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.641024,existing_data_derived_humor_full_chain
1801619856229356003,1,Amazon,@amazon,0,0.515892,non_humorous,1.000000,0,0,0,0,1,ml,existing_repository_full_chain_classifier,0.484108,existing_data_derived_humor_full_chain
1938389039675289770,1,Amazon,@amazon,,0.544358,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.544358,existing_data_derived_humor_full_chain
1938712601875358035,1,Amazon,@amazon,1,0.772760,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.772760,existing_data_derived_humor_full_chain
2029935181524615528,1,Amazon,@amazon,,0.616115,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.616115,existing_data_derived_humor_full_chain
2030019668275085637,1,Amazon,@amazon,0,0.486991,non_humorous,1.000000,0,0,0,0,1,ml,existing_repository_full_chain_classifier,0.513009,existing_data_derived_humor_full_chain
2030069307582075210,1,Amazon,@amazon,,0.668521,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.668521,existing_data_derived_humor_full_chain
1898159567768633391,1,Amazon,@amazon,1,0.673083,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.673083,existing_data_derived_humor_full_chain
1766136477161828774,1,Amazon,@amazon,,0.560432,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.560432,existing_data_derived_humor_full_chain
1768623255470952761,1,Amazon,@amazon,1,0.677253,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.677253,existing_data_derived_humor_full_chain
2034997185964580942,1,Amazon,@amazon,1,0.676743,affiliative,0.350000,0,1,0,0,0,ml,existing_repository_full_chain_classifier,0.676743,existing_data_derived_humor_full_chain
2035007587092250986,1,Amazon,@amazon,,0.587739,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.587739,existing_data_derived_humor_full_chain
