model_name,model_id,eval_scope,eval_mode,n_rows,humor_count,non_humor_count,auc,f1,precision,recall
batch1_only,word_char_comb__lr_liblin_C01,all_training_rows,oof_stratified_5fold_cv,1482,648,834,0.7808,0.6767,0.6598,0.6944
batch1_plus_wendys_human,word_char_comb__lr_liblin_C01,all_training_rows,oof_stratified_5fold_cv,1550,685,865,0.7792,0.6831,0.6599,0.708
