humor_type,post_count,share,average_engagement,median_engagement,p75_engagement,p90_engagement,max_engagement,average_humor_score
Affiliative humor,17,0.006047669868374244,5562.411764705882,491.0,862.0,16207.800000000007,50315.0,0.34570393229232116
Aggressive humor,24,0.008537886872998933,4043.25,1692.0,4470.75,13758.499999999998,15940.0,0.37929671443998814
Non-humorous brand message,1755,0.624332977588047,9152.010826210826,950.0,4009.5,11416.000000000022,990820.0,0.4496042423523389
Self-defeating humor,14,0.004980434009249377,13045.642857142857,2270.0,5203.0,39371.500000000044,99388.0,0.32279674283095766
Self-enhancing humor,1001,0.3561010316613305,3237.974025974026,657.0,2608.0,8178.0,102272.0,0.48076661959751976
