variant,actual_label,predicted_label,count
original_text,aggressive,aggressive,71
original_text,aggressive,affiliative,31
original_text,aggressive,self-enhancing,28
original_text,aggressive,self-defeating,9
original_text,affiliative,aggressive,51
original_text,affiliative,affiliative,262
original_text,affiliative,self-enhancing,107
original_text,affiliative,self-defeating,7
original_text,self-enhancing,aggressive,35
original_text,self-enhancing,affiliative,137
original_text,self-enhancing,self-enhancing,142
original_text,self-enhancing,self-defeating,7
original_text,self-defeating,aggressive,16
original_text,self-defeating,affiliative,12
original_text,self-defeating,self-enhancing,6
original_text,self-defeating,self-defeating,5
mask_wendys_brand,aggressive,aggressive,71
mask_wendys_brand,aggressive,affiliative,28
mask_wendys_brand,aggressive,self-enhancing,29
mask_wendys_brand,aggressive,self-defeating,11
mask_wendys_brand,affiliative,aggressive,49
mask_wendys_brand,affiliative,affiliative,261
mask_wendys_brand,affiliative,self-enhancing,107
mask_wendys_brand,affiliative,self-defeating,10
mask_wendys_brand,self-enhancing,aggressive,36
mask_wendys_brand,self-enhancing,affiliative,140
mask_wendys_brand,self-enhancing,self-enhancing,135
mask_wendys_brand,self-enhancing,self-defeating,10
mask_wendys_brand,self-defeating,aggressive,17
mask_wendys_brand,self-defeating,affiliative,11
mask_wendys_brand,self-defeating,self-enhancing,6
mask_wendys_brand,self-defeating,self-defeating,5
mask_brand_product,aggressive,aggressive,71
mask_brand_product,aggressive,affiliative,28
mask_brand_product,aggressive,self-enhancing,28
mask_brand_product,aggressive,self-defeating,12
mask_brand_product,affiliative,aggressive,52
mask_brand_product,affiliative,affiliative,261
mask_brand_product,affiliative,self-enhancing,106
mask_brand_product,affiliative,self-defeating,8
mask_brand_product,self-enhancing,aggressive,36
mask_brand_product,self-enhancing,affiliative,142
mask_brand_product,self-enhancing,self-enhancing,136
mask_brand_product,self-enhancing,self-defeating,7
mask_brand_product,self-defeating,aggressive,16
mask_brand_product,self-defeating,affiliative,11
mask_brand_product,self-defeating,self-enhancing,6
mask_brand_product,self-defeating,self-defeating,6
mask_brand_product_competitor,aggressive,aggressive,67
mask_brand_product_competitor,aggressive,affiliative,31
mask_brand_product_competitor,aggressive,self-enhancing,29
mask_brand_product_competitor,aggressive,self-defeating,12
mask_brand_product_competitor,affiliative,aggressive,55
mask_brand_product_competitor,affiliative,affiliative,265
mask_brand_product_competitor,affiliative,self-enhancing,100
mask_brand_product_competitor,affiliative,self-defeating,7
mask_brand_product_competitor,self-enhancing,aggressive,38
mask_brand_product_competitor,self-enhancing,affiliative,143
mask_brand_product_competitor,self-enhancing,self-enhancing,135
mask_brand_product_competitor,self-enhancing,self-defeating,5
mask_brand_product_competitor,self-defeating,aggressive,16
mask_brand_product_competitor,self-defeating,affiliative,11
mask_brand_product_competitor,self-defeating,self-enhancing,6
mask_brand_product_competitor,self-defeating,self-defeating,6
mask_campaign_product,aggressive,aggressive,68
mask_campaign_product,aggressive,affiliative,29
mask_campaign_product,aggressive,self-enhancing,29
mask_campaign_product,aggressive,self-defeating,13
mask_campaign_product,affiliative,aggressive,51
mask_campaign_product,affiliative,affiliative,262
mask_campaign_product,affiliative,self-enhancing,109
mask_campaign_product,affiliative,self-defeating,5
mask_campaign_product,self-enhancing,aggressive,38
mask_campaign_product,self-enhancing,affiliative,135
mask_campaign_product,self-enhancing,self-enhancing,136
mask_campaign_product,self-enhancing,self-defeating,12
mask_campaign_product,self-defeating,aggressive,15
mask_campaign_product,self-defeating,affiliative,11
mask_campaign_product,self-defeating,self-enhancing,8
mask_campaign_product,self-defeating,self-defeating,5
mask_all_leakage_groups,aggressive,aggressive,66
mask_all_leakage_groups,aggressive,affiliative,32
mask_all_leakage_groups,aggressive,self-enhancing,30
mask_all_leakage_groups,aggressive,self-defeating,11
mask_all_leakage_groups,affiliative,aggressive,50
mask_all_leakage_groups,affiliative,affiliative,266
mask_all_leakage_groups,affiliative,self-enhancing,102
mask_all_leakage_groups,affiliative,self-defeating,9
mask_all_leakage_groups,self-enhancing,aggressive,41
mask_all_leakage_groups,self-enhancing,affiliative,138
mask_all_leakage_groups,self-enhancing,self-enhancing,130
mask_all_leakage_groups,self-enhancing,self-defeating,12
mask_all_leakage_groups,self-defeating,aggressive,15
mask_all_leakage_groups,self-defeating,affiliative,10
mask_all_leakage_groups,self-defeating,self-enhancing,7
mask_all_leakage_groups,self-defeating,self-defeating,7
