file_path,matched_pattern,match_level,total_rows,humor_count,non_humor_count,unknown_or_excluded_count,aggressive_count,affiliative_count,self_enhancing_count,self_defeating_count,four_type_total,difference_from_slide_total,notes
20260615wendy's/result/wendys_fast_weak_supervised_humor_scores.csv,actual_raw_978,partial,978,0,0,0,0,0,0,0,0,9,file=20260615wendy's/result/wendys_fast_weak_supervised_humor_scores.csv;cols=id;tweet_url;text;humor_score;log1p_humor_score;p_humor_ml
20260615wendy's/result/wendys_final_humor_presence_full_predictions.csv,actual_raw_978,partial,978,309,288,381,0,0,0,0,0,9,file=20260615wendy's/result/wendys_final_humor_presence_full_predictions.csv;cols=no;id;tweet_url;text;final_humor_binary;final_humor_source
20260615wendy's/result/wendys_full_sample_four_type_humor_predictions.csv,actual_raw_978,partial,978,309,288,381,95,106,62,15,278,9,file=20260615wendy's/result/wendys_full_sample_four_type_humor_predictions.csv;cols=no;id;text;final_humor_binary;final_humor_type;pred_humor_final_050
20260615wendy's/result/wendys_h1_favorite_retweet_analysis_dataset.csv,actual_raw_978,partial,978,0,0,0,0,0,0,0,0,9,file=20260615wendy's/result/wendys_h1_favorite_retweet_analysis_dataset.csv;cols=id;tweet_url;created_year;created_month;created_day;created_time
20260615wendy's/result/wendys_h1_simple_ols_analysis_dataset.csv,actual_raw_978,partial,978,0,0,0,0,0,0,0,0,9,file=20260615wendy's/result/wendys_h1_simple_ols_analysis_dataset.csv;cols=id;tweet_url;created_year;created_month;created_day;created_time
20260615wendy's/result/wendys_human168_tfidf_logreg_full_predictions.csv,actual_raw_978,partial,978,0,0,0,0,0,0,0,0,9,file=20260615wendy's/result/wendys_human168_tfidf_logreg_full_predictions.csv;cols=id;tweet_url;text;humor_score;p_humor_ml;p_humor_human168
20260615wendy's/result/wendys_human_tfidf_logreg_full_predictions.csv,actual_raw_978,partial,978,0,0,0,0,0,0,0,0,9,file=20260615wendy's/result/wendys_human_tfidf_logreg_full_predictions.csv;cols=id;tweet_url;text;humor_score;p_humor_ml;p_humor_tfidf_logreg_human
20260615wendy's/result/wendys_humor_presence_scores.csv,actual_raw_978,partial,978,0,0,0,0,0,0,0,0,9,file=20260615wendy's/result/wendys_humor_presence_scores.csv;cols=id;tweet_url;created_at;text;lang;conversation_id
20260615wendy's/result/wendys_humor_review_sheet.csv,actual_raw_978,partial,978,309,288,381,108,127,65,16,316,9,file=20260615wendy's/result/wendys_humor_review_sheet.csv;cols=no;id;tweet_url;text;model_humor;p_humor
20260615wendy's/result/wendys_model_based_humor_type_full_predictions.csv,actual_raw_978,partial,978,309,288,381,95,106,62,15,278,9,file=20260615wendy's/result/wendys_model_based_humor_type_full_predictions.csv;cols=no;id;tweet_url;text;final_humor_binary;final_humor_source
dashboard/data/wendys/posts.json,actual_raw_978,partial,978,0,0,0,0,0,0,0,0,9,file=dashboard/data/wendys/posts.json;cols=id;tweet_url;created_at;text;reply_count;favorite_count
data/wendys/posts.json,actual_raw_978,partial,978,0,0,0,0,0,0,0,0,9,file=data/wendys/posts.json;cols=id;tweet_url;created_at;text;reply_count;favorite_count
20260615wendy's/result/wendys_humor_presence_scores.jsonl,none,no_match,976,0,0,0,0,0,0,0,0,11,cols=id;tweet_url;created_at;text;lang;conversation_id
20260615wendy's/data/wendys_h3_joint_aggressive_other_decomposition_dataset.csv,none,no_match,960,0,0,0,0,0,0,0,0,27,cols=id;year_quarter;quarter_total_posts;aggressive_humor_proportion_quarter_loo;aggressive_humor_proportion_quarter_loo_sq;other_humor_proportion_quarter_loo
20260615wendy's/data/wendys_h3_main_quadratic_ols_dataset.csv,none,no_match,960,557,403,0,0,0,0,0,0,27,cols=id;tweet_url;text;created_year;created_month;created_day
20260615wendy's/data/wendys_h3_moderation_centered_interaction_dataset.csv,none,no_match,960,0,0,0,0,0,0,0,0,27,cols=게시물ID;작성일;작성연도;작성월;작성시간;연도분기
20260615wendy's/data/wendys_h3_pre_quadratic_ols_dataset.csv,none,no_match,960,557,403,0,0,0,0,0,0,27,cols=id;tweet_url;text;created_year;created_month;created_day
20260615wendy's/data/wendys_h3_step1_quadratic_intensity_dataset.csv,none,no_match,960,0,0,0,0,0,0,0,0,27,cols=id;year_quarter;quarter_total_posts;humor_proportion_quarter_loo;humor_proportion_quarter_loo_sq;aggressive_humor_proportion_quarter_loo
20260615wendy's/data/wendys_h3_step2_proportion_time_variables_dataset.csv,none,no_match,960,0,0,0,0,0,0,0,0,27,cols=id;year_quarter;quarter_total_posts;aggressive_humor_proportion_quarter_loo;aggressive_humor_proportion_quarter_loo_sq;created_year
20260615wendy's/data/wendys_h3_step3_proportion_post_format_dataset.csv,none,no_match,960,0,0,0,0,0,0,0,0,27,cols=id;year_quarter;quarter_total_posts;humor_proportion_quarter_loo;aggressive_humor_proportion_quarter_loo;aggressive_humor_proportion_quarter_loo_sq
20260615wendy's/data/wendys_h3_supplemental_other_humor_proportion_dataset.csv,none,no_match,960,0,0,0,0,0,0,0,0,27,cols=id;year_quarter;quarter_total_posts;other_humor_proportion_quarter_loo;other_humor_proportion_quarter_loo_sq;created_year
data/audit/humor/evaluation/humor_type_v1_v2_comparison.csv,none,no_match,941,0,0,0,0,0,0,0,0,46,cols=global_post_id;company_name;source_x_handle;stratum;text;v1_label
data/derived/humor/evaluation/humor_type_ab_test_sample.csv,none,no_match,941,441,200,300,100,150,150,41,441,46,cols=global_post_id;tweet_id;sample_group;company_name;source_x_handle;created_at
data/derived/humor/evaluation/humor_type_v2_classified_sample.csv,none,no_match,941,0,0,0,0,0,0,0,0,46,cols=global_post_id;tweet_id;sample_group;company_name;source_x_handle;created_at
20260618expand/classifier_improvement/h1_presence_only/wendys_all_labels_integration/data/wendys_all_h1_presence_labels_valid.csv,none,no_match,665,346,319,0,0,0,0,0,0,322,cols=row_id;source;original_file;company_name;tweet_id;tweet_url
20260618expand/classifier_improvement/h1_presence_only/wendys_all_labels_model/data/model_a_wendys_all_heldout_predictions.csv,none,no_match,665,0,0,0,0,0,0,0,0,322,cols=row_id;tweet_id;tweet_url;true_label;pred_probability;pred_t50
data/derived/car_event_windows/humor_car_linkage_panel.csv,none,no_match,584,0,0,0,0,0,0,0,0,403,cols=company_name;period;period_year;period_month;ticker;cik
data/derived/regression/humor_car_hypothesis_regression_master.csv,none,no_match,584,0,0,0,0,0,0,0,0,403,cols=company_name;ticker;cik;period;filing_date;target_report_year
data/derived/regression/humor_iv_reconstructed_candidates.csv,none,no_match,584,0,0,0,0,0,0,0,0,403,cols=company_name;ticker;cik;period;filing_date;target_report_year
data/derived/regression/humor_iv_reconstructed_candidates_gate5_1.csv,none,no_match,584,0,0,0,0,0,0,0,0,403,cols=company_name;ticker;cik;period;filing_date;target_report_year
data/derived/validation/humor_candidate_manual_audit_sample.csv,none,no_match,546,346,100,100,105,155,45,41,346,441,cols=sample_group;company_name;ticker;source_x_handle;global_post_id;tweet_id
20260618expand/classifier_improvement/batch1_only_improvement/data/batch1_presence_training_data.csv,none,no_match,1482,648,834,0,0,0,0,0,0,495,cols=candidate_id;sampling_stratum;fortune_rank;company_name;assigned_coder;text
20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template.csv,none,no_match,1500,0,0,0,0,0,0,0,0,513,cols=candidate_id;sampling_stratum;fortune_rank;company_name;source_x_handle;tweet_id
20260618expand/classifier_improvement/data/labeling_candidates/fortune100_labeling_candidates.csv,none,no_match,1500,0,0,0,0,0,0,0,0,513,cols=candidate_id;sampling_stratum;fortune_rank;company_name;source_x_handle;tweet_id
