file_path,type_column,raw_rows,aggressive_count,affiliative_count,self_enhancing_count,self_defeating_count,none_or_non_humor_count,excluded_or_unknown_count,blank_count,mapped_type_total,four_type_total,unmapped_values,total_check
20260615wendy's/data/wendys_full_sample_four_type_humor_classifier_dataset.csv,label,278,95,106,62,15,0,0,0,278,278,,278
20260615wendy's/data/wendys_h2_coder1_priority_dataset.csv,final_humor_type,597,95,106,62,15,288,0,31,597,278,,597
20260615wendy's/data/wendys_h2_dataset.csv,final_humor_type,978,91,100,59,14,0,0,714,978,264,,978
20260615wendy's/data/wendys_h2_four_type_humor_dataset.csv,final_humor_type,278,95,106,62,15,0,0,0,278,278,,278
20260615wendy's/data/wendys_model_based_humor_type_dataset.csv,final_humor_type,278,95,106,62,15,0,0,0,278,278,,278
20260615wendy's/data/wendys_partial_human_coded_humor_labels.csv,type,69,13,21,3,1,30,0,1,69,38,,69
20260615wendy's/result/wendys_final_humor_type_coder1_priority_audit.csv,human_type,310,13,21,3,1,0,0,272,310,38,,310
20260615wendy's/result/wendys_final_humor_type_coder1_priority_audit.csv,final_humor_type,310,95,106,62,15,1,0,31,310,278,,310
20260615wendy's/result/wendys_full_sample_four_type_humor_predictions.csv,final_humor_type,978,95,106,62,15,669,0,31,978,278,,978
20260615wendy's/result/wendys_h2_four_type_distribution.csv,humor_type,4,1,1,1,1,0,0,0,4,4,,4
20260615wendy's/result/wendys_h2_full_sample_four_type_distribution.csv,predicted_type,5,1,1,1,1,1,0,0,5,4,,5
20260615wendy's/result/wendys_human168_tfidf_logreg_error_audit.csv,human_type,167,13,21,3,1,30,0,99,167,38,,167
20260615wendy's/result/wendys_human_tfidf_logreg_error_audit.csv,type,68,13,21,3,1,30,0,0,68,38,,68
20260615wendy's/result/wendys_humor_review_sheet.csv,human_type,978,13,21,3,1,0,0,940,978,38,,978
20260615wendy's/result/wendys_humor_review_sheet.csv,final_humor_type,978,95,106,62,15,669,0,31,978,278,,978
20260615wendy's/result/wendys_model_based_humor_type_full_predictions.csv,final_humor_type,978,95,106,62,15,669,0,31,978,278,,978
20260618expand/data/processed/fortune100_humor_variables.csv,humor_type,65245,95,4567,4774,39,0,0,0,9475,9475,non_humorous;classification_missing,65245
20260618expand/model_transfer/data/classified/fortune100_wendys_model_humor_classification.csv,humor_type,65245,6857,19101,1994,225,0,0,0,28177,28177,non_humorous,65245
20260618expand/model_transfer/data/diagnostics/humor_type_frequency.csv,humor_type,5,1,1,1,1,0,0,0,4,4,non_humorous,5
20260618expand/model_transfer/data/regression_ready/h2_post_level_regression_ready.csv,humor_type,65245,6857,19101,1994,225,0,0,0,28177,28177,non_humorous,65245
data/derived/humor/evaluation/humor_type_ab_test_sample.csv,humor_type,941,100,150,150,41,0,0,0,441,441,ambiguous_or_review;not_applicable,941
data/derived/regression/humor_iv_measurement_diagnostic_detail.csv,type,57,1,1,1,1,0,0,53,57,4,,57
data/derived/validation/humor_candidate_manual_audit_sample.csv,humor_type,546,105,155,45,41,0,0,0,346,346,ambiguous_or_review;not_applicable,546
data/manual_labels/wendys_human_humor_labels.csv,type,69,13,21,3,1,30,0,1,69,38,,69
