check,expected,actual,match
total_wendys_posts,978,978,True
H1_human_label_available_n,597,597,True
H1_human_labeled_humor,varies,309,True
H1_human_labeled_non_humor,varies,288,True
H1_model_predicted_humor,564,564,True
H1_model_predicted_non_humor,414,414,True
H2_coder1_total,597,597,True
H2_human_type_aggressive,varies,95,True
H2_human_type_other_humor,varies,183,True
H2_model_based_non_humor,414,414,True
H2_model_based_aggressive,200,200,True
H2_model_based_other_humor,364,364,True
H3_filtered_posts_n960,960,960,True
H3_filtered_quarters_25,25,25,True
H2_h2_coder1_label_available,n/a,597,True
H2_4type_human_affiliative,varies,106,True
H2_4type_human_aggressive,varies,95,True
H2_4type_human_self-defeating,varies,15,True
H2_4type_human_self-enhancing,varies,62,True
