"dv","analysis","n_aggressive","n_pooled_other_humor","mean_aggressive","mean_pooled_other","diff_aggressive_minus_other","p_value","significance","cohens_d","note"
"log1p_engagement_total","aggressive vs pooled other_humor (4-type dataset)","95","183","8.3411","7.6338","0.7074","0.0012","**","0.4359","This reproduces the H2 pooled comparison within the 4-type decomposition dataset."
"log1p_engagement_favorite_retweet","aggressive vs pooled other_humor (4-type dataset)","95","183","8.2120","7.5009","0.7111","0.0015","**","0.4288","This reproduces the H2 pooled comparison within the 4-type decomposition dataset."
"log1p_favorite_count","aggressive vs pooled other_humor (4-type dataset)","95","183","8.1418","7.3858","0.7560","0.0010","**","0.4287","This reproduces the H2 pooled comparison within the 4-type decomposition dataset."
"log1p_retweet_count","aggressive vs pooled other_humor (4-type dataset)","95","183","5.4009","4.5306","0.8703","0.0002","***","0.5011","This reproduces the H2 pooled comparison within the 4-type decomposition dataset."
"log1p_reply_count","aggressive vs pooled other_humor (4-type dataset)","95","183","5.3120","4.9438","0.3682","0.0522",".","0.2560","This reproduces the H2 pooled comparison within the 4-type decomposition dataset."
"log1p_quote_count","aggressive vs pooled other_humor (4-type dataset)","95","183","3.8651","3.0616","0.8035","0.0012","**","0.4417","This reproduces the H2 pooled comparison within the 4-type decomposition dataset."
"log1p_bookmark_count","aggressive vs pooled other_humor (4-type dataset)","95","183","3.3405","2.5014","0.8391","0.0000","***","0.5277","This reproduces the H2 pooled comparison within the 4-type decomposition dataset."
"log1p_view_count","aggressive vs pooled other_humor (4-type dataset)","95","183","4.1605","2.6286","1.5319","0.0373","*","0.2784","This reproduces the H2 pooled comparison within the 4-type decomposition dataset."
