h3_test_type,model_name,dv,predictor,squared_predictor,n,quarter_count,predictor_min,predictor_max,predictor_mean,predictor_std,beta_linear,p_linear,beta_quadratic,p_quadratic,turning_point,turning_point_in_range,included_time_variables,included_post_format_variables,number_of_post_format_variables,r_squared,adj_r_squared,aic,bic,interpretation_flag
H3-supplemental-other_humor,M0,log1p_engagement_total,other_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo_sq,960,25,0.0,0.666667,0.373958,0.155747,1.826096,0.265946,-1.677109,0.443711,0.544418,True,none,none,0,0.003415,0.001332,3819.1464,3833.7472,directional_only
H3-supplemental-other_humor,M0,log1p_engagement_favorite_retweet,other_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo_sq,960,25,0.0,0.666667,0.373958,0.155747,2.252118,0.175861,-2.163651,0.329571,0.520444,True,none,none,0,0.004395,0.002314,3844.7244,3859.3252,directional_only
H3-supplemental-other_humor,M0,log1p_favorite_count,other_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo_sq,960,25,0.0,0.666667,0.373958,0.155747,1.846511,0.341676,-1.590027,0.539341,0.580654,True,none,none,0,0.002996,0.000913,4142.006,4156.6068,directional_only
H3-supplemental-other_humor,M0,log1p_retweet_count,other_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo_sq,960,25,0.0,0.666667,0.373958,0.155747,0.245879,0.883604,-0.599922,0.788896,0.204926,True,none,none,0,0.00035,-0.001739,3863.652,3878.2528,directional_only
H3-supplemental-other_humor,M0,log1p_reply_count,other_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo_sq,960,25,0.0,0.666667,0.373958,0.155747,-1.152191,0.458457,2.59006,0.211708,0.222426,True,none,none,0,0.006355,0.004279,3714.4226,3729.0234,U_shape
H3-supplemental-other_humor,M0,log1p_quote_count,other_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo_sq,960,25,0.0,0.666667,0.373958,0.155747,-0.474068,0.784816,1.557533,0.501359,0.152186,True,none,none,0,0.00353,0.001448,3927.413,3942.0138,U_shape
H3-supplemental-other_humor,M0,log1p_bookmark_count,other_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo_sq,960,25,0.0,0.666667,0.373958,0.155747,-3.762994,0.017525,2.172498,0.303378,0.866052,False,none,none,0,0.039221,0.037213,3748.5594,3763.1602,not_support
H3-supplemental-other_humor,M1,log1p_engagement_total,other_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo_sq,960,25,0.0,0.666667,0.373958,0.155747,-6.431846,0.011508,7.237102,0.014156,0.444366,True,created_year+created_month+created_hour,none,0,0.154544,0.116784,3739.2664,3943.6776,U_shape
H3-supplemental-other_humor,M1,log1p_engagement_favorite_retweet,other_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo_sq,960,25,0.0,0.666667,0.373958,0.155747,-6.38329,0.013072,7.009579,0.018689,0.455326,True,created_year+created_month+created_hour,none,0,0.160161,0.122652,3759.3895,3963.8007,U_shape
H3-supplemental-other_humor,M1,log1p_favorite_count,other_humor_proportion_quarter_loo,other_humor_proportion_quarter_loo_sq,960,25,0.0,0.666667,0.373958,0.155747,-7.388895,0.015322,8.023394,0.023087,0.460459,True,created_year+created_month+created_hour,none,0,0.133671,0.094979,4085.1358,4289.547,U_shape
