model_name,dv,n,quarter_count,aggressive_predictor,aggressive_predictor_min,aggressive_predictor_max,aggressive_predictor_mean,aggressive_predictor_std,beta_aggressive_linear,p_aggressive_linear,beta_aggressive_quadratic,p_aggressive_quadratic,aggressive_turning_point,aggressive_turning_point_in_range,aggressive_interpretation_flag,other_predictor,other_predictor_min,other_predictor_max,other_predictor_mean,other_predictor_std,beta_other_linear,p_other_linear,beta_other_quadratic,p_other_quadratic,other_turning_point,other_turning_point_in_range,other_interpretation_flag,pairwise_corr_aggressive_other,included_time_variables,included_post_format_variables,r_squared,adj_r_squared,aic,bic,rank_deficient
M1,log1p_retweet_count,960,25,aggressive_humor_proportion_quarter_loo,0.0,0.337662,0.20625,0.070264,-4.061877,0.281864,-0.609096,0.949587,-3.334347,False,aggressive_not_support,other_humor_proportion_quarter_loo,0.0,0.666667,0.373958,0.155747,-6.569079,0.012747,7.000653,0.022548,0.469176,True,other_U_shape,-0.2641,created_year+created_month+created_hour,none,0.146299,0.106224,3794.1409,4008.2859,False
M1,log1p_reply_count,960,25,aggressive_humor_proportion_quarter_loo,0.0,0.337662,0.20625,0.070264,-1.438007,0.681107,-4.84774,0.587407,-0.148317,False,aggressive_not_support,other_humor_proportion_quarter_loo,0.0,0.666667,0.373958,0.155747,-6.812672,0.005363,8.287051,0.003624,0.411043,True,other_U_shape,-0.2641,created_year+created_month+created_hour,none,0.147572,0.107556,3649.2633,3863.4084,False
M1,log1p_quote_count,960,25,aggressive_humor_proportion_quarter_loo,0.0,0.337662,0.20625,0.070264,-2.842379,0.467354,-0.804347,0.935786,-1.766885,False,aggressive_not_support,other_humor_proportion_quarter_loo,0.0,0.666667,0.373958,0.155747,-8.399185,0.002138,9.779589,0.002132,0.429424,True,other_U_shape,-0.2641,created_year+created_month+created_hour,none,0.144822,0.104677,3862.6204,4076.7654,False
M1,log1p_bookmark_count,960,25,aggressive_humor_proportion_quarter_loo,0.0,0.337662,0.20625,0.070264,-7.176805,0.041877,8.507036,0.344402,0.421816,False,aggressive_not_support,other_humor_proportion_quarter_loo,0.0,0.666667,0.373958,0.155747,-7.844876,0.001461,8.129678,0.004586,0.482484,True,other_U_shape,-0.2641,created_year+created_month+created_hour,none,0.193561,0.155704,3662.4479,3876.593,False
M2,log1p_engagement_total,960,25,aggressive_humor_proportion_quarter_loo,0.0,0.337662,0.20625,0.070264,-2.355962,0.494439,-3.727649,0.672236,-0.316012,False,aggressive_not_support,other_humor_proportion_quarter_loo,0.0,0.666667,0.373958,0.155747,-7.75284,0.001283,8.141745,0.003692,0.476117,True,other_U_shape,-0.2641,created_year+created_month+created_hour,text_length+hashtag_count+mention_count,0.261505,0.224298,3619.4142,3848.1601,False
M2,log1p_engagement_favorite_retweet,960,25,aggressive_humor_proportion_quarter_loo,0.0,0.337662,0.20625,0.070264,-2.727339,0.434006,-2.782527,0.754743,-0.490083,False,aggressive_not_support,other_humor_proportion_quarter_loo,0.0,0.666667,0.373958,0.155747,-7.716753,0.001524,7.970504,0.004926,0.484082,True,other_U_shape,-0.2641,created_year+created_month+created_hour,text_length+hashtag_count+mention_count,0.265779,0.228786,3640.3658,3869.1117,False
M2,log1p_favorite_count,960,25,aggressive_humor_proportion_quarter_loo,0.0,0.337662,0.20625,0.070264,-1.513481,0.708523,-6.519258,0.528629,-0.116078,False,aggressive_not_support,other_humor_proportion_quarter_loo,0.0,0.666667,0.373958,0.155747,-8.9581,0.001532,9.197872,0.00521,0.486966,True,other_U_shape,-0.2641,created_year+created_month+created_hour,text_length+hashtag_count+mention_count,0.272263,0.235597,3927.7835,4156.5294,False
M2,log1p_retweet_count,960,25,aggressive_humor_proportion_quarter_loo,0.0,0.337662,0.20625,0.070264,-3.228504,0.38431,-2.96346,0.754622,-0.544719,False,aggressive_not_support,other_humor_proportion_quarter_loo,0.0,0.666667,0.373958,0.155747,-6.862682,0.008032,7.40172,0.014117,0.463587,True,other_U_shape,-0.2641,created_year+created_month+created_hour,text_length+hashtag_count+mention_count,0.180965,0.1397,3760.3449,3989.0908,False
M2,log1p_reply_count,960,25,aggressive_humor_proportion_quarter_loo,0.0,0.337662,0.20625,0.070264,0.875602,0.785209,-11.665473,0.155575,0.03753,True,aggressive_directional_only,other_humor_proportion_quarter_loo,0.0,0.666667,0.373958,0.155747,-7.280705,0.001176,8.608431,0.000995,0.422882,True,other_U_shape,-0.2641,created_year+created_month+created_hour,text_length+hashtag_count+mention_count,0.286919,0.250991,3483.9095,3712.6554,False
M2,log1p_quote_count,960,25,aggressive_humor_proportion_quarter_loo,0.0,0.337662,0.20625,0.070264,-1.6394,0.669578,-4.164024,0.671462,-0.196853,False,aggressive_not_support,other_humor_proportion_quarter_loo,0.0,0.666667,0.373958,0.155747,-8.746166,0.001116,10.207883,0.001095,0.428403,True,other_U_shape,-0.2641,created_year+created_month+created_hour,text_length+hashtag_count+mention_count,0.180971,0.139705,3827.1579,4055.9038,False
M2,log1p_bookmark_count,960,25,aggressive_humor_proportion_quarter_loo,0.0,0.337662,0.20625,0.070264,-6.055727,0.07952,5.287478,0.548794,0.572648,False,aggressive_not_support,other_humor_proportion_quarter_loo,0.0,0.666667,0.373958,0.155747,-8.141183,0.000733,8.450802,0.002609,0.481681,True,other_U_shape,-0.2641,created_year+created_month+created_hour,text_length+hashtag_count+mention_count,0.232385,0.19371,3621.0821,3849.828,False
