metric,value
full_n,978
primary_n,597
full_predicted_humor_1,564
full_predicted_humor_0,414
human_humor_1,309
human_humor_0,288
merge_key,id
pred_n_before_merge,978
h3_n_before_merge,978
fast_n_before_merge,978
merged_n,978
unmatched_h3,0
unmatched_fast,0
duplicate_key_pred,False
duplicate_key_h3,False
duplicate_key_fast,False
full_n_maintained,True
primary_n_maintained,True
text_length_missing,0
text_length_sample_reduced,False
hashtag_count_missing,0
hashtag_count_sample_reduced,False
mention_count_missing,0
mention_count_sample_reduced,False
emoji_count_missing,0
emoji_count_sample_reduced,False
sample_reduced_by_post_format,False
rank_deficient_any,False
se_type,conventional_MSE
url_count_used,False
is_quote_status_used,False
is_retweet_text_used,False
view_count_used,False
year_quarter_fe_used,False
day_of_week_created,False
image_video_vars_used,False
H2_performed,False
H3_performed,False
new_vars_created,False
original_posts_json_modified,False
fullbin_M0_time_fe_only_beta,0.4677
fullbin_M0_time_fe_only_p,0.0
fullbin_M0_time_fe_only_flag,supports_H1
prob_M0_time_fe_only_beta,1.0666
prob_M0_time_fe_only_p,0.0027
prob_M0_time_fe_only_flag,supports_H1
human_M0_time_fe_only_beta,0.3306
human_M0_time_fe_only_p,0.0283
human_M0_time_fe_only_flag,supports_H1
fullbin_M1_add_text_length_beta,0.5134
fullbin_M1_add_text_length_p,0.0
fullbin_M1_add_text_length_flag,supports_H1
prob_M1_add_text_length_beta,1.5082
prob_M1_add_text_length_p,0.0
prob_M1_add_text_length_flag,supports_H1
human_M1_add_text_length_beta,0.3805
human_M1_add_text_length_p,0.0099
human_M1_add_text_length_flag,supports_H1
fullbin_M2_add_hashtag_beta,0.5039
fullbin_M2_add_hashtag_p,0.0
fullbin_M2_add_hashtag_flag,supports_H1
prob_M2_add_hashtag_beta,1.4994
prob_M2_add_hashtag_p,0.0
prob_M2_add_hashtag_flag,supports_H1
human_M2_add_hashtag_beta,0.3893
human_M2_add_hashtag_p,0.0085
human_M2_add_hashtag_flag,supports_H1
fullbin_M3_add_mention_beta,0.2918
fullbin_M3_add_mention_p,0.0088
fullbin_M3_add_mention_flag,supports_H1
prob_M3_add_mention_beta,0.8404
prob_M3_add_mention_p,0.0175
prob_M3_add_mention_flag,supports_H1
human_M3_add_mention_beta,0.3171
human_M3_add_mention_p,0.0307
human_M3_add_mention_flag,supports_H1
fullbin_M4_add_emoji_beta,0.2918
fullbin_M4_add_emoji_p,0.0088
fullbin_M4_add_emoji_flag,supports_H1
prob_M4_add_emoji_beta,0.8392
prob_M4_add_emoji_p,0.0177
prob_M4_add_emoji_flag,supports_H1
human_M4_add_emoji_beta,0.3162
human_M4_add_emoji_p,0.0312
human_M4_add_emoji_flag,supports_H1
