dv,n,n_quarters,predictor,coef_linear,se_linear,t_linear,p_linear,coef_quadratic,se_quadratic,t_quadratic,p_quadratic,r_squared,adj_r_squared,x_min,x_max,x_mean,turning_point,turning_point_in_range,turning_point_se,turning_point_ci_low,turning_point_ci_high,turning_point_ci_in_range,h3_pre_direction,h3_pre_preliminary_support
log1p_engagement_total,960,25,humor_proportion_quarter_loo,0.1917,2.1462,0.0893,0.9288,0.3153,1.9383,0.1627,0.8708,0.0022,0.0001,0.1579,0.9167,0.5802,-0.304,False,10.6002,-0.304,9.9922,False,other,H3pre_불지지
log1p_engagement_favorite_retweet,960,25,humor_proportion_quarter_loo,0.9007,2.1751,0.4141,0.6789,-0.2385,1.9644,-0.1214,0.9034,0.003,0.0009,0.1579,0.9167,0.5802,1.8886,False,19.8574,1.8886,23.6347,True,concave_tp_out_of_range,방향성만_지지(tp_out_of_range)
log1p_favorite_count,960,25,humor_proportion_quarter_loo,0.2497,2.5401,0.0983,0.9217,0.1766,2.294,0.077,0.9387,0.0011,-0.001,0.1579,0.9167,0.5802,-0.707,False,32.6865,-0.707,31.2726,False,other,H3pre_불지지
log1p_retweet_count,960,25,humor_proportion_quarter_loo,-1.2437,2.1947,-0.5667,0.5711,0.8951,1.9821,0.4516,0.6517,0.0007,-0.0014,0.1579,0.9167,0.5802,0.6947,True,0.0769,0.6947,1.4663,True,U_shape,H3pre_불지지
log1p_reply_count,960,25,humor_proportion_quarter_loo,-4.7579,2.0292,-2.3447,0.0192,4.7182,1.8326,2.5746,0.0102,0.0081,0.006,0.1579,0.9167,0.5802,0.5042,True,0.4246,0.5042,0.5838,True,U_shape,H3pre_불지지
log1p_quote_count,960,25,humor_proportion_quarter_loo,-3.8747,2.2678,-1.7086,0.0878,3.9189,2.0481,1.9135,0.056,0.0049,0.0028,0.1579,0.9167,0.5802,0.4944,True,0.3829,0.4944,0.6058,True,U_shape,H3pre_불지지
log1p_bookmark_count,960,25,humor_proportion_quarter_loo,-6.9036,2.0365,-3.3899,0.0007,3.7052,1.8392,2.0145,0.0442,0.0677,0.0658,0.1579,0.9167,0.5802,0.9316,False,0.5442,0.9316,1.319,True,U_shape,H3pre_불지지
log1p_view_count,960,25,humor_proportion_quarter_loo,-57.3065,4.6548,-12.3112,0.0,25.2946,4.2039,6.017,0.0,0.5917,0.5909,0.1579,0.9167,0.5802,1.1328,False,0.9388,1.1328,1.3267,True,U_shape,H3pre_불지지
